doi,reason
10.1016/j.isci.2022.104083,oa-url-blocked
10.1016/j.jneumeth.2010.01.005,no-oa-url
10.1016/j.neunet.2008.03.014,no-oa-url
10.1016/j.neunet.2024.106422,no-oa-url
10.1016/j.neuron.2006.11.008,oa-url-blocked
10.1016/j.neuron.2008.08.009,oa-url-blocked
10.1016/j.neuron.2008.09.027,oa-url-blocked
10.1016/j.neuron.2011.07.011,oa-url-blocked
10.1016/j.neuron.2013.02.007,oa-url-blocked
10.1016/j.neuron.2013.08.015,oa-url-blocked
10.1016/j.neuron.2014.02.013,oa-url-blocked
10.1016/j.neuron.2015.02.042,oa-url-blocked
10.1016/j.neuroscience.2014.12.084,no-oa-url
10.1016/j.neuroscience.2020.05.008,no-oa-url
10.1016/j.neuroscience.2020.09.017,no-oa-url
10.1016/j.neuroscience.2022.10.009,no-oa-url
10.1016/j.pneurobio.2004.04.003,no-oa-url
10.1016/j.pneurobio.2006.04.001,no-oa-url
10.1016/j.robot.2011.12.005,oa-url-blocked
10.1016/j.tins.2006.08.007,no-oa-url
10.1016/s0006-8993(96)00977-8,no-oa-url
10.1016/s0021-9290(01)00187-7,no-oa-url
10.1016/s0065-2806(07)34004-6,no-oa-url
10.1016/s0074-7742(05)69005-8,no-oa-url
10.1016/s0079-6123(03)43011-2,no-oa-url
10.1016/s0079-6123(03)43012-4,no-oa-url
10.1016/s0079-6123(06)57016-5,no-oa-url
10.1016/s0079-6123(06)65015-2,no-oa-url
10.1016/s0079-6123(06)65016-4,no-oa-url
10.1016/s0079-6123(08)60803-1,no-oa-url
10.1016/s0165-0173(98)00006-x,no-oa-url
10.1016/s0165-0173(99)00008-9,no-oa-url
10.1016/s0166-2236(02)02173-2,no-oa-url
10.1016/s0166-2236(03)00073-0,no-oa-url
10.1016/s0301-0082(98)00081-1,no-oa-url
10.1016/s0896-6273(03)00353-2,oa-url-blocked
10.1016/s0925-2312(02)00832-9,no-oa-url
10.1016/s0959-4388(98)80121-9,no-oa-url
10.1016/s0960-9822(01)00581-4,oa-url-blocked
10.1016/s0966-6362(97)00042-8,no-oa-url
10.1016/s0966-6362(98)00010-1,no-oa-url
10.1016/s0966-6362(99)00052-1,no-oa-url
10.1016/s1044-5765(05)80026-0,no-oa-url
10.1016/s1388-2457(03)00120-2,no-oa-url
10.1023/a:1008920021246,no-oa-url
10.1023/a:1012478704769,no-oa-url
10.1038/35049541,no-oa-url
10.1038/5721,no-oa-url
10.1038/nature04545,oa-url-blocked
10.1038/nature10538,no-oa-url
