doi,record_id,status,filename_or_error
10.1002/cne.20711,recz4jiOLNrm1PACf,FAIL,HTTP Error 403: Forbidden
10.1002/cne.23904,recStTn5dbc2B80S0,FAIL,HTTP Error 403: Forbidden
10.1002/jnr.24791,recIpNrSMGJDUWbbu,FAIL,HTTP Error 403: Forbidden
10.1007/978-1-0716-1006-0_48,recY24aCWMmh1bmhT,FAIL,HTTP Error 403: Forbidden
10.1007/978-1-4939-3267-2_12,recH9rSuUtGykbuWE,FAIL,HTTP Error 403: Forbidden
10.1007/978-1-4939-3267-2_2,recMBs79mIKbStry9,FAIL,HTTP Error 403: Forbidden
10.1007/978-1-4939-3267-2_5,recjEWZKD03OC2BYS,FAIL,HTTP Error 403: Forbidden
10.1007/978-3-319-63537-8_15,rectWwpvfDrrq5UfP,FAIL,HTTP Error 403: Forbidden
10.1007/978-3-319-95972-6_21,recV3YQtMTF5hreIm,FAIL,HTTP Error 403: Forbidden
10.1007/978-3-319-95972-6_57,recZgIYBM8EyHr7jQ,FAIL,HTTP Error 403: Forbidden
10.1007/s00422-017-0711-4,reclFa8gRAcl3H377,FAIL,HTTP Error 403: Forbidden
10.1007/s00422-020-00851-9,rec4qaxGiMJ2k6c7e,FAIL,HTTP Error 403: Forbidden
10.1016/0006-8993(75)90401-1,recP7eT8wZvqmG1hi,FAIL,HTTP Error 403: Forbidden
10.1016/j.asd.2004.05.001,recwWuRc9wprQR0Sx,FAIL,HTTP Error 403: Forbidden
10.1016/j.brainresbull.2007.03.010,recmPKyXthptqnPmC,FAIL,HTTP Error 403: Forbidden
10.1016/j.brainresrev.2007.06.022,reccvl4W5er567Ydv,FAIL,HTTP Error 403: Forbidden
10.1016/j.brainresrev.2009.08.002,rec4HFbZcf1ik1Om2,FAIL,HTTP Error 403: Forbidden
10.1016/j.celrep.2018.08.095,recQA3AJ46DeMxTIb,FAIL,HTTP Error 403: Forbidden
10.1016/j.conb.2009.09.002,recFmWROYSKJ0juJB,FAIL,HTTP Error 403: Forbidden
10.1016/j.conb.2009.10.011,recH2sR8cQRvaywUj,FAIL,HTTP Error 403: Forbidden
10.1016/j.conb.2015.03.001,recmjIyNNJ6tdBFk3,FAIL,HTTP Error 403: Forbidden
10.1016/j.neunet.2008.03.014,receOhzFcvpaCztBp,FAIL,HTTP Error 403: Forbidden
10.1016/j.neuron.2006.11.008,recatkVWkfxHx6VRL,FAIL,HTTP Error 403: Forbidden
10.1016/j.neuron.2008.08.009,rec7SsuX3Nrwil3Yy,FAIL,HTTP Error 403: Forbidden
10.1016/j.neuron.2008.09.027,recpmLF4VjQIRfxJ7,FAIL,HTTP Error 403: Forbidden
10.1016/j.neuron.2011.07.011,rec2WEJ8xYbaKunaf,FAIL,HTTP Error 403: Forbidden
10.1016/j.neuron.2013.02.007,reclNWiYPtVRdFpb1,FAIL,HTTP Error 403: Forbidden
10.1016/j.neuron.2013.08.015,reckUpcqR2SYCClz8,FAIL,HTTP Error 403: Forbidden
10.1016/j.neuron.2014.02.013,recoquDvuj5YSRUMx,FAIL,HTTP Error 403: Forbidden
10.1016/j.neuroscience.2020.09.017,recJw7FHZmLHvnrMx,FAIL,HTTP Error 403: Forbidden
10.1016/j.robot.2011.12.005,rec8en50Ndz4x6F2Q,FAIL,HTTP Error 403: Forbidden
10.1016/s0896-6273(03)00353-2,recnm5NoEInXebZfR,FAIL,HTTP Error 403: Forbidden
10.1016/s0960-9822(01)00581-4,recIzLR7pGD7JCzhs,FAIL,HTTP Error 403: Forbidden
10.1016/s0966-6362(97)00042-8,recQ4DtooAZiS0uHM,FAIL,HTTP Error 403: Forbidden
10.1016/s0966-6362(98)00010-1,rec0cO6C6sIY1QqTD,FAIL,HTTP Error 403: Forbidden
10.1038/nature04545,recmwtQGSkLIJLxb1,FAIL,HTTP Error 403: Forbidden
10.1038/nature12286,recWRVUujMVKF23Eo,FAIL,HTTP Error 403: Forbidden
10.1038/nn.4077,recMGok8WlXgIUDE5,FAIL,HTTP Error 403: Forbidden
10.1038/nrn2608,rec1cwa52UCEumlYH,FAIL,HTTP Error 403: Forbidden
10.1038/s41467-023-36587-w,recjX2utz9I3wA6Q1,FAIL,HTTP Error 403: Forbidden
10.1073/pnas.1304365110,recYd8bwl6gcq1KwR,FAIL,HTTP Error 403: Forbidden
10.1088/1741-2560/9/4/046011,recqNoUL8pQ6GSvyZ,FAIL,HTTP Error 403: Forbidden
10.1088/1748-3190/10/4/041001,recMHdyJNF0qGg4Wp,FAIL,HTTP Error 403: Forbidden
10.1088/1748-3190/aa8290,recl6W47JHetZC0Px,FAIL,HTTP Error 403: Forbidden
10.1088/1748-3190/aada54,recXVuB69yaIn6437,FAIL,HTTP Error 403: Forbidden
10.1088/1748-3190/ac1ced,reczLE9Hbbjz1dwyz,FAIL,HTTP Error 403: Forbidden
10.1088/1748-3190/ac28ea,rec4NTyIWTWAom4fq,FAIL,HTTP Error 403: Forbidden
10.1098/rsif.2012.0669,rec35pluvCkgMozzQ,FAIL,HTTP Error 403: Forbidden
10.1098/rspb.1911.0077,recmMgSVwdJCnZEpy,FAIL,HTTP Error 403: Forbidden
10.1098/rstb.2006.1889,rec2FItA3bMpFmt7D,FAIL,HTTP Error 403: Forbidden
10.1098/rstb.2009.0322,recYU7SLR2XHrfH0W,FAIL,HTTP Error 403: Forbidden
10.1101/2020.07.16.205856,reclV1akyJ2bsXtyQ,FAIL,HTTP Error 403: Forbidden
10.1101/2020.07.29.226530,recZxoFgqdQh2aUJO,FAIL,HTTP Error 403: Forbidden
10.1101/2022.05.21.492933,rec8SaFrCjyBMQ3J8,FAIL,HTTP Error 403: Forbidden
10.1101/2023.10.31.564886,recFqSV9WOXZsTiV9,FAIL,HTTP Error 403: Forbidden
10.1101/226316,recquuotbJdD8Svfn,FAIL,HTTP Error 403: Forbidden
10.1109/lcsys.2018.2871126,recwhu776pPJWjxVz,FAIL,HTTP Error 403: Forbidden
10.1111/j.1460-9568.2010.07354.x,recyaLy0ToIQpfrnw,FAIL,HTTP Error 403: Forbidden
10.1111/j.1469-7793.1998.277bu.x,recayW4BudURUfmSb,FAIL,HTTP Error 403: Forbidden
10.1111/j.1469-7793.1998.293bu.x,recXn5YzGAlqnE7K9,FAIL,HTTP Error 403: Forbidden
10.1111/j.1469-7793.1999.00691.x,recSh9tW4eoP1c5tq,FAIL,HTTP Error 403: Forbidden
10.1111/j.1469-7793.2000.00389.x,rec9RDRjijNiY2b26,FAIL,HTTP Error 403: Forbidden
10.1111/j.1469-7793.2000.00639.x,recSdhE0hA5bdq22R,FAIL,HTTP Error 403: Forbidden
10.1111/j.1469-7793.2000.00817.x,reca4OL8XXDjk9p7L,FAIL,HTTP Error 403: Forbidden
10.1111/j.1469-7793.2000.t01-1-00549.x,rec3BRkL2st5JzzeI,FAIL,HTTP Error 403: Forbidden
10.1111/j.1749-6632.2010.05435.x,recnEhLZMGIbVnYto,FAIL,HTTP Error 403: Forbidden
10.1111/nyas.12055,recz1Rd5e3MeAx9N7,FAIL,HTTP Error 403: Forbidden
10.1113/jp274518,recja84CmiJ1iWCon,FAIL,HTTP Error 403: Forbidden
10.1113/jphysiol.1910.sp001362,recMfFMvBOIrfAd2d,FAIL,HTTP Error 403: Forbidden
