"key","type","title","DOI","date","pub","collections"
"SFR9EXZC","journalArticle","Role of muscle spindle feedback in regulating muscle activity strength during walking at different speed in mice","10.1152/jn.00250.2018","2018-11-01","Journal of Neurophysiology","7N4C29P2"
"VNM365DU","journalArticle","The role of cutaneous afferents from the distal hindlimb in the regulation of the step cycle of thalamic cats","10.1007/bf00235013","1976-01-26","Experimental Brain Research","N9R9QB36"
"KNAY4XY3","journalArticle","The capsular ligaments provide more hip rotational restraint than the acetabular labrum and the ligamentum teres","10.1302/0301-620X.97B4.34638","2015-4-01","The Bone & Joint Journal","Q5A46GCA"
"BZ96P83A","journalArticle","How Good Are Neuron Models?","10.1126/science.1181936","2009-10-16","Science","YGJ8NW46"
"AD5FLG3L","journalArticle","Loihi: A Neuromorphic Manycore Processor with On-Chip Learning","10.1109/MM.2018.112130359","1/2018","IEEE Micro","LRCMDEWK;LYPSVMQL;RPTFU546"
"KATLKEZN","journalArticle","Neuromodulation and flexibility in Central Pattern Generator networks","10.1016/j.conb.2011.05.011","10/2011","Current Opinion in Neurobiology","TYJX29H8"
"CG7AG3JJ","journalArticle","Locomotor Rhythm Generation Linked to the Output of Spinal Shox2 Excitatory Interneurons","10.1016/j.neuron.2013.08.015","2013-11-20","Neuron","N9R9QB36"
"2WBH5CPN","journalArticle","A three-dimensional musculoskeletal model of the dog","10.1101/2020.07.16.205856","2020-07-16","bioRxiv","N9R9QB36"
"BNU2P88N","journalArticle","Proprioception from a spinocerebellar perspective.","10.1152/physrev.2001.81.2.539","2001-04-01","Physiological Reviews","N9R9QB36"
"FW2V5EY2","journalArticle","Strategies for delineating spinal locomotor rhythm-generating networks and the possible role of Hb9 interneurones in rhythmogenesis","10.1016/j.brainresrev.2007.06.025","2008-01-01","Brain Research Reviews","N9R9QB36"
"F3FHHJXC","journalArticle","FPGA-based elman neural network control system for linear ultrasonic motor","10.1109/TUFFC.2009.1009","January 2009","IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control","5T5PXLZC"
"J9WRBRMQ","webpage","Sensing Unsteady Pressure on MAV Wings: A New Method for Turbulence Alleviation","10.4028/www.scientific.net/AMM.629.48","2014",,"8KUXKGCX;U65AP8TW"
"AHVNFZ5V","journalArticle","Contribution of Afferent Feedback to Adaptive Hindlimb Walking in Cats: A Neuromusculoskeletal Modeling Study","10.3389/fbioe.2022.825149","2022-04-08","Frontiers in Bioengineering and Biotechnology","XXAXGRUX"
"SYL7HTS4","journalArticle","Locomotor Pattern Generation in the Rodent Spinal Cord","10.1007/978-1-0716-1006-0_48","2022-01-01",,"N9R9QB36"
"X4J8KT88","journalArticle","Neural control of locomotion and training-induced plasticity after spinal and cerebral lesions.","10.1016/j.clinph.2010.01.039","2010-10-01","Clinical Neurophysiology","N9R9QB36"
"IK7NYETV","journalArticle","Cutaneous inputs from perineal region facilitate spinal locomotor activity and modulate cutaneous reflexes from the foot in spinal cats.","10.1002/jnr.24791","2021","Journal of Neuroscience Research","N9R9QB36"
"MIDY3M9C","journalArticle","Control of reflex reversal in stick insect walking: effects of intersegmental signals, changes in direction, and optomotor-induced turning","10.1152/jn.00718.2011","2012-01-01","Journal of Neurophysiology","N9R9QB36"
"29VYEMDX","journalArticle","Intralimb and Interlimb Cutaneous Reflexes during Locomotion in the Intact Cat","10.1523/JNEUROSCI.3288-17.2018","2018-04-25","The Journal of Neuroscience","N9R9QB36"
"NX5QRRA7","journalArticle","Transient Loads Occurring over a Thin Airfoil Subjected to Large-Scale Freestream Turbulence","10.2514/1.J052142","2013","AIAA Journal","MMK48V5F;U65AP8TW;VD7TQ8M3"
"E4VMF6LF","journalArticle","Control strategies of 3-cell Central Pattern Generator via global stimuli","10.1038/srep23622","7/2016","Scientific Reports","QIP5VX22"
"6HSHVSQS","journalArticle","NEURAL NETWORK DYNAMICS","10.1146/annurev.neuro.28.061604.135637","2005-07-21","Annual Review of Neuroscience","YGJ8NW46"
"W3X6VNXS","journalArticle","Functional subpopulations of V3 interneurons in the mature mouse spinal cord.","10.1523/jneurosci.2005-13.2013","2013-11-20","The Journal of Neuroscience","N9R9QB36"
"7GXMDX4Y","journalArticle","Coding Efficiency of Fly Motion Processing Is Set by Firing Rate, Not Firing Precision","10.1371/journal.pcbi.1000860","2010-7-22","PLoS Computational Biology","5T5PXLZC"
"IUKJNEMS","journalArticle","Significance of load receptor input during locomotion: a review","10.1016/s0966-6362(99)00052-1","2000-04-01","Gait & Posture","N9R9QB36"
"ZFP3VC5M","journalArticle","Locomotion controller for a crab-like robot","10.1109/robot.1998.676345","1998-05-16",,"N9R9QB36"
"WEQ6RCVY","journalArticle","Candidate interneurones mediating group I disynaptic EPSPs in extensor motoneurones during fictive locomotion in the cat.","10.1113/jphysiol.2004.076034","2005-03-01","The Journal of Physiology","N9R9QB36"
"RSG3WNXM","conferencePaper","Flight attitude estimation for MAV based on M-estimation","10.1109/CECNET.2011.5768718","April 2011",,"8KUXKGCX;U65AP8TW"
"Z6YA6PCQ","journalArticle","Spinal Control of Locomotion: Individual Neurons, Their Circuits and Functions.","10.3389/fphys.2018.00784","2018-06-25","Frontiers in Physiology","N9R9QB36"
