"id","title","author","year","animals","DOI"
"recPoyqO9O9txmwm5","Speed dependency in Î±-motoneuron activity and locomotor modules in human locomotion: indirect evidence for phylogenetically conserved spinal circuits","Yokoyama","2017","Human","10.1098/rspb.2017.0290"
"recQVHpLsp1C9n2mW","On the Influence of Group III/IV Muscle Afferent Feedback on Endurance Exercise Performance","Amann","2020","Human","10.1249/JES.0000000000000233"
"recQd6HSYCeWFpUbu","The spinal control of locomotion and step-to-step variability in left-right symmetry from slow to moderate speeds","Dambreville","2015","Cat","10.1152/jn.00419.2015"
"recQkgW6mi6AezV1b","On the Organization of the Locomotor CPG: Insights From Split-Belt Locomotion and Mathematical Modeling","Latash","2020","Cat","10.3389/fnins.2020.598888"
"recQkmqddP5htUGpf","Insect Walking and Biorobotics: A Relationship with Mutual Benefits","Ritzmann","2000","Insects","10.1641/0006-3568(2000)050[0023:IWABAR]2.3.CO;2"
"recRIvcDW0p0T6DDa","Brainstem Circuits for Locomotion","Leiras","2022","","10.1146/annurev-neuro-082321-025137"
"recRRXllFjR4hJBVE","Spinal control of muscle synergies for adult mammalian locomotion","Desrochers","2019","Cat","10.1113/JP277018"
"recTKRkkbCvTuRqeK","Load-regulating mechanisms in gait and posture: Comparative aspects.","Duysens","2000","","10.1152/physrev.2000.80.1.83"
"recUQzJIupLCDV5g1","Five basic muscle activation patterns account for muscle activity during human locomotion","Ivanenko","2004","Human","10.1113/jphysiol.2003.057174"
"recV6UpcysNrMaRLB","Human lumbar cord circuitries can be activated by extrinsic tonic input to generate locomotor-like activity","Minassian","2007","Human","10.1016/j.humov.2007.01.005"
"recV7qGPJWiTDrPsM","Modelling spinal circuitry involved in locomotor pattern generation: insights from the effects of afferent stimulation","Rybak","2006","Cat","10.1113/jphysiol.2006.118711"
"recV8nQBbNyZDolul","Computational modeling of spinal circuits controlling limb coordination and gaits in quadrupeds","Danner","2017","Mice","10.7554/eLife.31050"
"recVlk7Kg9rIPLH2v","On the central generation of locomotion in the low spinal cat","Grillner and Zangger","1979","Cat","10.1007/BF00235671"
"recWXxJaQbUDJd31b","Activity of interneurons mediating reciprocal 1a inhibition during locomotion","Feldman and Orlovsky","1975","Cat","10.1016/0006-8993(75)90974-9"
