TimeSlice	Time	L Hip MN ext	L Hip MN flx	L Hip PF flx	L Hip PF ext	L RG ext	L RG flx
2555	0.511	-0.0556508	-0.0847723	-0.0602574	-0.0578549	-0.0582484	-0.0595563
2556	0.5112	-0.0556638	-0.0847694	-0.0602556	-0.057856	-0.0582534	-0.0595524
2557	0.5114	-0.0556768	-0.0847664	-0.0602538	-0.0578571	-0.0582583	-0.0595484
2558	0.5116	-0.0556898	-0.0847636	-0.060252	-0.0578582	-0.0582633	-0.0595444
2559	0.5118	-0.0557028	-0.0847607	-0.0602503	-0.0578593	-0.0582682	-0.0595403
2560	0.512	-0.0557158	-0.084758	-0.0602485	-0.0578604	-0.0582732	-0.0595363
2561	0.5122	-0.0557288	-0.0847552	-0.0602467	-0.0578615	-0.0582783	-0.0595322
2562	0.5124	-0.0557419	-0.0847525	-0.0602449	-0.0578626	-0.0582833	-0.0595281
2563	0.5126	-0.0557549	-0.0847499	-0.0602431	-0.0578637	-0.0582884	-0.0595239
2564	0.5128	-0.055768	-0.0847473	-0.0602413	-0.0578648	-0.0582935	-0.0595198
2565	0.513	-0.0557811	-0.0847448	-0.0602395	-0.0578659	-0.0582986	-0.0595156
2566	0.5132	-0.0557941	-0.0847423	-0.0602377	-0.057867	-0.0583038	-0.0595113
2567	0.5134	-0.0558072	-0.0847398	-0.0602359	-0.0578681	-0.058309	-0.0595071
2568	0.5136	-0.0558204	-0.0847374	-0.0602341	-0.0578692	-0.0583142	-0.0595028
2569	0.5138	-0.0558335	-0.0847351	-0.0602322	-0.0578703	-0.0583194	-0.0594985
2570	0.514	-0.0558466	-0.0847328	-0.0602304	-0.0578714	-0.0583246	-0.0594942
2571	0.5142	-0.0558597	-0.0847306	-0.0602286	-0.0578725	-0.0583299	-0.0594898
2572	0.5144	-0.0558729	-0.0847284	-0.0602268	-0.0578736	-0.0583352	-0.0594855
2573	0.5146	-0.0558861	-0.0847262	-0.060225	-0.0578747	-0.0583405	-0.0594811
2574	0.5148	-0.0558993	-0.0847241	-0.0602232	-0.0578758	-0.0583458	-0.0594766
2575	0.515	-0.0559124	-0.084722	-0.0602213	-0.057877	-0.0583512	-0.0594721
2576	0.5152	-0.0559256	-0.0847201	-0.0602195	-0.0578781	-0.0583566	-0.0594677
2577	0.5154	-0.0559389	-0.0847181	-0.0602177	-0.0578792	-0.058362	-0.0594631
2578	0.5156	-0.0559521	-0.0847162	-0.0602158	-0.0578803	-0.0583674	-0.0594586
2579	0.5158	-0.0559653	-0.0847143	-0.060214	-0.0578814	-0.0583729	-0.059454
2580	0.516	-0.0559786	-0.0847125	-0.0602122	-0.0578825	-0.0583784	-0.0594494
2581	0.5162	-0.0559918	-0.0847108	-0.0602103	-0.0578836	-0.0583839	-0.0594448
2582	0.5164	-0.056005	-0.0847091	-0.0602085	-0.0578848	-0.0583894	-0.0594401
2583	0.5166	-0.0560182	-0.0847074	-0.0602066	-0.0578859	-0.0583949	-0.0594354
2584	0.5168	-0.0560314	-0.0847058	-0.0602048	-0.057887	-0.0584005	-0.0594307
2585	0.517	-0.0560445	-0.0847043	-0.0602029	-0.0578881	-0.0584061	-0.0594259
2586	0.5172	-0.0560576	-0.0847028	-0.0602011	-0.0578892	-0.0584118	-0.0594211
2587	0.5174	-0.0560707	-0.0847013	-0.0601992	-0.0578904	-0.0584174	-0.0594163
2588	0.5176	-0.0560837	-0.0846999	-0.0601973	-0.0578915	-0.0584231	-0.0594115
2589	0.5178	-0.0560967	-0.0846986	-0.0601955	-0.0578926	-0.0584288	-0.0594066
2590	0.518	-0.0561096	-0.0846973	-0.0601936	-0.0578937	-0.0584345	-0.0594017
2591	0.5182	-0.0561225	-0.084696	-0.0601917	-0.0578949	-0.0584403	-0.0593967
2592	0.5184	-0.0561353	-0.0846948	-0.0601899	-0.057896	-0.058446	-0.0593918
2593	0.5186	-0.0561481	-0.0846937	-0.060188	-0.0578971	-0.0584518	-0.0593868
2594	0.5188	-0.0561609	-0.0846926	-0.0601861	-0.0578983	-0.0584576	-0.0593817
2595	0.519	-0.0561736	-0.0846916	-0.0601842	-0.0578994	-0.0584635	-0.0593767
2596	0.5192	-0.0561862	-0.0846906	-0.0601823	-0.0579005	-0.0584694	-0.0593716
2597	0.5194	-0.0561988	-0.0846896	-0.0601804	-0.0579016	-0.0584753	-0.0593665
2598	0.5196	-0.0562114	-0.0846887	-0.0601785	-0.0579028	-0.0584812	-0.0593613
2599	0.5198	-0.0562239	-0.0846879	-0.0601766	-0.0579039	-0.0584871	-0.0593561
2600	0.52	-0.0562363	-0.0846871	-0.0601747	-0.0579051	-0.0584931	-0.0593509
2601	0.5202	-0.0562487	-0.0846863	-0.0601728	-0.0579062	-0.0584991	-0.0593457
2602	0.5204	-0.0562611	-0.0846857	-0.0601709	-0.0579073	-0.0585051	-0.0593404
2603	0.5206	-0.0562734	-0.084685	-0.060169	-0.0579085	-0.0585111	-0.059335
2604	0.5208	-0.0562857	-0.0846844	-0.0601671	-0.0579096	-0.0585172	-0.0593297
2605	0.521	-0.056298	-0.0846839	-0.0601652	-0.0579107	-0.0585233	-0.0593243
2606	0.5212	-0.0563102	-0.0846834	-0.0601633	-0.0579119	-0.0585294	-0.0593189
2607	0.5214	-0.0563224	-0.0846829	-0.0601613	-0.057913	-0.0585355	-0.0593134
2608	0.5216	-0.0563345	-0.0846825	-0.0601594	-0.0579142	-0.0585417	-0.059308
2609	0.5218	-0.0563467	-0.0846822	-0.0601575	-0.0579153	-0.0585479	-0.0593024
2610	0.522	-0.0563587	-0.0846818	-0.0601555	-0.0579165	-0.0585541	-0.0592969
2611	0.5222	-0.0563708	-0.0846816	-0.0601536	-0.0579176	-0.0585604	-0.0592913
2612	0.5224	-0.0563828	-0.0846814	-0.0601516	-0.0579188	-0.0585666	-0.0592857
2613	0.5226	-0.0563948	-0.0846812	-0.0601497	-0.0579199	-0.0585729	-0.05928
2614	0.5228	-0.0564068	-0.0846811	-0.0601478	-0.0579211	-0.0585792	-0.0592743
2615	0.523	-0.0564187	-0.084681	-0.0601458	-0.0579222	-0.0585856	-0.0592686
2616	0.5232	-0.0564307	-0.084681	-0.0601438	-0.0579234	-0.0585919	-0.0592628
2617	0.5234	-0.0564426	-0.084681	-0.0601419	-0.0579245	-0.0585983	-0.059257
2618	0.5236	-0.0564544	-0.0846811	-0.0601399	-0.0579257	-0.0586047	-0.0592512
2619	0.5238	-0.0564663	-0.0846812	-0.0601379	-0.0579268	-0.0586112	-0.0592453
2620	0.524	-0.0564781	-0.0846814	-0.060136	-0.057928	-0.0586176	-0.0592394
2621	0.5242	-0.05649	-0.0846816	-0.060134	-0.0579292	-0.0586241	-0.0592335
2622	0.5244	-0.0565018	-0.0846819	-0.060132	-0.0579303	-0.0586306	-0.0592275
2623	0.5246	-0.0565136	-0.0846822	-0.06013	-0.0579315	-0.0586372	-0.0592215
2624	0.5248	-0.0565253	-0.0846825	-0.060128	-0.0579326	-0.0586437	-0.0592154
2625	0.525	-0.0565371	-0.0846829	-0.060126	-0.0579338	-0.0586503	-0.0592093
