TimeSlice	Time	R Hip ext Ia	R Hip flx Ia	R Hip ext Ia IN	R Hip flx Ia IN	R Hip flx Ib	R Hip ext Ib	R Hip MN flx	R Hip MN ext	R Hip MN ext RE	R Hip MN flx RE
36	0.0072	-0.0578426	-0.0575869	-0.0581803	-0.0581803	-0.0570831	-0.0594385	-0.0667692	-0.0720479	-0.0559517	-0.0558378
37	0.0074	-0.0579032	-0.0576368	-0.0581547	-0.0581547	-0.0569382	-0.0593974	-0.0676878	-0.0733506	-0.0560003	-0.0558721
38	0.0076	-0.0579584	-0.0576851	-0.0581301	-0.0581301	-0.0567989	-0.0593578	-0.0685799	-0.0745766	-0.0560495	-0.0559061
39	0.0078	-0.0580085	-0.0577316	-0.0581065	-0.0581065	-0.0566651	-0.0593199	-0.0694444	-0.0757305	-0.056099	-0.0559398
40	0.008	-0.0580537	-0.0577764	-0.0580825	-0.0580825	-0.0565165	-0.0592763	-0.07028	-0.0768169	-0.0561487	-0.0559729
41	0.0082	-0.0580944	-0.0578191	-0.0580594	-0.0580594	-0.0563737	-0.0592345	-0.0710832	-0.0778395	-0.0561983	-0.0560056
42	0.0084	-0.0581309	-0.0578598	-0.0580373	-0.0580373	-0.0562365	-0.0591943	-0.0718532	-0.0788022	-0.0562476	-0.0560377
43	0.0086	-0.0581633	-0.0578983	-0.058016	-0.058016	-0.0561047	-0.0591556	-0.0725892	-0.0797087	-0.0562966	-0.0560692
44	0.0088	-0.058192	-0.0579347	-0.0579956	-0.0579956	-0.055978	-0.0591185	-0.0732905	-0.0805627	-0.0563449	-0.0561
45	0.009	-0.0582173	-0.057969	-0.0579746	-0.0579746	-0.055851	-0.0590815	-0.0739564	-0.0813673	-0.0563926	-0.05613
46	0.0092	-0.0582393	-0.058001	-0.0579545	-0.0579545	-0.0557289	-0.059046	-0.0745859	-0.0821254	-0.0564395	-0.0561591
47	0.0094	-0.0582582	-0.0580307	-0.0579352	-0.0579352	-0.0556116	-0.0590119	-0.0751786	-0.08284	-0.0564855	-0.0561874
48	0.0096	-0.0582743	-0.0580582	-0.0579166	-0.0579166	-0.055499	-0.0589791	-0.0757342	-0.0835136	-0.0565305	-0.0562147
49	0.0098	-0.0582878	-0.0580829	-0.0578988	-0.0578988	-0.0553907	-0.0589476	-0.0762436	-0.0841489	-0.0565744	-0.056241
50	0.01	-0.0582988	-0.058105	-0.0578804	-0.0578804	-0.0552944	-0.0589186	-0.0767084	-0.0847481	-0.0566173	-0.0562662
51	0.0102	-0.0583076	-0.0581247	-0.0578626	-0.0578626	-0.0552018	-0.0588907	-0.0771328	-0.0853136	-0.056659	-0.0562902
52	0.0104	-0.0583143	-0.0581421	-0.0578456	-0.0578456	-0.0551129	-0.058864	-0.0775199	-0.0858475	-0.0566995	-0.056313
53	0.0106	-0.0583191	-0.0581573	-0.0578293	-0.0578293	-0.0550274	-0.0588382	-0.0778722	-0.0863515	-0.0567388	-0.0563344
54	0.0108	-0.0583221	-0.0581707	-0.0578136	-0.0578136	-0.0549453	-0.0588135	-0.0781925	-0.0868276	-0.0567768	-0.0563545
55	0.011	-0.0583235	-0.0581823	-0.0577972	-0.0577972	-0.0548819	-0.0587924	-0.0784831	-0.0872773	-0.0568136	-0.0563732
56	0.0112	-0.0583234	-0.0581922	-0.0577814	-0.0577814	-0.0548209	-0.0587722	-0.0787481	-0.0877024	-0.0568491	-0.0563905
57	0.0114	-0.0583219	-0.0582005	-0.0577663	-0.0577663	-0.0547624	-0.0587527	-0.0789897	-0.0881044	-0.0568833	-0.0564064
58	0.0116	-0.0583191	-0.0582075	-0.0577517	-0.0577517	-0.0547061	-0.058734	-0.0792094	-0.0884845	-0.0569163	-0.056421
59	0.0118	-0.0583152	-0.0582132	-0.0577378	-0.0577378	-0.0546521	-0.0587161	-0.0794089	-0.0888441	-0.0569479	-0.0564341
60	0.012	-0.0583103	-0.0582177	-0.0577231	-0.0577231	-0.0546187	-0.0587022	-0.0795898	-0.0891842	-0.0569783	-0.0564458
61	0.0122	-0.0583044	-0.0582212	-0.057709	-0.057709	-0.0545866	-0.0586889	-0.079756	-0.0895063	-0.0570074	-0.0564562
62	0.0124	-0.0582976	-0.0582236	-0.0576954	-0.0576954	-0.0545558	-0.0586761	-0.0799085	-0.0898114	-0.0570352	-0.0564652
63	0.0126	-0.05829	-0.0582252	-0.0576824	-0.0576824	-0.0545263	-0.0586638	-0.0800485	-0.0901004	-0.0570618	-0.0564729
64	0.0128	-0.0582817	-0.0582259	-0.0576698	-0.0576698	-0.0544978	-0.058652	-0.0801767	-0.0903742	-0.0570872	-0.0564793
65	0.013	-0.0582728	-0.058226	-0.0576565	-0.0576565	-0.0544897	-0.0586445	-0.0802942	-0.0906336	-0.0571113	-0.0564845
66	0.0132	-0.0582634	-0.0582253	-0.0576438	-0.0576438	-0.0544819	-0.0586372	-0.0804043	-0.0908797	-0.0571343	-0.0564884
67	0.0134	-0.0582533	-0.0582241	-0.0576315	-0.0576315	-0.0544744	-0.0586302	-0.0805075	-0.0911133	-0.0571561	-0.0564912
68	0.0136	-0.0582429	-0.0582223	-0.0576197	-0.0576197	-0.0544672	-0.0586234	-0.0806043	-0.091335	-0.0571768	-0.0564928
69	0.0138	-0.058232	-0.05822	-0.0576084	-0.0576084	-0.0544603	-0.058617	-0.0806952	-0.0915454	-0.0571963	-0.0564934
70	0.014	-0.0582208	-0.0582173	-0.0575963	-0.0575963	-0.0544725	-0.0586147	-0.0807805	-0.0917451	-0.0572147	-0.0564929
71	0.0142	-0.0582093	-0.0582142	-0.0575847	-0.0575847	-0.0544841	-0.0586124	-0.0808632	-0.091935	-0.057232	-0.0564914
72	0.0144	-0.0581975	-0.0582108	-0.0575735	-0.0575735	-0.0544953	-0.0586103	-0.0809434	-0.0921157	-0.0572483	-0.0564889
73	0.0146	-0.0581855	-0.058207	-0.0575627	-0.0575627	-0.054506	-0.0586082	-0.0810211	-0.0922875	-0.0572635	-0.0564856
74	0.0148	-0.0581733	-0.058203	-0.0575524	-0.0575524	-0.0545163	-0.0586062	-0.0810966	-0.0924509	-0.0572777	-0.0564813
75	0.015	-0.058161	-0.0581989	-0.0575413	-0.0575413	-0.0545441	-0.0586082	-0.0811698	-0.0926064	-0.057291	-0.0564763
76	0.0152	-0.0581485	-0.0581945	-0.0575307	-0.0575307	-0.0545707	-0.0586101	-0.0812432	-0.0927546	-0.0573032	-0.0564704
77	0.0154	-0.0581359	-0.0581898	-0.0575204	-0.0575204	-0.0545964	-0.058612	-0.0813158	-0.092896	-0.0573146	-0.0564639
78	0.0156	-0.0581233	-0.0581848	-0.0575106	-0.0575106	-0.054621	-0.0586138	-0.0813834	-0.0930308	-0.057325	-0.0564566
79	0.0158	-0.0581106	-0.0581795	-0.0575011	-0.0575011	-0.0546446	-0.0586155	-0.0814461	-0.0931594	-0.0573345	-0.0564486
