TimeSlice	Time	L Knee ext Ia	L Knee flx Ia	L Knee ext Ia IN	L Knee flx Ia IN	L Knee flx Ib	L Knee ext Ib	L Knee MN ext	L Knee MN flx	L Knee MN ext RE	L Knee MN flx RE
35	0.007	-0.0585891	-0.0588459	-0.0599991	-0.0599984	-0.0596029	-0.0594762	-0.0661124	-0.069246	-0.0557996	-0.0558675
36	0.0072	-0.0586776	-0.0589514	-0.0599991	-0.0599984	-0.0595921	-0.0594441	-0.067169	-0.070572	-0.0558358	-0.0559121
37	0.0074	-0.0587644	-0.0590507	-0.0599991	-0.0599984	-0.0595817	-0.0594133	-0.0682131	-0.0718214	-0.0558721	-0.0559575
38	0.0076	-0.0588494	-0.0591442	-0.0599991	-0.0599984	-0.0595716	-0.0593837	-0.0692428	-0.0729991	-0.0559085	-0.0560034
39	0.0078	-0.0589324	-0.0592323	-0.0599991	-0.0599984	-0.059562	-0.0593552	-0.0702564	-0.0741098	-0.0559449	-0.0560496
40	0.008	-0.0590132	-0.059315	-0.0599991	-0.0599983	-0.0595593	-0.0593293	-0.0712524	-0.0751576	-0.0559813	-0.0560959
41	0.0082	-0.0590917	-0.0593928	-0.059999	-0.0599983	-0.0595567	-0.0593044	-0.0722291	-0.0761475	-0.0560177	-0.056142
42	0.0084	-0.0591678	-0.0594659	-0.059999	-0.0599983	-0.0595542	-0.0592804	-0.0731851	-0.0770831	-0.056054	-0.0561878
43	0.0086	-0.0592414	-0.0595346	-0.059999	-0.0599983	-0.0595518	-0.0592574	-0.0741188	-0.0779678	-0.0560901	-0.0562332
44	0.0088	-0.0593124	-0.059599	-0.059999	-0.0599983	-0.0595495	-0.0592353	-0.0750287	-0.0788049	-0.0561261	-0.056278
45	0.009	-0.0593808	-0.0596595	-0.059999	-0.0599983	-0.0595517	-0.059216	-0.0759135	-0.0795973	-0.0561619	-0.0563222
46	0.0092	-0.0594464	-0.0597161	-0.059999	-0.0599982	-0.0595538	-0.0591973	-0.0767719	-0.0803484	-0.0561974	-0.0563655
47	0.0094	-0.0595093	-0.0597693	-0.059999	-0.0599982	-0.0595559	-0.0591795	-0.0776029	-0.0810608	-0.0562325	-0.056408
48	0.0096	-0.0595694	-0.0598191	-0.059999	-0.0599982	-0.0595579	-0.0591623	-0.0784052	-0.0817369	-0.0562674	-0.0564495
49	0.0098	-0.0596261	-0.0598657	-0.059999	-0.0599982	-0.0595598	-0.0591457	-0.0791681	-0.0823789	-0.0563017	-0.05649
50	0.01	-0.0596796	-0.0599094	-0.059999	-0.0599982	-0.0595658	-0.0591318	-0.0798925	-0.0829888	-0.0563356	-0.0565294
