TimeSlice	Time	R Knee flx Ia	R Knee ext Ia	R Knee ext Ia IN	R Knee flx Ia IN	R Knee ext Ib	R Knee flx Ib	R Knee MN flx	R Knee MN ext	R Knee MN flx RE	L Knee MN ext RE
35	0.007	-0.0585887	-0.0588463	-0.0599991	-0.0599984	-0.0594857	-0.0596168	-0.0660283	-0.0693396	-0.0557977	-0.0558693
36	0.0072	-0.0586771	-0.0589518	-0.0599991	-0.0599984	-0.0594555	-0.0596067	-0.0670814	-0.070672	-0.0558337	-0.0559142
37	0.0074	-0.058764	-0.0590511	-0.0599991	-0.0599984	-0.0594264	-0.059597	-0.0681227	-0.0719269	-0.0558698	-0.0559599
38	0.0076	-0.058849	-0.0591447	-0.059999	-0.0599984	-0.0593985	-0.0595877	-0.0691506	-0.0731093	-0.0559059	-0.0560061
39	0.0078	-0.058932	-0.0592327	-0.059999	-0.0599984	-0.0593717	-0.0595787	-0.0701633	-0.0742239	-0.0559421	-0.0560526
40	0.008	-0.0590128	-0.0593154	-0.059999	-0.0599983	-0.0593449	-0.0595748	-0.0711591	-0.0752748	-0.0559783	-0.0560991
41	0.0082	-0.0590913	-0.0593932	-0.059999	-0.0599983	-0.0593193	-0.059571	-0.0721368	-0.0762661	-0.0560144	-0.0561455
42	0.0084	-0.0591674	-0.0594663	-0.059999	-0.0599983	-0.0592946	-0.0595674	-0.0730949	-0.0772016	-0.0560505	-0.0561917
43	0.0086	-0.0592411	-0.059535	-0.059999	-0.0599983	-0.0592709	-0.0595639	-0.0740318	-0.0780847	-0.0560864	-0.0562374
44	0.0088	-0.0593121	-0.0595994	-0.059999	-0.0599983	-0.0592481	-0.0595605	-0.074946	-0.0789188	-0.0561222	-0.0562824
45	0.009	-0.0593804	-0.0596598	-0.059999	-0.0599983	-0.0592275	-0.0595622	-0.075836	-0.079707	-0.0561578	-0.0563268
46	0.0092	-0.0594461	-0.0597165	-0.059999	-0.0599982	-0.0592077	-0.0595638	-0.0767012	-0.0804521	-0.0561932	-0.0563704
47	0.0094	-0.0595089	-0.0597696	-0.059999	-0.0599982	-0.0591886	-0.0595654	-0.0775402	-0.0811569	-0.0562282	-0.0564131
48	0.0096	-0.059569	-0.0598194	-0.0599989	-0.0599982	-0.0591703	-0.0595669	-0.0783518	-0.0818239	-0.0562629	-0.0564547
49	0.0098	-0.0596258	-0.059866	-0.0599989	-0.0599982	-0.0591527	-0.0595684	-0.0791252	-0.0824553	-0.0562973	-0.0564954
50	0.01	-0.0596793	-0.0599096	-0.0599989	-0.0599982	-0.0591368	-0.0595745	-0.0798612	-0.0830534	-0.0563311	-0.0565349
51	0.0102	-0.0597297	-0.0599505	-0.0599989	-0.0599982	-0.0591215	-0.0595804	-0.0805626	-0.0836203	-0.0563645	-0.0565733
52	0.0104	-0.0597772	-0.0599887	-0.0599989	-0.0599982	-0.0591068	-0.0595861	-0.0812313	-0.0841579	-0.0563972	-0.0566105
