TimeSlice	Time	L Hip PF ext IN	L Hip PF flx IN	L Hip PF ext	L Hip PF flx
6689	1.3378	-0.0566274	-0.06	-0.0574675	-0.0607893
6690	1.338	-0.05663	-0.06	-0.0574696	-0.0607864
6691	1.3382	-0.0566325	-0.06	-0.0574716	-0.0607835
6692	1.3384	-0.056635	-0.06	-0.0574737	-0.0607807
6693	1.3386	-0.0566375	-0.06	-0.0574757	-0.0607778
6694	1.3388	-0.05664	-0.06	-0.0574777	-0.060775
6695	1.339	-0.0566425	-0.06	-0.0574798	-0.0607722
6696	1.3392	-0.056645	-0.06	-0.0574818	-0.0607694
6697	1.3394	-0.0566474	-0.06	-0.0574837	-0.0607666
6698	1.3396	-0.0566499	-0.06	-0.0574857	-0.0607638
6699	1.3398	-0.0566523	-0.06	-0.0574877	-0.060761
6700	1.34	-0.0566547	-0.06	-0.0574896	-0.0607582
6701	1.3402	-0.0566571	-0.06	-0.0574916	-0.0607555
6702	1.3404	-0.0566595	-0.06	-0.0574935	-0.0607528
6703	1.3406	-0.0566619	-0.06	-0.0574955	-0.06075
6704	1.3408	-0.0566642	-0.06	-0.0574974	-0.0607473
6705	1.341	-0.0566666	-0.06	-0.0574993	-0.0607446
6706	1.3412	-0.0566689	-0.06	-0.0575012	-0.0607419
6707	1.3414	-0.0566713	-0.06	-0.0575031	-0.0607392
6708	1.3416	-0.0566736	-0.06	-0.057505	-0.0607366
6709	1.3418	-0.0566759	-0.06	-0.0575068	-0.0607339
6710	1.342	-0.0566782	-0.06	-0.0575087	-0.0607313
6711	1.3422	-0.0566804	-0.06	-0.0575105	-0.0607286
6712	1.3424	-0.0566827	-0.06	-0.0575124	-0.060726
6713	1.3426	-0.056685	-0.06	-0.0575142	-0.0607234
6714	1.3428	-0.0566872	-0.06	-0.057516	-0.0607208
6715	1.343	-0.0566894	-0.06	-0.0575178	-0.0607182
6716	1.3432	-0.0566917	-0.06	-0.0575196	-0.0607156
6717	1.3434	-0.0566939	-0.06	-0.0575214	-0.0607131
6718	1.3436	-0.0566961	-0.06	-0.0575232	-0.0607105
6719	1.3438	-0.0566982	-0.06	-0.057525	-0.0607079
6720	1.344	-0.0567004	-0.06	-0.0575268	-0.0607054
6721	1.3442	-0.0567026	-0.06	-0.0575285	-0.0607029
6722	1.3444	-0.0567047	-0.06	-0.0575303	-0.0607004
6723	1.3446	-0.0567069	-0.06	-0.057532	-0.0606979
6724	1.3448	-0.056709	-0.06	-0.0575337	-0.0606954
6725	1.345	-0.0567111	-0.06	-0.0575355	-0.0606929
6726	1.3452	-0.0567132	-0.06	-0.0575372	-0.0606904
6727	1.3454	-0.0567154	-0.06	-0.0575389	-0.0606879
6728	1.3456	-0.0567174	-0.06	-0.0575406	-0.0606855
6729	1.3458	-0.0567195	-0.06	-0.0575423	-0.060683
6730	1.346	-0.0567216	-0.06	-0.0575439	-0.0606806
6731	1.3462	-0.0567237	-0.06	-0.0575456	-0.0606782
6732	1.3464	-0.0567257	-0.06	-0.0575473	-0.0606758
6733	1.3466	-0.0567277	-0.06	-0.0575489	-0.0606733
6734	1.3468	-0.0567298	-0.06	-0.0575506	-0.0606709
6735	1.347	-0.0567318	-0.06	-0.0575522	-0.0606686
6736	1.3472	-0.0567338	-0.06	-0.0575539	-0.0606662
6737	1.3474	-0.0567358	-0.06	-0.0575555	-0.0606638
6738	1.3476	-0.0567378	-0.06	-0.0575571	-0.0606615
6739	1.3478	-0.0567398	-0.06	-0.0575587	-0.0606591
6740	1.348	-0.0567417	-0.06	-0.0575603	-0.0606568
6741	1.3482	-0.0567437	-0.06	-0.0575619	-0.0606544
6742	1.3484	-0.0567457	-0.06	-0.0575635	-0.0606521
6743	1.3486	-0.0567476	-0.06	-0.0575651	-0.0606498
6744	1.3488	-0.0567495	-0.06	-0.0575667	-0.0606475
6745	1.349	-0.0567515	-0.06	-0.0575682	-0.0606452
6746	1.3492	-0.0567534	-0.06	-0.0575698	-0.0606429
6747	1.3494	-0.0567553	-0.06	-0.0575713	-0.0606407
6748	1.3496	-0.0567572	-0.06	-0.0575729	-0.0606384
6749	1.3498	-0.0567591	-0.06	-0.0575744	-0.0606361
6750	1.35	-0.0567609	-0.06	-0.0575759	-0.0606339
6751	1.3502	-0.0567628	-0.06	-0.0575775	-0.0606317
6752	1.3504	-0.0567647	-0.06	-0.057579	-0.0606294
6753	1.3506	-0.0567665	-0.06	-0.0575805	-0.0606272
6754	1.3508	-0.0567684	-0.06	-0.057582	-0.060625
6755	1.351	-0.0567702	-0.06	-0.0575835	-0.0606228
6756	1.3512	-0.056772	-0.06	-0.057585	-0.0606206
6757	1.3514	-0.0567739	-0.06	-0.0575865	-0.0606184
6758	1.3516	-0.0567757	-0.06	-0.0575879	-0.0606162
6759	1.3518	-0.0567775	-0.06	-0.0575894	-0.0606141
6760	1.352	-0.0567793	-0.06	-0.0575909	-0.0606119
6761	1.3522	-0.0567811	-0.06	-0.0575923	-0.0606097
6762	1.3524	-0.0567828	-0.06	-0.0575938	-0.0606076
6763	1.3526	-0.0567846	-0.06	-0.0575952	-0.0606055
6764	1.3528	-0.0567864	-0.06	-0.0575966	-0.0606033
6765	1.353	-0.0567881	-0.06	-0.0575981	-0.0606012
6766	1.3532	-0.0567899	-0.06	-0.0575995	-0.0605991
6767	1.3534	-0.0567916	-0.06	-0.0576009	-0.060597
6768	1.3536	-0.0567933	-0.06	-0.0576023	-0.0605949
6769	1.3538	-0.0567951	-0.06	-0.0576037	-0.0605928
6770	1.354	-0.0567968	-0.06	-0.0576051	-0.0605907
6771	1.3542	-0.0567985	-0.06	-0.0576065	-0.0605887
6772	1.3544	-0.0568002	-0.06	-0.0576079	-0.0605866
6773	1.3546	-0.0568019	-0.06	-0.0576093	-0.0605845
6774	1.3548	-0.0568036	-0.06	-0.0576107	-0.0605825
6775	1.355	-0.0568053	-0.06	-0.057612	-0.0605805
6776	1.3552	-0.0568069	-0.06	-0.0576134	-0.0605784
6777	1.3554	-0.0568086	-0.06	-0.0576147	-0.0605764
6778	1.3556	-0.0568102	-0.06	-0.0576161	-0.0605744
6779	1.3558	-0.0568119	-0.06	-0.0576174	-0.0605724
6780	1.356	-0.0568135	-0.06	-0.0576188	-0.0605703
6781	1.3562	-0.0568152	-0.06	-0.0576201	-0.0605683
6782	1.3564	-0.0568168	-0.06	-0.0576214	-0.0605663
6783	1.3566	-0.0568184	-0.06	-0.0576228	-0.0605643
6784	1.3568	-0.05682	-0.06	-0.0576241	-0.0605623
6785	1.357	-0.0568216	-0.06	-0.0576254	-0.0605603
6786	1.3572	-0.0568232	-0.06	-0.0576267	-0.0605583
6787	1.3574	-0.0568248	-0.06	-0.057628	-0.0605563
6788	1.3576	-0.0568264	-0.06	-0.0576293	-0.0605544
6789	1.3578	-0.056828	-0.06	-0.0576306	-0.0605524
6790	1.358	-0.0568296	-0.06	-0.0576319	-0.0605504
6791	1.3582	-0.0568311	-0.06	-0.0576331	-0.0605484
6792	1.3584	-0.0568327	-0.06	-0.0576344	-0.0605465
6793	1.3586	-0.0568343	-0.06	-0.0576357	-0.0605445
6794	1.3588	-0.0568358	-0.06	-0.057637	-0.0605426
6795	1.359	-0.0568374	-0.06	-0.0576382	-0.0605406
6796	1.3592	-0.0568389	-0.06	-0.0576395	-0.0605387
6797	1.3594	-0.0568404	-0.06	-0.0576407	-0.0605367
6798	1.3596	-0.0568419	-0.06	-0.057642	-0.0605348
6799	1.3598	-0.0568435	-0.06	-0.0576432	-0.0605329
6800	1.36	-0.056845	-0.06	-0.0576445	-0.060531
6801	1.3602	-0.0568465	-0.06	-0.0576457	-0.060529
6802	1.3604	-0.056848	-0.06	-0.0576469	-0.0605271
6803	1.3606	-0.0568495	-0.06	-0.0576482	-0.0605252
6804	1.3608	-0.056851	-0.06	-0.0576494	-0.0605233
6805	1.361	-0.0568524	-0.06	-0.0576506	-0.0605214
6806	1.3612	-0.0568539	-0.06	-0.0576518	-0.0605195
6807	1.3614	-0.0568554	-0.06	-0.057653	-0.0605176
6808	1.3616	-0.0568569	-0.06	-0.0576543	-0.0605157
6809	1.3618	-0.0568583	-0.06	-0.0576555	-0.0605139
6810	1.362	-0.0568598	-0.06	-0.0576567	-0.060512
6811	1.3622	-0.0568612	-0.06	-0.0576579	-0.0605101
6812	1.3624	-0.0568627	-0.06	-0.0576591	-0.0605083
6813	1.3626	-0.0568641	-0.06	-0.0576603	-0.0605064
