TimeSlice	Time	hip_L_deg	knee_L_deg	ankle_L_deg	hip_R_deg	knee_R_deg	ankle_R_deg	RG_L_stance	RG_L_inhabit	RG_R_stance	PF_L_hip_ext	PF_L_knee	PF_L_dorsi	MN_L_hip_ext	MN_L_knee_ext
29	0.0058	0.363522	0.165541	-12.0663	0.362955	0.163921	-12.0685	-0.0556446	-0.0558072	-0.0560749	-0.0562581	-0.0552835	-0.0554465	-0.06	-0.06
30	0.006	0.363522	0.165541	-12.0663	0.362955	0.163921	-12.0685	-0.0554098	-0.0557363	-0.0561411	-0.0561469	-0.0551526	-0.055517	-0.06	-0.06
31	0.0062	0.363522	0.165541	-12.0663	0.362955	0.163921	-12.0685	-0.0552381	-0.0556682	-0.0562987	-0.0562759	-0.0552218	-0.05559	-0.06	-0.06
32	0.0064	0.363522	0.165541	-12.0663	0.362955	0.163921	-12.0685	-0.0553118	-0.0556028	-0.0563079	-0.0561459	-0.0552175	-0.0555561	-0.06	-0.06
33	0.0066	0.363522	0.165541	-12.0663	0.362955	0.163921	-12.0685	-0.0554098	-0.05554	-0.0561364	-0.0562358	-0.0554012	-0.0554482	-0.06	-0.06
34	0.0068	0.528385	0.461631	-12.7529	0.527391	0.458786	-12.7566	-0.055292	-0.0554796	-0.0560364	-0.0562558	-0.0552355	-0.0555109	-0.06	-0.06
35	0.007	0.528385	0.461631	-12.7529	0.527391	0.458786	-12.7566	-0.0550236	-0.0554216	-0.0558933	-0.0564045	-0.0552626	-0.055499	-0.06	-0.06
36	0.0072	0.528385	0.461631	-12.7529	0.527391	0.458786	-12.7566	0	-0.0553658	-0.0558325	-0.0563926	-0.0553355	-0.0555916	-0.06	-0.06
37	0.0074	0.528385	0.461631	-12.7529	0.527391	0.458786	-12.7566	-0.0555431	-0.0553123	-0.0565437	-0.0559447	-0.0551344	-0.0555952	-0.06	-0.06
38	0.0076	0.528385	0.461631	-12.7529	0.527391	0.458786	-12.7566	-0.0559074	-0.0552608	-0.0569003	-0.0558496	0	-0.0553723	-0.06	-0.06
39	0.0078	0.699602	0.810236	-12.6967	0.698294	0.806513	-12.7009	-0.056233	-0.0552114	-0.0573008	-0.0554233	-0.0553378	-0.0553683	-0.06	0
