TimeSlice	Time	R_foot ground contact	R_toe ground contact	R_hip middle	L_toe ground contact	L_hip middle	L_foot ground contact	height	distance
34432	6.8864	-0.0598047	-0.0535571	-0.06	-0.06	-0.0551798	-0.0554292	0.962778	0.87231
34433	6.8866	-0.0598128	0	-0.06	-0.06	-0.055072	-0.0553238	0.962778	0.87231
34434	6.8868	-0.0598205	-0.0539947	-0.06	-0.06	-0.0549628	-0.0552163	0.962691	0.87308
34435	6.887	-0.0598278	-0.0544492	-0.06	-0.06	-0.0548528	-0.0551072	0.962691	0.87308
34436	6.8872	-0.0598349	-0.0548313	-0.06	-0.06	-0.0547423	-0.0549968	0.962691	0.87308
34437	6.8874	-0.0598417	-0.0551507	-0.06	-0.06	-0.0546314	-0.0548856	0.962691	0.87308
34438	6.8876	-0.0598482	-0.0554155	-0.06	-0.06	-0.0545206	-0.0547739	0.962691	0.87308
34439	6.8878	-0.0598544	-0.0556327	-0.06	-0.06	-0.0544101	-0.054662	0.962607	0.873851
34440	6.888	-0.0598603	-0.0558082	-0.06	-0.06	-0.0543	-0.0545501	0.962607	0.873851
34441	6.8882	-0.059866	-0.0559472	-0.06	-0.06	-0.0541906	-0.0544385	0.962607	0.873851
34442	6.8884	-0.0598715	-0.0560541	-0.06	-0.06	-0.054082	-0.0543275	0.962607	0.873851
34443	6.8886	-0.0598767	-0.0561328	-0.06	-0.06	-0.0539745	-0.0542171	0.962607	0.873851
34444	6.8888	-0.0598817	-0.0561866	-0.06	-0.06	-0.0538681	-0.0541076	0.962525	0.874625
34445	6.889	-0.0598865	-0.0562184	-0.06	-0.06	-0.053763	-0.0539992	0.962525	0.874625
34446	6.8892	-0.0598912	-0.056231	-0.06	-0.06	-0.0536593	-0.053892	0.962525	0.874625
34447	6.8894	-0.0598956	-0.0562264	-0.06	-0.06	-0.0535571	-0.0537861	0.962525	0.874625
34448	6.8896	-0.0598998	-0.0562067	-0.06	-0.06	0	-0.0536816	0.962525	0.874625
34449	6.8898	-0.0599039	-0.0561737	-0.06	-0.06	-0.0539947	-0.0535786	0.962444	0.875401
34450	6.89	-0.0599078	-0.0561291	-0.06	-0.06	-0.0544492	0	0.962444	0.875401
34451	6.8902	-0.0599115	-0.0560741	-0.06	-0.06	-0.0548313	-0.054014	0.962444	0.875401
34452	6.8904	-0.0599151	-0.05601	-0.06	-0.06	-0.0551507	-0.0544671	0.962444	0.875401
34453	6.8906	-0.0599185	-0.055938	-0.06	-0.06	-0.0554155	-0.054848	0.962444	0.875401
34454	6.8908	-0.0599218	-0.0558591	-0.06	-0.06	-0.0556327	-0.0551663	0.962366	0.876179
34455	6.891	-0.0599249	-0.0557743	-0.06	-0.06	-0.0558082	-0.0554301	0.962366	0.876179
34456	6.8912	-0.059928	-0.0556842	-0.06	-0.06	-0.0559472	-0.0556464	0.962366	0.876179
34457	6.8914	-0.0599309	-0.0555897	-0.06	-0.06	-0.0560541	-0.055821	0.962366	0.876179
34458	6.8916	-0.0599337	-0.0554914	-0.06	-0.06	-0.0561328	-0.0559593	0.962366	0.876179
34459	6.8918	-0.0599363	-0.05539	-0.06	-0.06	-0.0561866	-0.0560655	0.962288	0.876961
34460	6.892	-0.0599389	-0.055286	-0.06	-0.06	-0.0562184	-0.0561436	0.962288	0.876961
34461	6.8922	-0.0599413	-0.0551798	-0.06	-0.06	-0.056231	-0.0561968	0.962288	0.876961
34462	6.8924	-0.0599437	-0.055072	-0.06	-0.06	-0.0562264	-0.0562281	0.962288	0.876961
34463	6.8926	-0.059946	-0.0549628	-0.06	-0.06	-0.0562067	-0.0562401	0.962288	0.876961
34464	6.8928	-0.0599481	-0.0548528	-0.06	-0.06	-0.0561737	-0.0562351	0.962213	0.877745
34465	6.893	-0.0599502	-0.0547423	-0.06	-0.06	-0.0561291	-0.056215	0.962213	0.877745
34466	6.8932	-0.0599522	-0.0546314	-0.06	-0.06	-0.0560741	-0.0561816	0.962213	0.877745
34467	6.8934	-0.0599541	-0.0545206	-0.06	-0.06	-0.05601	-0.0561365	0.962213	0.877745
34468	6.8936	-0.0599559	-0.0544101	-0.06	-0.06	-0.055938	-0.0560812	0.962213	0.877745
34469	6.8938	-0.0599577	-0.0543	-0.06	-0.06	-0.0558591	-0.0560168	0.96214	0.878531
34470	6.894	-0.0599594	-0.0541906	-0.06	-0.06	-0.0557743	-0.0559445	0.96214	0.878531
34471	6.8942	-0.059961	-0.054082	-0.06	-0.06	-0.0556842	-0.0558654	0.96214	0.878531
34472	6.8944	-0.0599626	-0.0539745	-0.06	-0.06	-0.0555897	-0.0557802	0.96214	0.878531
34473	6.8946	-0.0599641	-0.0538681	-0.06	-0.06	-0.0554914	-0.0556899	0.96214	0.878531
34474	6.8948	-0.0599655	-0.053763	-0.06	-0.06	-0.05539	-0.0555951	0.962068	0.879321
34475	6.895	-0.0599669	-0.0536593	-0.06	-0.06	-0.055286	-0.0554966	0.962068	0.879321
34476	6.8952	-0.0599682	-0.0535571	-0.06	-0.06	-0.0551798	-0.055395	0.962068	0.879321
34477	6.8954	-0.0599695	0	-0.06	-0.06	-0.055072	-0.0552907	0.962068	0.879321
34478	6.8956	-0.0599707	-0.0539947	-0.06	-0.06	-0.0549628	-0.0551844	0.962068	0.879321
34479	6.8958	-0.0599718	-0.0544492	-0.06	-0.06	-0.0548528	-0.0550763	0.961999	0.880112
34480	6.896	-0.059973	-0.0548313	-0.06	-0.06	-0.0547423	-0.054967	0.961999	0.880112
34481	6.8962	-0.059974	-0.0551507	-0.06	-0.06	-0.0546314	-0.0548569	0.961999	0.880112
34482	6.8964	-0.0599751	-0.0554155	-0.06	-0.06	-0.0545206	-0.0547461	0.961999	0.880112
34483	6.8966	-0.0599761	-0.0556327	-0.06	-0.06	-0.0544101	-0.0546352	0.961999	0.880112
34484	6.8968	-0.059977	-0.0558082	-0.06	-0.06	-0.0543	-0.0545242	0.961942	0.880901
34485	6.897	-0.0599779	-0.0559472	-0.06	-0.06	-0.0541906	-0.0544135	0.961942	0.880901
34486	6.8972	-0.0599788	-0.0560541	-0.06	-0.06	-0.054082	-0.0543033	0.961942	0.880901
34487	6.8974	-0.0599796	-0.0561328	-0.06	-0.06	-0.0539745	-0.0541937	0.961942	0.880901
34488	6.8976	-0.0599805	-0.0561866	-0.06	-0.06	-0.0538681	-0.054085	0.961942	0.880901
34489	6.8978	-0.0599812	-0.0562184	-0.06	-0.06	-0.053763	-0.0539774	0.961894	0.881689
34490	6.898	-0.059982	-0.056231	-0.06	-0.06	-0.0536593	-0.0538709	0.961894	0.881689
34491	6.8982	-0.0599827	-0.0562264	-0.06	-0.06	-0.0535571	-0.0537657	0.961894	0.881689
34492	6.8984	-0.0599834	-0.0562067	-0.06	-0.06	0	-0.0536619	0.961894	0.881689
34493	6.8986	-0.059984	-0.0561737	-0.06	-0.06	-0.0539947	-0.0535596	0.961894	0.881689
34494	6.8988	-0.0599847	-0.0561291	-0.06	-0.06	-0.0544492	0	0.961853	0.882475
34495	6.899	-0.0599853	-0.0560741	-0.06	-0.06	-0.0548313	-0.0539969	0.961853	0.882475
34496	6.8992	-0.0599859	-0.05601	-0.06	-0.06	-0.0551507	-0.0544513	0.961853	0.882475
34497	6.8994	-0.0599864	-0.055938	-0.06	-0.06	-0.0554155	-0.0548332	0.961853	0.882475
34498	6.8996	-0.059987	-0.0558591	-0.06	-0.06	-0.0556327	-0.0551525	0.961853	0.882475
34499	6.8998	-0.0599875	-0.0557743	-0.06	-0.06	-0.0558082	-0.0554172	0.96182	0.883259
34500	6.9	-0.059988	-0.0556842	-0.06	-0.06	-0.0559472	-0.0556342	0.96182	0.883259
34501	6.9002	-0.0599884	-0.0555897	-0.06	-0.06	-0.0560541	-0.0558096	0.96182	0.883259
34502	6.9004	-0.0599889	-0.0554914	-0.06	-0.06	-0.0561328	-0.0559485	0.96182	0.883259
34503	6.9006	-0.0599893	-0.05539	-0.06	-0.06	-0.0561866	-0.0560554	0.96182	0.883259
34504	6.9008	-0.0599898	-0.055286	-0.06	-0.06	-0.0562184	-0.056134	0.961794	0.884041
34505	6.901	-0.0599902	-0.0551798	-0.06	-0.06	-0.056231	-0.0561877	0.961794	0.884041
34506	6.9012	-0.0599906	-0.055072	-0.06	-0.06	-0.0562264	-0.0562195	0.961794	0.884041
34507	6.9014	-0.0599909	-0.0549628	-0.06	-0.06	-0.0562067	-0.056232	0.961794	0.884041
34508	6.9016	-0.0599913	-0.0548528	-0.06	-0.06	-0.0561737	-0.0562273	0.961794	0.884041
34509	6.9018	-0.0599916	-0.0547423	-0.06	-0.06	-0.0561291	-0.0562076	0.961776	0.884822
34510	6.902	-0.059992	-0.0546314	-0.06	-0.06	-0.0560741	-0.0561746	0.961776	0.884822
34511	6.9022	-0.0599923	-0.0545206	-0.06	-0.06	-0.05601	-0.0561299	0.961776	0.884822
34512	6.9024	-0.0599926	-0.0544101	-0.06	-0.06	-0.055938	-0.0560748	0.961776	0.884822
34513	6.9026	-0.0599929	-0.0543	-0.06	-0.06	-0.0558591	-0.0560107	0.961776	0.884822
34514	6.9028	-0.0599932	-0.0541906	-0.06	-0.06	-0.0557743	-0.0559387	0.961766	0.885601
34515	6.903	-0.0599934	-0.054082	-0.06	-0.06	-0.0556842	-0.0558598	0.961766	0.885601
34516	6.9032	-0.0599937	-0.0539745	-0.06	-0.06	-0.0555897	-0.0557749	0.961766	0.885601
34517	6.9034	-0.0599939	-0.0538681	-0.06	-0.06	-0.0554914	-0.0556848	0.961766	0.885601
34518	6.9036	-0.0599942	-0.053763	-0.06	-0.06	-0.05539	-0.0555903	0.961766	0.885601
34519	6.9038	-0.0599944	-0.0536593	-0.06	-0.06	-0.055286	-0.055492	0.961765	0.886379
34520	6.904	-0.0599946	-0.0535571	-0.06	-0.06	-0.0551798	-0.0553905	0.961765	0.886379
34521	6.9042	-0.0599948	0	-0.06	-0.06	-0.055072	-0.0552865	0.961765	0.886379
34522	6.9044	-0.059995	-0.0539947	-0.06	-0.06	-0.0549628	-0.0551803	0.961765	0.886379
34523	6.9046	-0.0599952	-0.0544492	-0.06	-0.06	-0.0548528	-0.0550724	0.961765	0.886379
34524	6.9048	-0.0599954	-0.0548313	-0.06	-0.06	-0.0547423	-0.0549633	0.961774	0.887156
34525	6.905	-0.0599956	-0.0551507	-0.06	-0.06	-0.0546314	-0.0548533	0.961774	0.887156
34526	6.9052	-0.0599958	-0.0554155	-0.06	-0.06	-0.0545206	-0.0547427	0.961774	0.887156
34527	6.9054	-0.0599959	-0.0556327	-0.06	-0.06	-0.0544101	-0.0546318	0.961774	0.887156
34528	6.9056	-0.0599961	-0.0558082	-0.06	-0.06	-0.0543	-0.054521	0.961774	0.887156
34529	6.9058	-0.0599963	-0.0559472	-0.06	-0.06	-0.0541906	-0.0544104	0.961792	0.887934
34530	6.906	-0.0599964	-0.0560541	-0.06	-0.06	-0.054082	-0.0543003	0.961792	0.887934
34531	6.9062	-0.0599965	-0.0561328	-0.06	-0.06	-0.0539745	-0.0541909	0.961792	0.887934
34532	6.9064	-0.0599967	-0.0561866	-0.06	-0.06	-0.0538681	-0.0540823	0.961792	0.887934
34533	6.9066	-0.0599968	-0.0562184	-0.06	-0.06	-0.053763	-0.0539748	0.961792	0.887934
34534	6.9068	-0.0599969	-0.056231	-0.06	-0.06	-0.0536593	-0.0538684	0.961822	0.888712
34535	6.907	-0.0599971	-0.0562264	-0.06	-0.06	-0.0535571	-0.0537633	0.961822	0.888712
34536	6.9072	-0.0599972	-0.0562067	-0.06	-0.06	0	-0.0536596	0.961822	0.888712
34537	6.9074	-0.0599973	-0.0561737	-0.06	-0.06	-0.0539947	-0.0535574	0.961822	0.888712
34538	6.9076	-0.0599974	-0.0561291	-0.06	-0.06	-0.0544492	0	0.961822	0.888712
34539	6.9078	-0.0599975	-0.0560741	-0.06	-0.06	-0.0548313	-0.053995	0.961862	0.88949
34540	6.908	-0.0599976	-0.05601	-0.06	-0.06	-0.0551507	-0.0544494	0.961862	0.88949
34541	6.9082	-0.0599977	-0.055938	-0.06	-0.06	-0.0554155	-0.0548315	0.961862	0.88949
34542	6.9084	-0.0599978	-0.0558591	-0.06	-0.06	-0.0556327	-0.0551509	0.961862	0.88949
34543	6.9086	-0.0599979	-0.0557743	-0.06	-0.06	-0.0558082	-0.0554157	0.961862	0.88949
34544	6.9088	-0.0599979	-0.0556842	-0.06	-0.06	-0.0559472	-0.0556328	0.961913	0.890268
34545	6.909	-0.059998	-0.0555897	-0.06	-0.06	-0.0560541	-0.0558083	0.961913	0.890268
34546	6.9092	-0.0599981	-0.0554914	-0.06	-0.06	-0.0561328	-0.0559473	0.961913	0.890268
34547	6.9094	-0.0599982	-0.05539	-0.06	-0.06	-0.0561866	-0.0560542	0.961913	0.890268
34548	6.9096	-0.0599983	-0.055286	-0.06	-0.06	-0.0562184	-0.0561329	0.961913	0.890268
34549	6.9098	-0.0599983	-0.0551798	-0.06	-0.06	-0.056231	-0.0561867	0.961974	0.891046
34550	6.91	-0.0599984	-0.055072	-0.06	-0.06	-0.0562264	-0.0562185	0.961974	0.891046
34551	6.9102	-0.0599984	-0.0549628	-0.06	-0.06	-0.0562067	-0.0562311	0.961974	0.891046
34552	6.9104	-0.0599985	-0.0548528	-0.06	-0.06	-0.0561737	-0.0562265	0.961974	0.891046
34553	6.9106	-0.0599986	-0.0547423	-0.06	-0.06	-0.0561291	-0.0562068	0.961974	0.891046
34554	6.9108	-0.0599986	-0.0546314	-0.06	-0.06	-0.0560741	-0.0561738	0.962046	0.891822
34555	6.911	-0.0599987	-0.0545206	-0.06	-0.06	-0.05601	-0.0561291	0.962046	0.891822
34556	6.9112	-0.0599987	-0.0544101	-0.06	-0.06	-0.055938	-0.0560741	0.962046	0.891822
34557	6.9114	-0.0599988	-0.0543	-0.06	-0.06	-0.0558591	-0.0560101	0.962046	0.891822
34558	6.9116	-0.0599988	-0.0541906	-0.06	-0.06	-0.0557743	-0.0559381	0.962046	0.891822
34559	6.9118	-0.0599989	-0.054082	-0.06	-0.06	-0.0556842	-0.0558592	0.962127	0.892598
34560	6.912	-0.0599989	-0.0539745	-0.06	-0.06	-0.0555897	-0.0557743	0.962127	0.892598
34561	6.9122	-0.059999	-0.0538681	-0.06	-0.06	-0.0554914	-0.0556843	0.962127	0.892598
34562	6.9124	-0.059999	-0.053763	-0.06	-0.06	-0.05539	-0.0555898	0.962127	0.892598
34563	6.9126	-0.059999	-0.0536593	-0.06	-0.06	-0.055286	-0.0554915	0.962127	0.892598
34564	6.9128	-0.0599991	-0.0535571	-0.06	-0.06	-0.0551798	-0.0553901	0.962218	0.893373
34565	6.913	-0.0599991	0	-0.06	-0.06	-0.055072	-0.055286	0.962218	0.893373
34566	6.9132	-0.0599991	-0.0539947	-0.06	-0.06	-0.0549628	-0.0551798	0.962218	0.893373
34567	6.9134	-0.0599992	-0.0544492	-0.06	-0.06	-0.0548528	-0.055072	0.962218	0.893373
34568	6.9136	-0.0599992	-0.0548313	-0.06	-0.06	-0.0547423	-0.0549629	0.962218	0.893373
34569	6.9138	-0.0599992	-0.0551507	-0.06	-0.06	-0.0546314	-0.0548529	0.962317	0.894147
34570	6.914	-0.0599993	-0.0554155	-0.06	-0.06	-0.0545206	-0.0547423	0.962317	0.894147
34571	6.9142	-0.0599993	-0.0556327	-0.06	-0.06	-0.0544101	-0.0546315	0.962317	0.894147
34572	6.9144	-0.0599993	-0.0558082	-0.06	-0.06	-0.0543	-0.0545207	0.962317	0.894147
34573	6.9146	-0.0599994	-0.0559472	-0.06	-0.06	-0.0541906	-0.0544101	0.962317	0.894147
34574	6.9148	-0.0599994	-0.0560541	-0.06	-0.06	-0.054082	-0.0543	0.962426	0.894919
34575	6.915	-0.0599994	-0.0561328	-0.06	-0.06	-0.0539745	-0.0541906	0.962426	0.894919
34576	6.9152	-0.0599994	-0.0561866	-0.06	-0.06	-0.0538681	-0.054082	0.962426	0.894919
34577	6.9154	-0.0599995	-0.0562184	-0.06	-0.06	-0.053763	-0.0539745	0.962426	0.894919
34578	6.9156	-0.0599995	-0.056231	-0.06	-0.06	-0.0536593	-0.0538681	0.962426	0.894919
34579	6.9158	-0.0599995	-0.0562264	-0.06	-0.06	-0.0535571	-0.053763	0.962542	0.895689
34580	6.916	-0.0599995	-0.0562067	-0.06	-0.06	0	-0.0536593	0.962542	0.895689
34581	6.9162	-0.0599995	-0.0561737	-0.06	-0.06	-0.0539947	-0.0535571	0.962542	0.895689
34582	6.9164	-0.0599996	-0.0561291	-0.06	-0.06	-0.0544492	0	0.962542	0.895689
34583	6.9166	-0.0599996	-0.0560741	-0.06	-0.06	-0.0548313	-0.0539947	0.962542	0.895689
34584	6.9168	-0.0599996	-0.05601	-0.06	-0.06	-0.0551507	-0.0544492	0.962668	0.896456
34585	6.917	-0.0599996	-0.055938	-0.06	-0.06	-0.0554155	-0.0548314	0.962668	0.896456
34586	6.9172	-0.0599996	-0.0558591	-0.06	-0.06	-0.0556327	-0.0551507	0.962668	0.896456
34587	6.9174	-0.0599996	-0.0557743	-0.06	-0.06	-0.0558082	-0.0554155	0.962668	0.896456
34588	6.9176	-0.0599996	-0.0556842	-0.06	-0.06	-0.0559472	-0.0556327	0.962668	0.896456
34589	6.9178	-0.0599997	-0.0555897	-0.06	-0.06	-0.0560541	-0.0558082	0.962803	0.897222
34590	6.918	-0.0599997	-0.0554914	-0.06	-0.06	-0.0561328	-0.0559472	0.962803	0.897222
34591	6.9182	-0.0599997	-0.05539	-0.06	-0.06	-0.0561866	-0.0560541	0.962803	0.897222
34592	6.9184	-0.0599997	-0.055286	-0.06	-0.06	-0.0562184	-0.0561328	0.962803	0.897222
34593	6.9186	-0.0599997	-0.0551798	-0.06	-0.06	-0.056231	-0.0561866	0.962803	0.897222
34594	6.9188	-0.0599997	-0.055072	-0.06	-0.06	-0.0562264	-0.0562184	0.962951	0.897985
34595	6.919	-0.0599997	-0.0549628	-0.06	-0.06	-0.0562067	-0.056231	0.962951	0.897985
34596	6.9192	-0.0599997	-0.0548528	-0.06	-0.06	-0.0561737	-0.0562264	0.962951	0.897985
34597	6.9194	-0.0599998	-0.0547423	-0.06	-0.06	-0.0561291	-0.0562067	0.962951	0.897985
34598	6.9196	-0.0599998	-0.0546314	-0.06	-0.06	-0.0560741	-0.0561738	0.962951	0.897985
34599	6.9198	-0.0599998	-0.0545206	-0.06	-0.06	-0.05601	-0.0561291	0.963109	0.898746
34600	6.92	-0.0599998	-0.0544101	-0.06	-0.06	-0.055938	-0.0560741	0.963109	0.898746
34601	6.9202	-0.0599998	-0.0543	-0.06	-0.06	-0.0558591	-0.05601	0.963109	0.898746
34602	6.9204	-0.0599998	-0.0541906	-0.06	-0.06	-0.0557743	-0.055938	0.963109	0.898746
34603	6.9206	-0.0599998	-0.054082	-0.06	-0.06	-0.0556842	-0.0558592	0.963109	0.898746
34604	6.9208	-0.0599998	-0.0539745	-0.06	-0.06	-0.0555897	-0.0557743	0.96328	0.899506
34605	6.921	-0.0599998	-0.0538681	-0.06	-0.06	-0.0554914	-0.0556842	0.96328	0.899506
34606	6.9212	-0.0599998	-0.053763	-0.06	-0.06	-0.05539	-0.0555897	0.96328	0.899506
34607	6.9214	-0.0599998	-0.0536593	-0.06	-0.06	-0.055286	-0.0554914	0.96328	0.899506
34608	6.9216	-0.0599998	-0.0535571	-0.06	-0.06	-0.0551798	-0.05539	0.96328	0.899506
34609	6.9218	-0.0599998	0	-0.06	-0.06	-0.055072	-0.055286	0.963461	0.900263
34610	6.922	-0.0599999	-0.0539947	-0.06	-0.06	-0.0549628	-0.0551798	0.963461	0.900263
34611	6.9222	-0.0599999	-0.0544492	-0.06	-0.06	-0.0548528	-0.055072	0.963461	0.900263
34612	6.9224	-0.0599999	-0.0548313	-0.06	-0.06	-0.0547423	-0.0549629	0.963461	0.900263
34613	6.9226	-0.0599999	-0.0551507	-0.06	-0.06	-0.0546314	-0.0548529	0.963461	0.900263
34614	6.9228	-0.0599999	-0.0554155	-0.06	-0.06	-0.0545206	-0.0547423	0.963655	0.901017
34615	6.923	-0.0599999	-0.0556327	-0.06	-0.06	-0.0544101	-0.0546315	0.963655	0.901017
34616	6.9232	-0.0599999	-0.0558082	-0.06	-0.06	-0.0543	-0.0545206	0.963655	0.901017
34617	6.9234	-0.0599999	-0.0559472	-0.06	-0.06	-0.0541906	-0.0544101	0.963655	0.901017
34618	6.9236	-0.0599999	-0.0560541	-0.06	-0.06	-0.054082	-0.0543	0.963655	0.901017
34619	6.9238	-0.0599999	-0.0561328	-0.06	-0.06	-0.0539745	-0.0541906	0.96386	0.90177
34620	6.924	-0.0599999	-0.0561866	-0.06	-0.06	-0.0538681	-0.054082	0.96386	0.90177
34621	6.9242	-0.0599999	-0.0562184	-0.06	-0.06	-0.053763	-0.0539745	0.96386	0.90177
34622	6.9244	-0.0599999	-0.056231	-0.06	-0.06	-0.0536593	-0.0538681	0.96386	0.90177
34623	6.9246	-0.0599999	-0.0562264	-0.06	-0.06	-0.0535571	-0.053763	0.96386	0.90177
34624	6.9248	-0.0599999	-0.0562067	-0.06	-0.06	0	-0.0536593	0.964076	0.90252
34625	6.925	-0.0599999	-0.0561737	-0.06	-0.06	-0.0539947	-0.0535571	0.964076	0.90252
34626	6.9252	-0.0599999	-0.0561291	-0.06	-0.06	-0.0544492	0	0.964076	0.90252
34627	6.9254	-0.0599999	-0.0560741	-0.06	-0.06	-0.0548313	-0.0539947	0.964076	0.90252
34628	6.9256	-0.0599999	-0.05601	-0.06	-0.06	-0.0551507	-0.0544492	0.964076	0.90252
34629	6.9258	-0.0599999	-0.055938	-0.06	-0.06	-0.0554155	-0.0548313	0.964304	0.903268
34630	6.926	-0.0599999	-0.0558591	-0.06	-0.06	-0.0556327	-0.0551507	0.964304	0.903268
