TimeSlice	Time	L Hip flx Ia	L Hip ext Ia	L Hip ext Ia IN	L Hip flx Ia IN	L Hip flx Ib	L Hip ext Ib	L Hip MN ext	L Hip MN flx	L Hip MN flx R	L Hip MN ext R
35	0.007	-0.0577853	-0.0575065	-0.0581881	-0.0582219	-0.0584013	-0.0597244	-0.0675174	-0.0697523	-0.0558865	-0.055834
36	0.0072	-0.0578527	-0.0575578	-0.0581649	-0.0581963	-0.0583206	-0.0597057	-0.0686447	-0.0710367	-0.0559315	-0.0558731
37	0.0074	-0.0579143	-0.0576077	-0.0581426	-0.0581716	-0.058243	-0.0596877	-0.0697589	-0.0722344	-0.055977	-0.0559124
38	0.0076	-0.0579705	-0.0576561	-0.0581211	-0.058148	-0.0581685	-0.0596705	-0.070858	-0.0733509	-0.0560229	-0.0559519
39	0.0078	-0.0580216	-0.0577028	-0.0581005	-0.0581252	-0.0580969	-0.0596539	-0.0719401	-0.0743914	-0.0560688	-0.0559916
40	0.008	-0.058068	-0.0577478	-0.0580808	-0.058102	-0.0580234	-0.0596355	-0.0730031	-0.0753608	-0.0561145	-0.0560313
41	0.0082	-0.0581098	-0.0577909	-0.0580618	-0.0580797	-0.0579529	-0.0596179	-0.0740452	-0.0762632	-0.0561598	-0.0560712
42	0.0084	-0.0581474	-0.0578321	-0.0580435	-0.0580582	-0.0578851	-0.0596009	-0.0750644	-0.077103	-0.0562045	-0.056111
43	0.0086	-0.0581811	-0.0578713	-0.058026	-0.0580376	-0.05782	-0.0595846	-0.0760591	-0.0778843	-0.0562485	-0.0561508
44	0.0088	-0.058211	-0.0579083	-0.0580091	-0.0580178	-0.0577575	-0.059569	-0.0770278	-0.078611	-0.0562915	-0.0561906
45	0.009	-0.0582376	-0.0579433	-0.0579929	-0.0579977	-0.0576983	-0.0595538	-0.0779687	-0.0792865	-0.0563335	-0.0562302
46	0.0092	-0.0582608	-0.0579761	-0.0579774	-0.0579785	-0.0576414	-0.0595392	-0.0788806	-0.0799146	-0.0563743	-0.0562697
47	0.0094	-0.0582811	-0.0580067	-0.0579624	-0.05796	-0.0575868	-0.0595251	-0.0797621	-0.0804982	-0.0564139	-0.0563089
48	0.0096	-0.0582986	-0.0580351	-0.057948	-0.0579422	-0.0575343	-0.0595116	-0.080612	-0.0810404	-0.0564521	-0.0563478
49	0.0098	-0.0583135	-0.0580608	-0.0579342	-0.0579251	-0.0574839	-0.0594987	-0.0814192	-0.081544	-0.056489	-0.0563864
50	0.01	-0.0583261	-0.0580839	-0.057921	-0.0579077	-0.0574405	-0.0594879	-0.0821846	-0.0820116	-0.0565244	-0.0564245
51	0.0102	-0.0583364	-0.0581047	-0.0579082	-0.057891	-0.0573989	-0.0594775	-0.0829107	-0.0824463	-0.0565583	-0.0564621
52	0.0104	-0.0583447	-0.0581232	-0.057896	-0.0578749	-0.057359	-0.0594675	-0.0835997	-0.0828503	-0.0565906	-0.056499
53	0.0106	-0.0583512	-0.0581396	-0.0578843	-0.0578594	-0.0573205	-0.059458	-0.0842537	-0.0832258	-0.0566214	-0.0565353
54	0.0108	-0.0583559	-0.0581542	-0.057873	-0.0578446	-0.0572836	-0.0594488	-0.0848747	-0.0835746	-0.0566507	-0.0565708
55	0.011	-0.0583591	-0.0581669	-0.0578621	-0.0578294	-0.0572554	-0.0594425	-0.0854644	-0.0838985	-0.0566783	-0.0566055
56	0.0112	-0.0583608	-0.058178	-0.0578517	-0.0578149	-0.0572282	-0.0594365	-0.0860248	-0.0842003	-0.0567044	-0.0566394
57	0.0114	-0.0583613	-0.0581877	-0.0578417	-0.0578009	-0.0572021	-0.0594307	-0.0865574	-0.0844813	-0.0567289	-0.0566725
58	0.0116	-0.0583605	-0.0581959	-0.057832	-0.0577874	-0.057177	-0.0594251	-0.0870638	-0.084743	-0.0567518	-0.0567046
59	0.0118	-0.0583587	-0.0582029	-0.0578228	-0.0577745	-0.057153	-0.0594197	-0.0875453	-0.0849866	-0.0567732	-0.0567358
60	0.012	-0.0583559	-0.0582086	-0.0578139	-0.0577612	-0.0571378	-0.0594174	-0.0880032	-0.0852133	-0.0567931	-0.056766
61	0.0122	-0.0583522	-0.0582133	-0.0578053	-0.0577485	-0.0571232	-0.0594152	-0.0884391	-0.0854254	-0.0568114	-0.0567953
62	0.0124	-0.0583477	-0.058217	-0.0577971	-0.0577362	-0.0571092	-0.059413	-0.0888539	-0.0856238	-0.0568283	-0.0568236
63	0.0126	-0.0583425	-0.0582199	-0.0577893	-0.0577244	-0.0570957	-0.059411	-0.0892489	-0.0858093	-0.0568437	-0.056851
64	0.0128	-0.0583367	-0.0582219	-0.0577817	-0.0577131	-0.0570828	-0.059409	-0.0896249	-0.0859828	-0.0568577	-0.0568773
65	0.013	-0.0583303	-0.0582231	-0.0577744	-0.0577015	-0.0570784	-0.0594099	-0.089983	-0.0861451	-0.0568703	-0.0569027
66	0.0132	-0.0583234	-0.0582237	-0.0577674	-0.0576903	-0.0570742	-0.0594108	-0.0903243	-0.086298	-0.0568816	-0.0569271
67	0.0134	-0.0583161	-0.0582236	-0.0577607	-0.0576796	-0.0570702	-0.0594117	-0.0906497	-0.086442	-0.0568916	-0.0569505
68	0.0136	-0.0583084	-0.058223	-0.0577542	-0.0576693	-0.0570663	-0.0594125	-0.0909598	-0.0865778	-0.0569002	-0.0569729
69	0.0138	-0.0583005	-0.0582219	-0.057748	-0.0576594	-0.0570626	-0.0594133	-0.0912555	-0.0867058	-0.0569077	-0.0569943
70	0.014	-0.0582922	-0.0582203	-0.0577421	-0.0576491	-0.0570668	-0.0594167	-0.0915374	-0.0868264	-0.0569139	-0.0570148
71	0.0142	-0.0582837	-0.0582184	-0.0577364	-0.0576393	-0.0570709	-0.0594201	-0.0918064	-0.0869413	-0.056919	-0.0570343
72	0.0144	-0.0582751	-0.058216	-0.0577309	-0.0576299	-0.0570748	-0.0594233	-0.0920632	-0.0870507	-0.0569229	-0.0570529
73	0.0146	-0.0582663	-0.0582134	-0.0577256	-0.0576208	-0.0570786	-0.0594264	-0.0923084	-0.0871548	-0.0569258	-0.0570706
74	0.0148	-0.0582573	-0.0582105	-0.0577205	-0.0576121	-0.0570822	-0.0594294	-0.0925423	-0.0872541	-0.0569276	-0.0570873
