TimeSlice	Time	R Ank ext Ia	R Ank flx Ia	R Ank ext Ia IN	R Ank flx Ia IN	R Ank ext Ib	R Ank flx Ib	R Ank MN flx	R Ank MN ext	R Ank MN flx RE	R Ank MN ext RE
12906	2.5812	-0.0583251	-0.0625186	-0.0599989	-0.0599987	-0.0566564	-0.0594717	-0.0924383	-0.0449747	-0.0482707	-0.0431909
12907	2.5814	-0.058332	-0.0625181	-0.0599989	-0.0599987	-0.0566576	-0.0594737	-0.092441	-0.0450133	-0.048267	-0.0431954
12908	2.5816	-0.058339	-0.0625176	-0.0599989	-0.0599987	-0.0566587	-0.0594756	-0.0924437	-0.0450521	-0.0482633	-0.0432
12909	2.5818	-0.058346	-0.062517	-0.0599989	-0.0599987	-0.0566597	-0.0594774	-0.0924461	-0.045091	-0.0482595	-0.0432045
12910	2.582	-0.058353	-0.0625165	-0.0599989	-0.0599987	-0.0566618	-0.0594794	-0.0924485	-0.0451299	-0.0482557	-0.0432092
12911	2.5822	-0.05836	-0.062516	-0.0599989	-0.0599987	-0.0566638	-0.0594813	-0.0924508	-0.0451689	-0.0482519	-0.0432139
12912	2.5824	-0.058367	-0.0625155	-0.0599989	-0.0599987	-0.0566657	-0.0594831	-0.0924529	-0.045208	-0.048248	-0.0432186
12913	2.5826	-0.0583739	-0.062515	-0.0599989	-0.0599987	-0.0566675	-0.0594849	-0.0924549	-0.0452471	-0.0482441	-0.0432233
12914	2.5828	-0.0583809	-0.0625145	-0.0599989	-0.0599987	-0.0566693	-0.0594866	-0.0924568	-0.0452863	-0.0482402	-0.0432281
12915	2.583	-0.0583878	-0.062514	-0.0599989	-0.0599987	-0.0566721	-0.0594884	-0.0924586	-0.0453255	-0.0482362	-0.0432329
12916	2.5832	-0.0583948	-0.0625135	-0.0599989	-0.0599987	-0.0566748	-0.0594902	-0.0924603	-0.0453649	-0.0482322	-0.0432377
12917	2.5834	-0.0584017	-0.062513	-0.0599989	-0.0599987	-0.0566774	-0.0594919	-0.0924618	-0.0454042	-0.0482281	-0.0432426
12918	2.5836	-0.0584086	-0.0625125	-0.0599989	-0.0599987	-0.0566799	-0.0594935	-0.0924633	-0.0454436	-0.048224	-0.0432475
12919	2.5838	-0.0584155	-0.062512	-0.0599989	-0.0599987	-0.0566823	-0.0594951	-0.0924646	-0.045483	-0.0482199	-0.0432524
12920	2.584	-0.0584224	-0.0625116	-0.0599989	-0.0599987	-0.0566857	-0.0594968	-0.0924659	-0.0455225	-0.0482157	-0.0432574
