TimeSlice	Time	L Knee PF flx IN	L Knee PF ext IN	L Knee PF flx	L Knee PF ext
14389	2.8778	-0.06	-0.0567705	-0.060629	-0.0575806
14390	2.878	-0.06	-0.0567722	-0.060627	-0.057582
14391	2.8782	-0.06	-0.0567738	-0.0606249	-0.0575833
14392	2.8784	-0.06	-0.0567755	-0.0606229	-0.0575847
14393	2.8786	-0.06	-0.0567771	-0.0606209	-0.0575861
14394	2.8788	-0.06	-0.0567788	-0.0606189	-0.0575874
14395	2.879	-0.06	-0.0567804	-0.0606169	-0.0575888
14396	2.8792	-0.06	-0.056782	-0.0606149	-0.0575901
14397	2.8794	-0.06	-0.0567837	-0.0606129	-0.0575915
14398	2.8796	-0.06	-0.0567853	-0.0606109	-0.0575928
14399	2.8798	-0.06	-0.0567869	-0.0606089	-0.0575941
14400	2.88	-0.06	-0.0567885	-0.0606069	-0.0575955
14401	2.8802	-0.06	-0.0567901	-0.060605	-0.0575968
14402	2.8804	-0.06	-0.0567917	-0.060603	-0.0575981
14403	2.8806	-0.06	-0.0567933	-0.0606011	-0.0575994
14404	2.8808	-0.06	-0.0567948	-0.0605991	-0.0576007
14405	2.881	-0.06	-0.0567964	-0.0605972	-0.057602
14406	2.8812	-0.06	-0.056798	-0.0605953	-0.0576033
14407	2.8814	-0.06	-0.0567995	-0.0605933	-0.0576046
14408	2.8816	-0.06	-0.0568011	-0.0605914	-0.0576059
14409	2.8818	-0.06	-0.0568026	-0.0605895	-0.0576071
14410	2.882	-0.06	-0.0568042	-0.0605876	-0.0576084
14411	2.8822	-0.06	-0.0568057	-0.0605857	-0.0576097
14412	2.8824	-0.06	-0.0568072	-0.0605838	-0.057611
14413	2.8826	-0.06	-0.0568088	-0.0605819	-0.0576122
14414	2.8828	-0.06	-0.0568103	-0.0605801	-0.0576135
14415	2.883	-0.06	-0.0568118	-0.0605782	-0.0576147
14416	2.8832	-0.06	-0.0568133	-0.0605763	-0.057616
14417	2.8834	-0.06	-0.0568148	-0.0605745	-0.0576172
