TimeSlice	Time	L Ank flx Ia	L Ank ext Ia	L Ank flx Ia IN	L Ank ext Ia IN	L Ank ext Ib	L Ank flx Ib	L Ank MN ext	L Ank MN flx	L Ank MN flx RE	L Ank MN ext RE
23036	4.6072	-0.060285	-0.0619581	-0.0599983	-0.0599992	-0.059897	-0.0593926	-0.0816797	-0.0612358	-0.0454588	-0.0459632
23037	4.6074	-0.060294	-0.0619488	-0.0599983	-0.0599992	-0.059897	-0.0593948	-0.0815258	-0.0613264	-0.045464	-0.0459559
23038	4.6076	-0.0603031	-0.0619395	-0.0599983	-0.0599992	-0.0598969	-0.0593969	-0.081371	-0.0614181	-0.0454693	-0.0459485
23039	4.6078	-0.0603123	-0.06193	-0.0599983	-0.0599992	-0.0598968	-0.059399	-0.0812156	-0.061511	-0.0454747	-0.0459411
23040	4.608	-0.0603216	-0.0619205	-0.0599983	-0.0599992	-0.0598968	-0.0594015	-0.0810594	-0.061605	-0.0454801	-0.0459336
23041	4.6082	-0.060331	-0.061911	-0.0599983	-0.0599992	-0.0598967	-0.0594039	-0.0809025	-0.0617001	-0.0454857	-0.045926
23042	4.6084	-0.0603405	-0.0619013	-0.0599983	-0.0599992	-0.0598966	-0.0594062	-0.0807448	-0.0617964	-0.0454912	-0.0459184
23043	4.6086	-0.0603501	-0.0618916	-0.0599983	-0.0599992	-0.0598965	-0.0594085	-0.0805865	-0.0618938	-0.0454969	-0.0459107
23044	4.6088	-0.0603598	-0.0618819	-0.0599983	-0.0599992	-0.0598964	-0.0594106	-0.0804274	-0.0619925	-0.0455026	-0.045903
23045	4.609	-0.0603695	-0.061872	-0.0599983	-0.0599992	-0.0598963	-0.0594132	-0.0802676	-0.0620922	-0.0455084	-0.0458951
23046	4.6092	-0.0603794	-0.0618621	-0.0599983	-0.0599992	-0.0598962	-0.0594157	-0.0801071	-0.0621932	-0.0455143	-0.0458872
23047	4.6094	-0.0603893	-0.0618521	-0.0599983	-0.0599992	-0.0598961	-0.0594181	-0.0799458	-0.0622955	-0.0455203	-0.0458793
23048	4.6096	-0.0603993	-0.0618421	-0.0599983	-0.0599992	-0.0598961	-0.0594204	-0.0797839	-0.0623989	-0.0455263	-0.0458712
23049	4.6098	-0.0604095	-0.0618319	-0.0599983	-0.0599992	-0.059896	-0.0594226	-0.0796213	-0.0625036	-0.0455324	-0.0458631
23050	4.61	-0.0604197	-0.0618217	-0.0599983	-0.0599992	-0.0598959	-0.0594253	-0.079458	-0.0626094	-0.0455386	-0.045855
23051	4.6102	-0.06043	-0.0618115	-0.0599983	-0.0599992	-0.0598957	-0.0594279	-0.079294	-0.0627166	-0.0455448	-0.0458468
23052	4.6104	-0.0604404	-0.0618011	-0.0599983	-0.0599992	-0.0598956	-0.0594304	-0.0791293	-0.062825	-0.0455511	-0.0458385
23053	4.6106	-0.0604509	-0.0617907	-0.0599983	-0.0599992	-0.0598955	-0.0594328	-0.0789639	-0.0629347	-0.0455575	-0.0458301
23054	4.6108	-0.0604615	-0.0617802	-0.0599983	-0.0599992	-0.0598954	-0.0594351	-0.0787979	-0.0630457	-0.045564	-0.0458217
23055	4.611	-0.0604721	-0.0617696	-0.0599983	-0.0599992	-0.0598953	-0.0594378	-0.0786311	-0.0631579	-0.0455706	-0.0458132
23056	4.6112	-0.0604829	-0.0617589	-0.0599983	-0.0599992	-0.0598951	-0.0594405	-0.0784637	-0.0632715	-0.0455772	-0.0458046
23057	4.6114	-0.0604938	-0.0617482	-0.0599983	-0.0599992	-0.059895	-0.0594431	-0.0782956	-0.0633864	-0.0455839	-0.045796
23058	4.6116	-0.0605047	-0.0617373	-0.0599983	-0.0599992	-0.0598949	-0.0594455	-0.0781269	-0.0635027	-0.0455907	-0.0457873
23059	4.6118	-0.0605158	-0.0617264	-0.0599983	-0.0599992	-0.0598947	-0.0594479	-0.0779575	-0.0636203	-0.0455975	-0.0457786
23060	4.612	-0.0605269	-0.0617155	-0.0599983	-0.0599992	-0.0598946	-0.0594507	-0.0777874	-0.0637392	-0.0456045	-0.0457698
23061	4.6122	-0.0605382	-0.0617044	-0.0599983	-0.0599992	-0.0598944	-0.0594535	-0.0776166	-0.0638595	-0.0456115	-0.0457609
23062	4.6124	-0.0605495	-0.0616933	-0.0599983	-0.0599992	-0.0598942	-0.0594561	-0.0774452	-0.0639812	-0.0456186	-0.0457519
23063	4.6126	-0.0605609	-0.061682	-0.0599983	-0.0599992	-0.0598941	-0.0594586	-0.0772731	-0.0641043	-0.0456258	-0.0457429
23064	4.6128	-0.0605724	-0.0616707	-0.0599983	-0.0599992	-0.059894	-0.059461	-0.0771004	-0.0642289	-0.045633	-0.0457339
23065	4.613	-0.0605841	-0.0616593	-0.0599983	-0.0599992	-0.0598937	-0.0594639	-0.076927	-0.0643548	-0.0456404	-0.0457247
23066	4.6132	-0.0605958	-0.0616479	-0.0599983	-0.0599992	-0.0598935	-0.0594667	-0.076753	-0.0644822	-0.0456478	-0.0457155
23067	4.6134	-0.0606076	-0.0616363	-0.0599983	-0.0599992	-0.0598934	-0.0594694	-0.0765783	-0.064611	-0.0456553	-0.0457063
23068	4.6136	-0.0606195	-0.0616246	-0.0599983	-0.0599992	-0.0598932	-0.059472	-0.076403	-0.0647413	-0.0456629	-0.0456969
23069	4.6138	-0.0606315	-0.0616129	-0.0599983	-0.0599992	-0.059893	-0.0594744	-0.076227	-0.0648731	-0.0456705	-0.0456875
23070	4.614	-0.0606436	-0.0616011	-0.0599983	-0.0599992	-0.0598972	-0.0594764	-0.0760504	-0.0650064	-0.0456783	-0.0456781
23071	4.6142	-0.0606558	-0.0615892	-0.0599983	-0.0599992	-0.0599012	-0.0594782	-0.0758735	-0.0651411	-0.0456861	-0.0456686
23072	4.6144	-0.0606681	-0.0615772	-0.0599983	-0.0599992	-0.0599051	-0.05948	-0.0756962	-0.0652772	-0.045694	-0.045659
23073	4.6146	-0.0606805	-0.0615651	-0.0599983	-0.0599992	-0.0599088	-0.0594818	-0.0755186	-0.0654148	-0.045702	-0.0456493
23074	4.6148	-0.060693	-0.0615529	-0.0599983	-0.0599992	-0.0599124	-0.0594834	-0.0753405	-0.0655538	-0.0457101	-0.0456396
23075	4.615	-0.0607055	-0.0615406	-0.0599983	-0.0599992	-0.0599158	-0.0594852	-0.075162	-0.0656944	-0.0457183	-0.0456299
23076	4.6152	-0.0607182	-0.0615283	-0.0599983	-0.0599992	-0.0599191	-0.0594869	-0.0749831	-0.0658365	-0.0457265	-0.04562
23077	4.6154	-0.060731	-0.0615158	-0.0599983	-0.0599992	-0.0599223	-0.0594885	-0.0748037	-0.0659801	-0.0457348	-0.0456102
23078	4.6156	-0.0607439	-0.0615033	-0.0599983	-0.0599992	-0.0599254	-0.0594901	-0.0746238	-0.0661252	-0.0457433	-0.0456002
23079	4.6158	-0.0607568	-0.0614906	-0.0599983	-0.0599992	-0.0599283	-0.0594916	-0.0744433	-0.0662719	-0.0457518	-0.0455902
23080	4.616	-0.0607699	-0.0614779	-0.0599983	-0.0599992	-0.0599308	-0.0594938	-0.0742624	-0.0664202	-0.0457604	-0.0455801
23081	4.6162	-0.0607831	-0.061465	-0.0599983	-0.0599992	-0.0599332	-0.0594959	-0.0740809	-0.0665702	-0.045769	-0.04557
23082	4.6164	-0.0607964	-0.0614521	-0.0599983	-0.0599992	-0.0599356	-0.059498	-0.0738988	-0.0667218	-0.0457778	-0.0455598
23083	4.6166	-0.0608097	-0.0614391	-0.0599983	-0.0599992	-0.0599378	-0.0594999	-0.0737161	-0.0668752	-0.0457866	-0.0455496
23084	4.6168	-0.0608232	-0.061426	-0.0599983	-0.0599992	-0.05994	-0.0595018	-0.0735328	-0.0670302	-0.0457956	-0.0455392
23085	4.617	-0.0608368	-0.0614127	-0.0599983	-0.0599992	-0.059939	-0.0595047	-0.073349	-0.067187	-0.0458046	-0.0455289
23086	4.6172	-0.0608504	-0.0613994	-0.0599983	-0.0599992	-0.059938	-0.0595075	-0.0731643	-0.0673456	-0.0458137	-0.0455184
23087	4.6174	-0.0608642	-0.061386	-0.0599983	-0.0599992	-0.0599371	-0.0595102	-0.0729788	-0.0675061	-0.045823	-0.045508
23088	4.6176	-0.0608781	-0.0613724	-0.0599983	-0.0599992	-0.0599362	-0.0595128	-0.0727925	-0.0676684	-0.0458323	-0.0454974
23089	4.6178	-0.0608921	-0.0613588	-0.0599983	-0.0599992	-0.0599354	-0.0595153	-0.0726054	-0.0678326	-0.0458416	-0.0454868
23090	4.618	-0.0609061	-0.061345	-0.0599983	-0.0599992	-0.059931	-0.0595191	-0.0724176	-0.0679987	-0.0458511	-0.0454761
23091	4.6182	-0.0609203	-0.0613312	-0.0599983	-0.0599992	-0.0599268	-0.0595226	-0.0722288	-0.0681668	-0.0458607	-0.0454654
23092	4.6184	-0.0609346	-0.0613172	-0.0599983	-0.0599992	-0.0599228	-0.0595261	-0.0720391	-0.068337	-0.0458704	-0.0454546
23093	4.6186	-0.060949	-0.0613032	-0.0599983	-0.0599992	-0.0599189	-0.0595294	-0.0718485	-0.0685092	-0.0458801	-0.0454437
23094	4.6188	-0.0609635	-0.061289	-0.0599983	-0.0599992	-0.0599152	-0.0595325	-0.0716569	-0.0686834	-0.04589	-0.0454328
23095	4.619	-0.0609781	-0.0612747	-0.0599983	-0.0599992	-0.0599084	-0.0595369	-0.0714646	-0.0688596	-0.0459	-0.0454218
23096	4.6192	-0.0609927	-0.0612603	-0.0599983	-0.0599992	-0.0599018	-0.0595411	-0.0712712	-0.069038	-0.04591	-0.0454108
23097	4.6194	-0.0610075	-0.0612458	-0.0599983	-0.0599992	-0.0598955	-0.0595451	-0.0710769	-0.0692186	-0.0459202	-0.0453997
23098	4.6196	-0.0610224	-0.0612312	-0.0599983	-0.0599992	-0.0598895	-0.0595489	-0.0708817	-0.0694014	-0.0459304	-0.0453885
23099	4.6198	-0.0610374	-0.0612165	-0.0599983	-0.0599992	-0.0598837	-0.0595526	-0.0706855	-0.0695863	-0.0459408	-0.0453773
23100	4.62	-0.0610526	-0.0612016	-0.0599983	-0.0599992	-0.0598811	-0.0595561	-0.0704886	-0.0697735	-0.0459512	-0.045366
23101	4.6202	-0.0610678	-0.0611867	-0.0599983	-0.0599992	-0.0598786	-0.0595595	-0.0702911	-0.0699628	-0.0459618	-0.0453546
