TimeSlice	Time	R Knee flx Ia	R Knee ext Ia	R Knee ext Ia IN	R Knee flx Ia IN	R Knee ext Ib	R Knee flx Ib	R Knee MN flx	R Knee MN ext	R Knee MN flx RE	L Knee MN ext RE
16049	3.2098	-0.0625554	-0.0597113	-0.0599987	-0.0599969	-0.0581815	-0.06	-0.0926085	-0.0554115	-0.0465367	-0.0450363
16050	3.21	-0.0625553	-0.0597117	-0.0599987	-0.0599969	-0.0581814	-0.06	-0.0926083	-0.0554145	-0.0465367	-0.0450364
16051	3.2102	-0.0625553	-0.0597121	-0.0599987	-0.0599969	-0.0581814	-0.06	-0.0926081	-0.0554177	-0.0465366	-0.0450364
16052	3.2104	-0.0625553	-0.0597125	-0.0599987	-0.0599969	-0.0581814	-0.06	-0.092608	-0.0554211	-0.0465365	-0.0450365
16053	3.2106	-0.0625553	-0.0597129	-0.0599987	-0.0599969	-0.0581813	-0.06	-0.0926078	-0.0554246	-0.0465364	-0.0450366
16054	3.2108	-0.0625552	-0.0597133	-0.0599987	-0.0599969	-0.0581813	-0.06	-0.0926076	-0.0554282	-0.0465363	-0.0450366
16055	3.211	-0.0625552	-0.0597138	-0.0599987	-0.0599969	-0.0581813	-0.06	-0.0926074	-0.0554321	-0.0465362	-0.0450367
16056	3.2112	-0.0625552	-0.0597143	-0.0599987	-0.0599969	-0.0581812	-0.06	-0.0926072	-0.0554361	-0.0465361	-0.0450368
16057	3.2114	-0.0625551	-0.0597147	-0.0599987	-0.0599969	-0.0581812	-0.06	-0.0926069	-0.0554403	-0.0465361	-0.0450369
16058	3.2116	-0.0625551	-0.0597153	-0.0599987	-0.0599969	-0.0581812	-0.06	-0.0926067	-0.0554446	-0.046536	-0.045037
16059	3.2118	-0.0625551	-0.0597158	-0.0599987	-0.059997	-0.0581812	-0.06	-0.0926065	-0.0554492	-0.0465359	-0.045037
16060	3.212	-0.062555	-0.0597163	-0.0599987	-0.059997	-0.0581811	-0.06	-0.0926063	-0.055454	-0.0465358	-0.0450371
16061	3.2122	-0.062555	-0.0597169	-0.0599987	-0.059997	-0.0581811	-0.06	-0.0926061	-0.0554589	-0.0465357	-0.0450372
