TimeSlice	Time	L Knee ext Ia	L Knee flx Ia	L Knee ext Ia IN	L Knee flx Ia IN	L Knee flx Ib	L Knee ext Ib	L Knee MN ext	L Knee MN flx	L Knee MN ext RE	L Knee MN flx RE
35	0.007	-0.0585548	-0.0588907	-0.0599991	-0.0599984	-0.059604	-0.0594087	-0.0655223	-0.0697881	-0.0557897	-0.0558825
36	0.0072	-0.0586379	-0.0589944	-0.0599991	-0.0599984	-0.0595933	-0.0593815	-0.066493	-0.0710914	-0.0558242	-0.0559284
37	0.0074	-0.0587191	-0.0590921	-0.0599991	-0.0599984	-0.0595831	-0.0593553	-0.0674452	-0.0723199	-0.0558585	-0.055975
38	0.0076	-0.0587981	-0.0591841	-0.0599991	-0.0599984	-0.0595733	-0.0593302	-0.0683774	-0.0734785	-0.0558927	-0.056022
39	0.0078	-0.058875	-0.0592707	-0.0599991	-0.0599984	-0.0595639	-0.0593061	-0.0692881	-0.0745715	-0.0559267	-0.0560692
40	0.008	-0.0589494	-0.0593521	-0.059999	-0.0599983	-0.0595616	-0.0592793	-0.0701759	-0.0756031	-0.0559603	-0.0561164
41	0.0082	-0.0590214	-0.0594288	-0.059999	-0.0599983	-0.0595594	-0.0592535	-0.0710392	-0.0765782	-0.0559937	-0.0561634
42	0.0084	-0.0590908	-0.0595008	-0.059999	-0.0599983	-0.0595573	-0.0592287	-0.0718766	-0.0775002	-0.0560267	-0.0562101
43	0.0086	-0.0591575	-0.0595685	-0.059999	-0.0599983	-0.0595553	-0.0592049	-0.0726871	-0.0783726	-0.0560592	-0.0562563
44	0.0088	-0.0592215	-0.0596321	-0.059999	-0.0599983	-0.0595534	-0.059182	-0.0734694	-0.0791985	-0.0560914	-0.0563019
45	0.009	-0.0592828	-0.0596917	-0.059999	-0.0599983	-0.0595553	-0.0591567	-0.0742225	-0.0799807	-0.056123	-0.0563468
46	0.0092	-0.0593413	-0.0597478	-0.059999	-0.0599982	-0.0595571	-0.0591323	-0.0749452	-0.0807224	-0.056154	-0.0563909
47	0.0094	-0.0593969	-0.0598003	-0.059999	-0.0599982	-0.0595589	-0.0591089	-0.0756367	-0.0814263	-0.0561844	-0.0564341
48	0.0096	-0.0594498	-0.0598496	-0.059999	-0.0599982	-0.0595606	-0.0590864	-0.0762962	-0.0820945	-0.0562142	-0.0564764
49	0.0098	-0.0594998	-0.0598959	-0.059999	-0.0599982	-0.0595622	-0.0590648	-0.0769231	-0.0827293	-0.0562432	-0.0565177
50	0.01	-0.059547	-0.0599392	-0.059999	-0.0599982	-0.0595678	-0.0590409	-0.0775168	-0.0833325	-0.0562714	-0.056558
51	0.0102	-0.0595914	-0.0599798	-0.059999	-0.0599982	-0.0595731	-0.059018	-0.0780766	-0.0839068	-0.0562988	-0.0565971
52	0.0104	-0.0596332	-0.0600179	-0.0599989	-0.0599982	-0.0595782	-0.0589959	-0.0786043	-0.0844538	-0.0563253	-0.0566351
53	0.0106	-0.0596726	-0.0600535	-0.0599989	-0.0599982	-0.0595831	-0.0589747	-0.0791028	-0.084975	-0.0563509	-0.056672
54	0.0108	-0.05971	-0.0600869	-0.0599989	-0.0599982	-0.0595878	-0.0589544	-0.0795749	-0.0854719	-0.0563755	-0.0567078
55	0.011	-0.0597454	-0.0601181	-0.0599989	-0.0599982	-0.0595964	-0.0589319	-0.0800216	-0.0859459	-0.0563991	-0.0567423
56	0.0112	-0.0597789	-0.0601474	-0.0599989	-0.0599981	-0.0596046	-0.0589104	-0.0804436	-0.0863989	-0.0564217	-0.0567757
57	0.0114	-0.0598106	-0.0601747	-0.0599989	-0.0599981	-0.0596125	-0.0588897	-0.0808416	-0.0868319	-0.0564432	-0.0568079
58	0.0116	-0.0598406	-0.0602003	-0.0599989	-0.0599981	-0.0596202	-0.0588698	-0.0812166	-0.087246	-0.0564637	-0.056839
59	0.0118	-0.0598689	-0.0602242	-0.0599989	-0.0599981	-0.0596275	-0.0588507	-0.0815693	-0.0876422	-0.0564831	-0.0568688
60	0.012	-0.0598956	-0.0602465	-0.0599989	-0.0599981	-0.0596384	-0.0588298	-0.0819006	-0.0880214	-0.0565014	-0.0568975
61	0.0122	-0.0599207	-0.0602674	-0.0599989	-0.0599981	-0.059649	-0.0588097	-0.082211	-0.0883851	-0.0565187	-0.0569251
62	0.0124	-0.0599444	-0.0602868	-0.0599989	-0.0599981	-0.0596591	-0.0587905	-0.0825014	-0.0887341	-0.0565348	-0.0569515
63	0.0126	-0.0599667	-0.060305	-0.0599989	-0.0599981	-0.0596688	-0.058772	-0.0827723	-0.089069	-0.0565499	-0.0569767
64	0.0128	-0.0599876	-0.060322	-0.0599989	-0.0599981	-0.0596782	-0.0587542	-0.0830246	-0.0893906	-0.0565638	-0.0570009
65	0.013	-0.0600073	-0.0603378	-0.0599989	-0.0599981	-0.0596908	-0.058735	-0.0832589	-0.0896994	-0.0565767	-0.057024
66	0.0132	-0.0600257	-0.0603526	-0.0599989	-0.0599981	-0.0597029	-0.0587165	-0.0834757	-0.089997	-0.0565884	-0.057046
67	0.0134	-0.0600429	-0.0603666	-0.0599989	-0.0599981	-0.0597145	-0.0586988	-0.0836758	-0.0902842	-0.0565991	-0.0570669
