TimeSlice	Time	L Hip flx Ia	L Hip ext Ia	L Hip ext Ia IN	L Hip flx Ia IN	L Hip flx Ib	L Hip ext Ib	L Hip MN ext	L Hip MN flx	L Hip MN flx R	L Hip MN ext R
35	0.007	-0.0577739	-0.0574837	-0.0581889	-0.0582277	-0.058451	-0.0597074	-0.0670953	-0.0696201	-0.0558877	-0.0558291
36	0.0072	-0.0578405	-0.0575309	-0.0581657	-0.0582042	-0.0583656	-0.0596899	-0.0681487	-0.0708871	-0.0559322	-0.0558669
37	0.0074	-0.0579034	-0.0575765	-0.0581433	-0.0581817	-0.0582836	-0.0596731	-0.0691835	-0.0721014	-0.0559773	-0.0559049
38	0.0076	-0.0579611	-0.0576204	-0.0581219	-0.05816	-0.0582048	-0.059657	-0.0701977	-0.0732335	-0.0560228	-0.0559427
39	0.0078	-0.0580137	-0.0576624	-0.0581012	-0.0581392	-0.058129	-0.0596415	-0.0711895	-0.0742887	-0.0560685	-0.0559806
40	0.008	-0.0580617	-0.0577025	-0.0580814	-0.058119	-0.0580473	-0.0596242	-0.0721572	-0.0752718	-0.056114	-0.0560183
41	0.0082	-0.0581053	-0.0577405	-0.0580624	-0.0580997	-0.0579688	-0.0596077	-0.073099	-0.0761865	-0.0561592	-0.0560558
42	0.0084	-0.0581448	-0.0577765	-0.0580441	-0.0580811	-0.0578933	-0.0595918	-0.0740135	-0.0770371	-0.0562039	-0.0560931
43	0.0086	-0.0581805	-0.0578102	-0.0580266	-0.0580632	-0.0578208	-0.0595765	-0.0748991	-0.077828	-0.0562478	-0.0561301
44	0.0088	-0.0582126	-0.0578418	-0.0580097	-0.0580461	-0.0577512	-0.0595619	-0.0757547	-0.078563	-0.056291	-0.0561667
45	0.009	-0.0582414	-0.0578711	-0.0579935	-0.0580292	-0.0576859	-0.0595477	-0.0765788	-0.0792458	-0.0563331	-0.056203
46	0.0092	-0.0582671	-0.0578982	-0.0579779	-0.0580129	-0.0576232	-0.059534	-0.0773706	-0.0798802	-0.0563742	-0.0562388
47	0.0094	-0.0582899	-0.0579231	-0.0579629	-0.0579973	-0.0575629	-0.0595209	-0.0781289	-0.0804692	-0.056414	-0.0562741
48	0.0096	-0.05831	-0.0579457	-0.0579485	-0.0579823	-0.057505	-0.0595083	-0.0788528	-0.081016	-0.0564526	-0.0563088
49	0.0098	-0.0583277	-0.0579662	-0.0579347	-0.0579679	-0.0574494	-0.0594962	-0.0795418	-0.0815234	-0.0564899	-0.0563429
50	0.01	-0.058343	-0.0579844	-0.0579214	-0.0579536	-0.0574018	-0.0594863	-0.0801951	-0.081994	-0.0565257	-0.0563763
51	0.0102	-0.0583562	-0.0580005	-0.0579087	-0.05794	-0.057356	-0.0594768	-0.0808124	-0.0824311	-0.0565601	-0.0564089
52	0.0104	-0.0583675	-0.0580145	-0.0578964	-0.0579268	-0.057312	-0.0594677	-0.0813953	-0.082837	-0.056593	-0.0564407
53	0.0106	-0.058377	-0.0580266	-0.0578847	-0.0579142	-0.0572697	-0.0594589	-0.0819456	-0.0832137	-0.0566245	-0.0564716
54	0.0108	-0.0583848	-0.058037	-0.0578733	-0.057902	-0.0572291	-0.0594505	-0.0824647	-0.0835632	-0.0566543	-0.0565016
55	0.011	-0.0583911	-0.0580458	-0.0578625	-0.05789	-0.0571978	-0.059445	-0.082954	-0.0838874	-0.0566827	-0.0565307
56	0.0112	-0.0583961	-0.058053	-0.057852	-0.0578784	-0.0571677	-0.0594398	-0.0834151	-0.0841891	-0.0567095	-0.0565587
57	0.0114	-0.0583998	-0.0580588	-0.057842	-0.0578673	-0.0571388	-0.0594348	-0.0838491	-0.0844697	-0.0567348	-0.0565858
58	0.0116	-0.0584023	-0.0580633	-0.0578324	-0.0578567	-0.0571111	-0.05943	-0.0842572	-0.0847306	-0.0567585	-0.0566118
59	0.0118	-0.0584038	-0.0580665	-0.0578231	-0.0578464	-0.0570844	-0.0594253	-0.0846406	-0.0849732	-0.0567808	-0.0566367
60	0.012	-0.0584044	-0.0580686	-0.0578142	-0.0578362	-0.0570672	-0.0594238	-0.0850002	-0.0851986	-0.0568016	-0.0566606
61	0.0122	-0.0584041	-0.0580696	-0.0578056	-0.0578264	-0.0570507	-0.0594224	-0.0853373	-0.0854093	-0.0568208	-0.0566834
62	0.0124	-0.0584031	-0.0580697	-0.0577974	-0.057817	-0.0570349	-0.059421	-0.0856529	-0.0856062	-0.0568387	-0.056705
63	0.0126	-0.0584014	-0.0580688	-0.0577895	-0.057808	-0.0570197	-0.0594197	-0.0859477	-0.0857901	-0.0568551	-0.0567256
64	0.0128	-0.0583991	-0.0580671	-0.0577819	-0.0577993	-0.057005	-0.0594185	-0.0862227	-0.0859619	-0.0568702	-0.0567451
65	0.013	-0.0583962	-0.0580647	-0.0577747	-0.0577907	-0.0569995	-0.0594202	-0.0864787	-0.0861224	-0.0568839	-0.0567634
66	0.0132	-0.0583929	-0.0580615	-0.0577677	-0.0577824	-0.0569942	-0.0594219	-0.0867166	-0.0862735	-0.0568963	-0.0567807
67	0.0134	-0.0583892	-0.0580576	-0.0577609	-0.0577744	-0.0569892	-0.0594236	-0.0869373	-0.0864159	-0.0569074	-0.0567968
68	0.0136	-0.0583851	-0.0580532	-0.0577545	-0.0577667	-0.0569843	-0.0594251	-0.0871413	-0.08655	-0.0569173	-0.0568119
69	0.0138	-0.0583807	-0.0580482	-0.0577483	-0.0577593	-0.0569796	-0.0594266	-0.0873295	-0.0866764	-0.0569259	-0.0568258
70	0.014	-0.058376	-0.0580427	-0.0577423	-0.0577519	-0.0569834	-0.0594309	-0.0875023	-0.0867955	-0.0569334	-0.0568386
71	0.0142	-0.0583712	-0.0580368	-0.0577366	-0.0577448	-0.0569871	-0.0594351	-0.0876607	-0.086909	-0.0569398	-0.0568504
