TimeSlice	Time	L Hip MN ext	L Hip MN flx	L Hip PF flx	L Hip PF ext	L RG ext	L RG flx
2555	0.511	-0.0463203	-0.0942905	-0.0614489	-0.0566385	-0.0577712	-0.0631136
2556	0.5112	-0.0463434	-0.0943019	-0.0614462	-0.0566433	-0.0577712	-0.0631092
2557	0.5114	-0.0463668	-0.0943129	-0.0614434	-0.0566482	-0.0577713	-0.0631049
2558	0.5116	-0.0463902	-0.0943236	-0.0614406	-0.056653	-0.0577713	-0.0631005
2559	0.5118	-0.0464139	-0.0943339	-0.0614377	-0.0566579	-0.0577713	-0.0630962
2560	0.512	-0.0464377	-0.0943438	-0.0614348	-0.0566628	-0.0577714	-0.063092
2561	0.5122	-0.0464616	-0.0943534	-0.0614319	-0.0566676	-0.0577714	-0.0630877
2562	0.5124	-0.0464856	-0.0943626	-0.061429	-0.0566725	-0.0577715	-0.0630835
2563	0.5126	-0.0465098	-0.0943715	-0.061426	-0.0566774	-0.0577715	-0.0630793
2564	0.5128	-0.046534	-0.0943801	-0.061423	-0.0566823	-0.0577716	-0.0630752
2565	0.513	-0.0465584	-0.0943883	-0.06142	-0.0566872	-0.0577716	-0.0630711
2566	0.5132	-0.0465829	-0.0943962	-0.0614169	-0.0566921	-0.0577717	-0.063067
2567	0.5134	-0.0466075	-0.0944038	-0.0614138	-0.056697	-0.0577717	-0.0630629
2568	0.5136	-0.0466322	-0.094411	-0.0614107	-0.0567019	-0.0577718	-0.0630588
2569	0.5138	-0.046657	-0.094418	-0.0614076	-0.0567068	-0.0577719	-0.0630548
2570	0.514	-0.0466819	-0.0944247	-0.0614044	-0.0567117	-0.0577719	-0.0630508
2571	0.5142	-0.0467068	-0.094431	-0.0614012	-0.0567166	-0.057772	-0.0630469
2572	0.5144	-0.0467318	-0.0944371	-0.061398	-0.0567215	-0.0577721	-0.0630429
2573	0.5146	-0.0467569	-0.0944429	-0.0613947	-0.0567264	-0.0577722	-0.063039
2574	0.5148	-0.046782	-0.0944484	-0.0613915	-0.0567314	-0.0577722	-0.0630351
2575	0.515	-0.0468072	-0.0944536	-0.0613882	-0.0567363	-0.0577723	-0.0630313
2576	0.5152	-0.0468324	-0.0944586	-0.0613849	-0.0567412	-0.0577724	-0.0630274
2577	0.5154	-0.0468577	-0.0944634	-0.0613815	-0.056746	-0.0577725	-0.0630236
2578	0.5156	-0.046883	-0.0944679	-0.0613782	-0.0567509	-0.0577726	-0.0630198
2579	0.5158	-0.0469084	-0.0944721	-0.0613748	-0.0567558	-0.0577727	-0.0630161
2580	0.516	-0.0469337	-0.0944761	-0.0613714	-0.0567607	-0.0577728	-0.0630123
2581	0.5162	-0.0469592	-0.0944799	-0.061368	-0.0567656	-0.0577729	-0.0630086
2582	0.5164	-0.0469846	-0.0944835	-0.0613646	-0.0567705	-0.057773	-0.0630049
2583	0.5166	-0.04701	-0.0944868	-0.0613611	-0.0567753	-0.0577731	-0.0630012
2584	0.5168	-0.0470355	-0.09449	-0.0613577	-0.0567802	-0.0577733	-0.0629976
2585	0.517	-0.0470609	-0.0944929	-0.0613542	-0.056785	-0.0577734	-0.062994
2586	0.5172	-0.0470864	-0.0944956	-0.0613507	-0.0567899	-0.0577735	-0.0629904
2587	0.5174	-0.0471118	-0.0944982	-0.0613471	-0.0567947	-0.0577736	-0.0629868
2588	0.5176	-0.0471373	-0.0945005	-0.0613436	-0.0567996	-0.0577738	-0.0629833
2589	0.5178	-0.0471627	-0.0945027	-0.0613401	-0.0568044	-0.0577739	-0.0629797
2590	0.518	-0.0471881	-0.0945047	-0.0613365	-0.0568092	-0.057774	-0.0629762
2591	0.5182	-0.0472135	-0.0945066	-0.0613329	-0.056814	-0.0577742	-0.0629727
