TimeSlice	Time	R Hip ext Ia	R Hip flx Ia	R Hip ext Ia IN	R Hip flx Ia IN	R Hip flx Ib	R Hip ext Ib	R Hip MN flx	R Hip MN ext	R Hip MN ext RE	R Hip MN flx RE
36	0.0072	-0.0578282	-0.0576087	-0.0581777	-0.0581777	-0.0569542	-0.0593044	-0.0670939	-0.0718752	-0.055948	-0.0558452
37	0.0074	-0.0578891	-0.0576606	-0.0581542	-0.0581542	-0.056795	-0.0592654	-0.0680294	-0.0731751	-0.0559961	-0.0558803
38	0.0076	-0.0579447	-0.0577109	-0.0581316	-0.0581316	-0.056642	-0.0592279	-0.0689373	-0.0743982	-0.0560447	-0.0559151
39	0.0078	-0.0579953	-0.0577595	-0.0581099	-0.0581099	-0.056495	-0.0591918	-0.069816	-0.0755492	-0.0560938	-0.0559496
40	0.008	-0.0580411	-0.0578063	-0.0580888	-0.0580888	-0.0563301	-0.0591557	-0.0706645	-0.0766328	-0.0561429	-0.0559837
41	0.0082	-0.0580824	-0.0578512	-0.0580685	-0.0580685	-0.0561717	-0.059121	-0.0714785	-0.0776529	-0.056192	-0.0560173
42	0.0084	-0.0581196	-0.057894	-0.0580491	-0.0580491	-0.0560195	-0.0590877	-0.0722572	-0.0786137	-0.0562408	-0.0560503
43	0.0086	-0.058153	-0.0579348	-0.0580304	-0.0580304	-0.0558732	-0.0590556	-0.0729997	-0.0795187	-0.0562892	-0.0560827
44	0.0088	-0.0581826	-0.0579734	-0.0580124	-0.0580124	-0.0557327	-0.0590249	-0.0737052	-0.0803716	-0.0563371	-0.0561143
45	0.009	-0.0582089	-0.0580097	-0.0579942	-0.0579942	-0.0555908	-0.0589982	-0.07437	-0.0811754	-0.0563842	-0.0561452
46	0.0092	-0.058232	-0.0580425	-0.0579768	-0.0579768	-0.0554544	-0.0589725	-0.074976	-0.0819335	-0.0564306	-0.0561753
47	0.0094	-0.0582521	-0.0580723	-0.05796	-0.05796	-0.0553234	-0.0589479	-0.0755275	-0.0826489	-0.0564761	-0.0562043
48	0.0096	-0.0582695	-0.0580992	-0.0579439	-0.0579439	-0.0551975	-0.0589242	-0.0760284	-0.0833241	-0.0565206	-0.0562322
49	0.0098	-0.0582844	-0.0581233	-0.0579285	-0.0579285	-0.0550766	-0.0589015	-0.0764825	-0.0839616	-0.0565641	-0.0562589
50	0.01	-0.0582969	-0.0581451	-0.0579128	-0.0579128	-0.0549665	-0.0588819	-0.0768931	-0.0845638	-0.0566065	-0.0562842
51	0.0102	-0.0583073	-0.0581645	-0.0578977	-0.0578977	-0.0548608	-0.0588631	-0.0772644	-0.0851331	-0.0566478	-0.0563082
52	0.0104	-0.0583156	-0.0581817	-0.0578833	-0.0578833	-0.0547592	-0.058845	-0.0775993	-0.0856712	-0.0566879	-0.0563308
53	0.0106	-0.0583221	-0.058197	-0.0578694	-0.0578694	-0.0546616	-0.0588276	-0.0779006	-0.0861802	-0.0567268	-0.0563518
54	0.0108	-0.0583269	-0.0582105	-0.057856	-0.057856	-0.0545679	-0.0588109	-0.0781708	-0.0866617	-0.0567645	-0.0563714
55	0.011	-0.0583301	-0.0582223	-0.0578425	-0.0578425	-0.0544911	-0.0587989	-0.0784123	-0.0871174	-0.056801	-0.0563895
56	0.0112	-0.0583319	-0.0582326	-0.0578295	-0.0578295	-0.0544174	-0.0587875	-0.0786292	-0.087549	-0.0568363	-0.056406
57	0.0114	-0.0583324	-0.0582415	-0.057817	-0.057817	-0.0543465	-0.0587765	-0.0788233	-0.0879579	-0.0568703	-0.056421
