doi,oa_id,cited_by_count,n_refs,n_in_corpus_refs
10.1016/j.neuroscience.2020.05.008,https://openalex.org/W3025938483,25,86,42
10.1098/rspb.2017.0290,https://openalex.org/W2600165020,23,43,14
10.1007/978-1-4939-3267-2_10,https://openalex.org/W2400517300,23,79,25
10.1088/1741-2560/9/4/046011,https://openalex.org/W2011092139,23,147,33
10.1016/j.expneurol.2023.114496,https://openalex.org/W4385237800,23,73,9
10.3390/ijms23105541,https://openalex.org/W4280567878,22,64,32
10.1016/j.arcontrol.2019.04.004,https://openalex.org/W2941855564,22,126,66
10.1152/jn.00996.2009,https://openalex.org/W2020442754,22,74,24
10.1007/978-3-319-22979-9_21,https://openalex.org/W1475996878,21,15,9
10.1016/j.cophys.2019.03.001,https://openalex.org/W2921103174,21,110,4
10.1007/978-0-387-77064-2_36,https://openalex.org/W131030061,21,68,18
10.1201/9781420038705.ch6,https://openalex.org/W2496064873,21,206,40
10.1113/jphysiol.2012.234609,https://openalex.org/W2162028597,21,66,3
10.1109/robot.1998.676345,https://openalex.org/W2164738491,21,9,4
10.3389/fnsys.2023.1199079,https://openalex.org/W4380084061,20,125,31
10.1016/j.conb.2023.102763,https://openalex.org/W4386042157,20,86,24
10.1016/j.cub.2023.07.014,https://openalex.org/W4385461623,20,58,16
10.1002/9781118873397.ch9,https://openalex.org/W2667195229,20,168,31
10.1109/iros.2011.6094954,https://openalex.org/W2131835145,19,39,4
10.1113/jphysiol.2006.113043,https://openalex.org/W1563240732,19,56,0
10.1152/jn.00739.2014,https://openalex.org/W2098480857,19,44,19
10.3390/app8010006,https://openalex.org/W2784716717,19,64,14
10.1016/j.robot.2011.12.005,https://openalex.org/W2086692441,19,45,22
10.1088/1748-3190/ac1ced,https://openalex.org/W3193141338,19,74,18
10.1023/a:1012478704769,https://openalex.org/W1556563059,18,21,4
10.1038/s41467-023-39034-y,https://openalex.org/W4379512377,18,73,25
10.1152/jn.00820.2013,https://openalex.org/W2323579419,18,65,4
10.1113/jp286151,https://openalex.org/W4394622613,18,138,24
10.1007/978-1-4939-3267-2_5,https://openalex.org/W2417473322,16,39,15
10.1002/cne.23904,https://openalex.org/W2113012829,16,67,4
10.3390/biomimetics4010010,https://openalex.org/W2914580701,16,26,3
10.1152/jn.00248.2023,https://openalex.org/W4386703786,16,27,3
10.3389/fncel.2019.00452,https://openalex.org/W2980044779,15,67,38
10.1109/robot.2007.363057,https://openalex.org/W2051628266,14,25,7
10.3389/fnsys.2022.814028,https://openalex.org/W4211050951,14,85,39
10.1089/neu.2022.0042,https://openalex.org/W4220802896,13,120,30
10.1007/s00422-017-0726-x,https://openalex.org/W2742508222,13,44,13
10.3389/fnins.2018.00053,https://openalex.org/W2789557863,13,85,13
10.3389/fbioe.2022.825149,https://openalex.org/W4226018928,13,36,25
10.1002/jnr.24791,https://openalex.org/W3126384063,13,88,35
10.1152/jn.00944.2011,https://openalex.org/W2101965119,12,54,30
10.1016/b978-0-12-803766-9.00008-7,https://openalex.org/W2775764143,12,221,61
10.1016/j.neuroscience.2020.09.017,https://openalex.org/W3084939933,12,80,41
10.3389/fnbot.2020.577804,https://openalex.org/W3100392170,12,48,7
10.1152/jn.00104.2024,https://openalex.org/W4396544204,12,82,29
10.1007/978-1-4939-3267-2_12,https://openalex.org/W2412861923,11,96,20
10.1142/9789813207158_0025,https://openalex.org/W2737845248,11,147,29
10.1109/lcsys.2018.2871126,https://openalex.org/W2898822913,11,23,6
10.1088/1748-3190/ac28ea,https://openalex.org/W3200789412,11,94,16
10.1016/j.isci.2022.104083,https://openalex.org/W4221095482,10,69,13
10.1088/1748-3190/aa8290,https://openalex.org/W2740660358,10,46,24
10.1088/1748-3190/10/6/065005,https://openalex.org/W2215279830,10,55,10
10.1007/978-1-4419-9056-3_1,https://openalex.org/W81724775,10,149,37
10.1523/jneurosci.0612-22.2022,https://openalex.org/W4285083549,10,85,30
10.1016/b978-0-12-816477-8.00013-2,https://openalex.org/W3049300730,10,265,102
10.1007/s00422-019-00811-y,https://openalex.org/W2990916200,10,70,13
10.3389/fncir.2023.1235181,https://openalex.org/W4386223467,10,74,13
10.1007/978-3-319-09435-9_13,https://openalex.org/W104753013,9,28,17
10.1152/jn.00866.2014,https://openalex.org/W2046369253,9,89,31
10.1007/s11062-022-09927-7,https://openalex.org/W4297175957,9,449,73
10.3390/ijms22116007,https://openalex.org/W3169823237,9,89,26
10.1038/s42003-024-06843-w,https://openalex.org/W4402713394,9,50,6
10.21203/rs.3.rs-153297/v1,https://openalex.org/W3129123643,9,47,5
10.3390/biomimetics7040226,https://openalex.org/W4311527722,8,45,20
10.3389/fnins.2019.01288,https://openalex.org/W2990279129,8,37,24
10.1109/wcecs.2008.25,https://openalex.org/W1967291104,8,28,3
10.1152/jn.00261.2012,https://openalex.org/W1970182501,8,71,19
10.1098/rsos.240207,https://openalex.org/W4401720836,8,111,44
10.1113/jp286808,https://openalex.org/W4402949867,7,175,28
10.1007/978-1-62703-197-4_8,https://openalex.org/W2488165213,7,139,42
10.1371/journal.pcbi.1012101,https://openalex.org/W4406657231,6,118,22
10.7554/elife.98841,https://openalex.org/W4400477839,6,115,57
10.1007/978-3-319-63537-8_15,https://openalex.org/W2734605370,5,17,5
10.1007/978-1-4939-3267-2_8,https://openalex.org/W2397793654,5,46,23
10.1007/978-3-642-31525-1_4,https://openalex.org/W122204220,5,27,4
10.1007/978-3-319-09435-9_26,https://openalex.org/W312955849,5,23,4
10.3390/biomimetics7010017,https://openalex.org/W4207032637,5,45,10
10.1101/2022.05.21.492933,https://openalex.org/W4281385242,5,196,47
10.1152/jn.00194.2019,https://openalex.org/W2982696046,5,89,15
10.1088/1748-3190/ab57b6,https://openalex.org/W2984129648,4,57,2
10.1111/nyas.12055,https://openalex.org/W1796943180,4,60,24
10.1101/2020.07.16.205856,https://openalex.org/W3042795825,4,55,4
10.14814/phy2.13504,https://openalex.org/W2769157753,4,80,20
10.7554/elife.103504,https://openalex.org/W4405185033,4,65,27
10.1007/978-3-319-95972-6_15,https://openalex.org/W2851940109,3,18,16
10.1152/jn.00486.2017,https://openalex.org/W2799933962,3,90,24
10.3389/fncir.2022.1076766,https://openalex.org/W4309852132,3,47,22
10.1152/jn.00871.2015,https://openalex.org/W2331237760,3,63,21
10.1117/12.886413,https://openalex.org/W2014436424,3,46,0
10.1007/978-3-030-64313-3_30,https://openalex.org/W3115364503,3,20,2
10.1007/978-3-319-12913-6_8,https://openalex.org/W1197285566,3,212,25
10.1007/s11055-023-01357-0,https://openalex.org/W4318999323,3,45,20
10.7554/elife.107480,https://openalex.org/W4412105197,3,81,24
10.1007/978-1-4614-7320-6_49-2,https://openalex.org/W3034119839,2,39,27
10.1007/978-3-030-64313-3_12,https://openalex.org/W3115906145,2,24,8
10.1101/2023.10.31.564886,https://openalex.org/W4388212889,2,103,43
10.1007/978-3-319-95972-6_21,https://openalex.org/W2830549441,2,17,6
10.1007/978-3-030-41878-6_9,https://openalex.org/W4211214843,2,465,31
10.1016/b978-0-12-805353-9.00098-x,https://openalex.org/W2790085575,2,137,31
10.1007/978-3-319-95972-6_57,https://openalex.org/W2873001395,2,22,7
10.1007/978-3-030-64313-3_7,https://openalex.org/W3116521705,2,27,7
10.14288/1.0071394,https://openalex.org/W2310487754,2,115,26
10.1152/jn.00331.2025,https://openalex.org/W4414448004,2,93,27
10.1016/j.neunet.2024.106422,https://openalex.org/W4399319734,2,56,20
10.1523/jneurosci.2015-22.2023,https://openalex.org/W4379740667,2,100,19
10.1007/s00422-023-00970-z,https://openalex.org/W4385969403,2,38,9
10.1007/978-3-030-24741-6_34,https://openalex.org/W2953635476,1,5,1
10.1016/b978-0-12-816477-8.00011-9,https://openalex.org/W3049171263,1,168,36
10.1002/9781118133880.hop203007,https://openalex.org/W1544911188,1,317,45
10.1007/978-3-030-64313-3_38,https://openalex.org/W3116599766,1,33,12
10.1007/978-1-0716-1006-0_758,https://openalex.org/W4293197906,1,91,24
10.1016/j.cub.2025.09.030,https://openalex.org/W4414823943,1,58,10
10.1007/978-3-319-09435-9_15,https://openalex.org/W165335459,1,28,11
10.1101/2025.11.11.687930,https://openalex.org/W4416222051,1,58,32
10.7939/r3639kg5w,https://openalex.org/W2896189946,0,142,40
10.7287/peerj.preprints.26734v1,https://openalex.org/W4246012448,0,0,0
10.1016/b978-0-12-819260-3.00009-3,https://openalex.org/W4310559180,0,192,51
10.7939/r3-jt04-kz83,https://openalex.org/W2985667866,0,119,26
10.1101/226316,https://openalex.org/W2776476701,0,31,5
10.1101/2020.07.29.226530,https://openalex.org/W3045504388,0,77,30
10.1007/978-1-0716-1006-0_48,https://openalex.org/W4293197386,0,46,20
10.1007/978-94-010-0870-9_20,https://openalex.org/W1041587706,0,76,21
10.1371/journal.pcbi.1013494,https://openalex.org/W4414161937,0,74,6
