id	label	doi	year	first_author	weight	x	y	cluster	source
W2162028597	Vestibular-mediated synaptic inputs and pathways to sympathetic preganglionic neurons in the neonatal mouse.	10.1113/jphysiol.2012.234609	2012	Kasumacic	22	0.491103	0.495997	2	rest383
W2402403182	A Neuromechanical Model of Spinal Control of Locomotion	10.1007/978-1-4939-3267-2_2	2016	Markin	69	0.503216	0.503273	3	rest383
W3094453564	Autonomous Spot: Long-Range Autonomous Exploration of Extreme Environments with Legged Locomotion	10.1109/iros45743.2020.9341361	2020	Bouman	14	0.395548	0.989025		task5import
W1096877704	Learning to expect the unexpected: rapid updating in primate cerebellum during voluntary self-motion	10.1038/nn.4077	2015	Brooks	248	0.371490	0.983266		rest383
W1549313501	Controlling legs for locomotion—insights from robotics and neurobiology	10.1088/1748-3190/10/4/041001	2015	Buschmann	87	0.506264	0.503517	1	rest383
W2811275898	Spinal Control of Locomotion: Individual Neurons, Their Circuits and Functions.	10.3389/fphys.2018.00784	2018	Côté	155	0.499968	0.503433	3	rest383
W2654090317	Muscle, Biomechanics, and Implications for Neural Control	10.1002/9781118873397.ch12	2017	Ting	26	0.508881	0.506902	5	rest383
W2019724270	The effects of stimulation of static and dynamic fusimotor fibres on the response to stretching of the primary endings o	10.1113/jphysiol.1964.sp007476	1964	Crowe	339	0.504275	0.495871	6	task5import
W2164738491	Locomotion controller for a crab-like robot	10.1109/robot.1998.676345	1998	Flannigan	21	0.516233	0.503459	1	rest383
W4406657231	Balancing central control and sensory feedback produces adaptable and robust locomotor patterns in a spiking, neuromecha	10.1371/journal.pcbi.1012101	2025	Pazzaglia	6	0.503618	0.499605	2	digest20
W2439130931	Organization of flexor–extensor interactions in the mammalian spinal cord: insights from computational modelling	10.1113/jp272437	2016	Shevtsova	59	0.500491	0.500262	2	originals99
W2162304282	Flexion-reflex of the limb, crossed extension-reflex, and reflex stepping and standing.	10.1113/jphysiol.1910.sp001362	1910	Sherrington	1325	0.501563	0.504721	4	rest383
W1428038289	A biologically based neural system coordinates the joints and legs of a tetrapod	10.1088/1748-3190/10/5/055004	2015	Hunt	25	0.506407	0.503220	1	originals99
W2169763427	Tonic Central and Sensory Stimuli Facilitate Involuntary Air-Stepping in Humans	10.1152/jn.90895.2008	2009	Selionov	116	0.501107	0.505217	7	rest383
W3082800844	Parallel compliance design for increasing robustness and efficiency in legged locomotion - theoretical background and ap	10.1109/tmech.2020.3019686	2020	AhmadSharbafi	26	0.683726	0.649718	16	task5import
W2144814097	Mechanical control of swimming speed: stiffness and axial wave form in undulating fish models	10.1242/jeb.198.11.2293	1995	McHenry	257	0.336140	0.390764	9	task5import
W1963741618	Signals from load sensors underlie interjoint coordination during stepping movements of the stick insect leg.	10.1152/jn.01271.2003	2004	Akay	112	0.507586	0.503817	1	rest383
W2286435172	Organization of the Mammalian Locomotor CPG: Review of Computational Model and Circuit Architectures Based on Geneticall	10.1523/eneuro.0069-15.2015	2015	Rybak	195	0.500843	0.500745	2	rest383
W2141290457	INTERNEURONAL RELAY IN SPINAL PATHWAYS FROM PROPRIOCEPTORS	10.1016/0301-0082(92)90024-9	1992	Jankowska	933	0.500531	0.503738	3	originals99
W2954545295	Design of a Canine Inspired Quadruped Robot as a Platform for Synthetic Neural Network Control	10.1007/978-3-030-24741-6_20	2019	Scharzenberger	11	0.510943	0.506013	1	task5import
W2040499411	Dynamics and stability of legged locomotion in the horizontal plane: a test case using insects	10.1007/s00422-001-0300-3	2002	Schmitt	131	0.513842	0.510762	1	task5import
W2016354087	Excitatory and Inhibitory Interactions in Localized Populations of Model Neurons	10.1016/s0006-3495(72)86068-5	1972	Wilson	3802	0.517023	0.496355	1	task5import
W2141300793	A low-cost GPS/inertial attitude heading reference system (AHRS) for general aviation applications	10.1109/plans.1998.670207	1998	Gebre-Egziabher	138	0.364473	0.407225	8	task5import
W1969232476	Locomotor primitives in newborn babies and their development.	10.1126/science.1210617	2011	Dominici	680	0.503413	0.502234	2	rest383
W2109620338	Motor control optimization of compliant one-legged locomotion in rough terrain	10.1109/iros.2007.4399195	2007	Iida	14	0.515978	0.498164	1	task5import
W2766131844	Central pattern generators in the turtle spinal cord: selection among the forms of motor behaviors.	10.1152/jn.00602.2017	2018	Stein	37	0.501294	0.500122	2	rest383
W2265032157	Role of Proprioceptive Signals From an Insect Femur-Tibia Joint in Patterning Motoneuronal Activity of an Adjacent Leg J	10.1152/jn.1999.81.4.1856	1999	Hess	95	0.507062	0.503016	1	rest383
W4390543855	Mechanosensory encoding of forces in walking uphill and downhill: force feedback can stabilize leg movements in stick in	10.1152/jn.00414.2023	2024	Zill	6	0.506139	0.506154	1	task5import
W2975869184	MPC-based Controller with Terrain Insight for Dynamic Legged Locomotion	10.1109/icra40945.2020.9197312	2020	Villarreal	6	0.347746	0.976323		task5import
nodoi:recNeQ9irdS3YlPuD	Activity of bifunctional motoneurons during fictive locomotion: a computational modeling study		2010	Hamade	0	0.324375	0.968215		task5import
W1998837283	Altered Gravity Highlights Central Pattern Generator Mechanisms	10.1152/jn.90436.2008	2008	White	48	0.504599	0.492961	1	task5import
W312955849	Neuromechanical Mantis Model Replicates Animal Postures via Biological Neural Models	10.1007/978-3-319-09435-9_26	2014	Szczecinski	5	0.513678	0.504661	1	rest383
