ts,trial,phase_reset_e,phase_reset_f,f1_kneext_inh,run,kine_score,duty,knee_min,rmse_hip,rmse_knee,rmse_ankle,cadence,tilt_max,stayed_up,npz
2026-09-15 00:22:07,40,0.1132,0.2701,1.8301,eval,-85.136,0.088,-86.03,33.41,22.26,9.45,0.364,15.9,True,
2026-09-15 00:23:06,41,0.0282,0.3625,0.8442,eval,-25.000,nan,nan,nan,nan,nan,0.000,14.3,True,
2026-09-15 00:24:04,42,0.0516,0.7040,1.5710,eval,-77.305,0.090,-72.13,24.40,17.61,10.45,0.455,14.5,True,
2026-09-15 00:25:01,43,0.2573,0.9458,1.7203,eval,-70.700,0.097,-73.40,25.30,17.76,8.11,0.545,15.4,True,
2026-09-15 00:25:59,44,0.0618,0.2765,1.8889,eval,-75.033,0.201,-76.10,31.67,20.07,10.27,0.182,14.0,True,
2026-09-15 00:26:58,45,1.4527,0.8821,1.7809,eval,-68.188,0.083,-79.27,26.84,17.87,7.35,0.545,16.7,True,
2026-09-15 00:27:56,46,0.4092,1.4832,1.6157,eval,-66.205,0.092,-77.90,28.92,19.44,8.23,0.455,16.7,True,
2026-09-15 00:29:16,46,0.4092,1.4832,1.6157,full22,-67.818,0.212,-77.46,28.41,19.54,8.76,0.500,16.8,True,v10_best_trial46.npz
2026-09-15 00:30:13,47,0.0875,0.0730,1.8215,eval,-72.677,0.089,-73.69,27.02,18.07,9.24,0.455,14.8,True,
2026-09-15 00:31:11,48,0.4578,1.4281,1.5944,eval,-71.652,0.095,-78.38,28.69,19.18,10.62,0.545,17.1,True,
2026-09-15 00:32:08,49,0.4907,1.2254,1.6303,eval,-68.657,0.084,-76.93,29.46,19.06,8.91,0.455,15.7,True,
2026-09-15 00:33:06,50,0.0326,1.5326,1.2596,eval,-67.233,0.194,-79.28,27.28,18.39,8.22,0.545,16.7,True,
2026-09-15 00:34:04,51,0.1906,1.3600,1.7240,eval,-98.345,0.088,-87.42,36.78,27.18,8.58,0.455,18.0,True,
2026-09-15 00:35:02,52,0.4898,1.6850,1.3458,eval,-65.821,0.088,-76.91,29.18,19.33,6.94,0.455,17.0,True,
2026-09-15 00:36:23,52,0.4898,1.6850,1.3458,full22,-67.512,0.187,-79.02,29.48,19.54,7.21,0.400,16.3,True,v10_best_trial52.npz
2026-09-15 00:37:22,53,0.2453,1.4749,1.8339,eval,-72.069,0.089,-75.29,25.83,17.78,9.33,0.545,16.0,True,
2026-09-15 00:38:19,54,0.7088,1.8250,1.3552,eval,-75.155,0.088,-83.77,32.49,21.62,7.49,0.455,17.0,True,
2026-09-15 00:39:18,55,0.6406,1.3788,1.3496,eval,-68.769,0.086,-80.85,31.83,20.85,6.99,0.455,17.2,True,
2026-09-15 00:40:15,56,0.4785,1.4768,1.5836,eval,-65.375,0.086,-77.08,29.74,19.10,6.59,0.455,16.6,True,
2026-09-15 00:41:34,56,0.4785,1.4768,1.5836,full22,-69.423,0.186,-74.97,30.70,19.93,7.14,0.400,15.7,True,v10_best_trial56.npz
2026-09-15 00:42:32,57,0.4204,1.4900,1.9372,eval,-74.555,0.096,-73.50,26.38,18.21,9.19,0.636,16.5,True,
2026-09-15 00:43:31,58,0.3128,1.4948,1.3973,eval,-68.499,0.091,-82.68,31.10,20.54,7.83,0.545,17.4,True,
2026-09-15 00:44:29,59,0.6002,1.2769,1.4600,eval,-72.108,0.094,-76.10,27.72,18.71,8.61,0.545,16.3,True,
