ts,trial,phase_reset_e,phase_reset_f,f1_kneext_inh,run,kine_score,duty,knee_min,rmse_hip,rmse_knee,rmse_ankle,cadence,tilt_max,stayed_up,npz
2026-09-12 17:33:29,0,0.2218,0.2189,0.0000,eval,-60.987,0.481,10.46,14.03,20.95,5.49,0.933,34.8,True,
2026-09-12 17:34:32,0,0.2218,0.2189,0.0000,full22,-62.708,0.456,10.00,14.71,21.10,5.65,1.100,36.6,True,v6_best_trial0.npz
2026-09-12 17:35:06,1,1.7141,0.7457,1.3597,eval,-64.415,0.210,11.32,11.46,27.08,5.15,0.400,32.3,True,
2026-09-12 17:35:40,2,1.4932,1.6257,0.1514,eval,-66.414,0.094,16.88,13.97,25.35,4.05,0.400,25.0,True,
2026-09-12 17:36:14,3,0.5060,0.7587,1.2091,eval,-25.000,nan,nan,nan,nan,nan,0.000,27.5,True,
2026-09-12 17:36:48,4,0.1455,1.6794,0.8106,eval,-63.945,0.233,12.52,13.10,24.40,5.01,0.667,26.9,True,
2026-09-12 17:37:22,5,0.4728,1.1908,1.1278,eval,-68.156,0.142,15.89,12.09,27.60,6.27,0.533,33.4,True,
2026-09-12 17:37:56,6,0.1765,1.9329,0.3886,eval,-67.510,0.109,14.98,13.20,26.74,5.70,0.267,25.9,True,
2026-09-12 17:38:07,7,0.1352,1.4990,0.3602,eval,-25.000,nan,nan,nan,nan,nan,0.000,27.4,True,
2026-09-12 17:38:41,8,1.6586,1.6331,0.1594,eval,-62.575,0.428,14.07,14.25,21.09,5.82,0.933,29.5,True,
2026-09-12 17:39:15,9,1.2437,1.4414,0.0836,eval,-64.413,0.246,11.74,13.60,24.51,3.93,0.400,25.3,True,
2026-09-12 17:39:58,10,0.9051,0.2708,0.6265,eval,-63.095,0.433,11.20,12.78,24.06,6.23,0.667,29.7,True,
2026-09-12 17:40:37,11,0.3081,1.2015,0.1354,eval,-63.383,0.301,12.60,13.79,22.83,5.20,0.800,27.7,True,
2026-09-12 17:41:11,12,0.6003,0.3133,0.2288,eval,-64.260,0.136,15.48,13.36,24.10,4.28,0.667,28.3,True,
2026-09-12 17:41:45,13,0.0740,1.9539,0.0129,eval,-61.747,0.411,10.54,13.39,22.16,5.11,0.533,32.4,True,
2026-09-12 17:42:19,14,0.1993,1.5230,0.5981,eval,-63.042,0.471,11.81,12.68,23.55,7.36,0.800,31.6,True,
2026-09-12 17:42:53,15,0.1391,0.0317,0.2157,eval,-60.954,0.488,11.25,14.37,20.14,6.29,1.200,38.4,True,
2026-09-12 17:43:56,15,0.1391,0.0317,0.2157,full22,-63.013,0.489,10.04,14.83,20.87,6.43,1.400,39.8,True,v6_best_trial15.npz
2026-09-12 17:44:30,16,0.0060,0.2636,0.4305,eval,-60.080,0.447,11.53,13.55,20.44,6.72,1.200,36.7,True,
2026-09-12 17:45:33,16,0.0060,0.2636,0.4305,full22,-61.127,0.473,10.01,14.28,20.58,5.94,1.100,38.5,True,v6_best_trial16.npz
2026-09-12 17:46:07,17,0.0723,0.3394,0.4681,eval,-59.834,0.486,11.32,13.64,20.20,6.86,0.933,37.0,True,
2026-09-12 17:47:10,17,0.0723,0.3394,0.4681,full22,-61.331,0.487,10.01,14.33,20.60,6.14,1.100,38.8,True,v6_best_trial17.npz
2026-09-12 17:47:44,18,0.0902,0.5272,0.7059,eval,-65.633,0.209,12.03,12.45,24.97,7.70,0.667,33.0,True,
2026-09-12 17:48:19,19,0.2153,0.6542,0.7116,eval,-60.250,0.473,11.61,13.04,20.99,6.97,1.067,32.7,True,
2026-09-12 17:48:54,20,0.5526,0.0370,0.6040,eval,-63.082,0.445,11.51,12.81,23.37,7.66,0.800,35.4,True,
2026-09-12 17:49:28,21,0.2097,0.4755,0.3876,eval,-59.822,0.486,11.56,13.90,19.93,6.13,1.333,31.0,True,
2026-09-12 17:50:31,21,0.2097,0.4755,0.3876,full22,-61.177,0.478,10.15,14.42,20.54,5.54,1.500,32.9,True,v6_best_trial21.npz
2026-09-12 17:51:06,22,0.2465,0.3868,0.1644,eval,-61.328,0.449,11.05,13.76,21.44,5.86,0.933,35.9,True,
2026-09-12 17:51:40,23,0.3118,0.4792,0.4085,eval,-60.160,0.470,12.62,13.82,20.08,6.22,1.333,31.2,True,
2026-09-12 17:52:14,24,0.0481,0.7599,0.6493,eval,-61.858,0.449,11.99,13.06,22.22,6.90,0.933,32.1,True,
2026-09-12 17:52:49,25,0.3073,0.0894,1.0812,eval,-61.236,0.452,13.03,13.47,21.19,6.96,0.933,37.7,True,
2026-09-12 17:53:24,26,0.1012,0.2570,0.3168,eval,-61.281,0.413,12.61,13.50,21.24,6.33,0.933,32.2,True,
2026-09-12 17:53:58,27,0.3141,0.4284,0.3383,eval,-60.141,0.476,11.69,13.72,20.39,5.75,1.333,27.3,True,
2026-09-12 17:54:32,28,0.0392,0.7029,0.6065,eval,-60.320,0.473,12.57,13.65,20.38,6.28,1.067,31.5,True,
2026-09-12 17:55:07,29,0.4033,0.1908,0.3962,eval,-60.996,0.449,11.67,13.09,21.36,7.46,0.933,35.1,True,
2026-09-12 17:55:41,30,0.1167,0.2790,0.6612,eval,-60.110,0.489,11.17,13.33,20.78,6.65,0.933,34.3,True,
2026-09-12 17:56:16,31,0.2706,0.2985,0.7324,eval,-61.347,0.435,12.81,13.25,21.44,7.09,0.933,34.9,True,
2026-09-12 17:56:50,32,0.0494,0.1465,0.4367,eval,-60.056,0.481,11.31,13.59,20.44,6.88,0.933,38.1,True,
2026-09-12 17:57:24,33,0.1973,0.4121,0.1304,eval,-61.208,0.482,11.28,14.47,20.30,5.75,1.467,32.2,True,
2026-09-12 17:57:59,34,0.0748,0.3843,0.2430,eval,-60.718,0.466,11.33,14.12,20.23,6.34,1.200,37.1,True,
2026-09-12 17:58:33,35,0.3894,0.4067,0.8060,eval,-62.191,0.280,11.66,12.76,22.86,6.39,0.800,35.7,True,
2026-09-12 17:59:08,36,0.2951,0.5290,0.6197,eval,-60.121,0.480,12.10,14.07,19.75,6.28,1.467,29.4,True,
2026-09-12 17:59:43,37,0.3246,0.3903,0.6739,eval,-60.227,0.483,11.30,13.42,20.76,6.91,1.067,38.8,True,
2026-09-12 18:00:17,38,0.3115,0.2050,0.3945,eval,-61.666,0.467,11.03,13.25,22.09,6.91,0.800,37.2,True,
2026-09-12 18:00:51,39,0.2913,0.5308,0.5796,eval,-60.167,0.472,12.60,13.91,19.93,6.24,1.333,30.5,True,
2026-09-12 18:01:26,40,0.3399,0.0158,0.4324,eval,-61.412,0.468,10.94,13.37,21.84,6.78,0.800,38.4,True,
2026-09-12 18:02:00,41,0.1909,0.0642,0.3934,eval,-60.982,0.470,11.41,13.49,21.44,6.29,0.800,36.9,True,
2026-09-12 18:02:35,42,0.1882,0.3302,0.6588,eval,-61.429,0.472,10.94,13.04,22.13,6.79,0.800,34.9,True,
2026-09-12 18:03:09,43,0.1707,0.2290,0.4399,eval,-60.380,0.483,10.78,13.68,20.74,6.50,0.933,38.8,True,
2026-09-12 18:03:43,44,0.0549,0.3796,0.4240,eval,-60.105,0.457,10.82,13.61,20.42,6.94,0.933,37.2,True,
2026-09-12 18:03:51,45,0.3508,0.1374,0.1600,eval,-25.000,nan,nan,nan,nan,nan,0.000,25.2,True,
2026-09-12 18:04:01,46,0.0779,0.2648,0.2664,eval,-25.000,nan,nan,nan,nan,nan,0.000,27.0,True,
2026-09-12 18:04:35,47,0.1661,0.2491,0.2543,eval,-61.074,0.435,11.71,13.64,21.04,6.49,1.067,36.6,True,
2026-09-12 18:05:10,48,0.1735,0.7615,0.1872,eval,-60.141,0.463,11.58,13.76,20.31,5.99,1.200,31.4,True,
2026-09-12 18:05:44,49,0.3291,0.0816,0.7405,eval,-61.295,0.455,12.49,13.47,21.36,6.78,0.933,36.0,True,
2026-09-12 18:06:18,50,0.0930,0.2201,0.3173,eval,-61.340,0.475,10.61,12.50,22.88,6.68,0.667,36.3,True,
2026-09-12 18:06:53,51,0.2568,0.2055,0.4692,eval,-60.279,0.454,11.91,13.61,20.36,7.17,1.067,38.7,True,
2026-09-12 18:07:01,52,0.1961,0.4572,0.4099,eval,-25.000,nan,nan,nan,nan,nan,0.000,135.2,False,
2026-09-12 18:07:35,53,0.0567,0.4131,0.5323,eval,-61.561,0.392,11.34,13.38,21.86,6.51,0.933,38.6,True,
2026-09-12 18:08:09,54,0.2693,0.0542,0.3966,eval,-59.810,0.476,11.52,13.61,20.21,6.62,1.200,35.8,True,
2026-09-12 18:09:13,54,0.2693,0.0542,0.3966,full22,-60.856,0.479,10.09,14.24,20.48,5.93,1.200,37.5,True,v6_best_trial54.npz
2026-09-12 18:09:47,55,0.1240,0.5039,0.6179,eval,-60.167,0.481,11.58,13.44,20.60,6.97,1.067,37.2,True,
