ts,trial,phase_reset_e,phase_reset_f,f1_kneext_inh,run,kine_score,duty,knee_min,rmse_hip,rmse_knee,rmse_ankle,cadence,tilt_max,stayed_up,npz
2026-09-14 12:25:32,0,0.5033,0.5787,0.0000,eval,-67.409,0.201,-70.36,11.99,22.02,26.79,0.267,18.3,True,
2026-09-14 12:26:51,0,0.5033,0.5787,0.0000,full22,-67.232,0.183,-64.23,13.12,22.31,24.46,0.400,17.8,True,v8_best_trial0.npz
2026-09-14 12:27:33,1,0.7457,1.3597,0.5126,eval,-25.000,nan,nan,nan,nan,nan,0.000,18.7,True,
2026-09-14 12:28:50,1,0.7457,1.3597,0.5126,full22,nan,nan,nan,nan,nan,nan,0.000,15.1,True,v8_best_trial1.npz
2026-09-14 12:29:32,2,0.1514,1.3129,1.0185,eval,-65.079,0.302,-82.34,22.88,23.82,9.51,0.800,19.0,True,
2026-09-14 12:30:15,3,1.5448,0.1358,1.3722,eval,-65.733,0.188,-77.04,25.04,18.51,16.56,0.533,10.7,True,
2026-09-14 12:30:58,4,0.3818,0.9813,1.4240,eval,-69.273,0.240,-79.53,23.12,21.20,17.46,0.933,13.4,True,
2026-09-14 12:31:40,5,0.2579,1.5211,0.4033,eval,-51.361,0.196,-72.21,16.96,18.41,9.07,0.400,14.1,True,
2026-09-14 12:32:58,5,0.2579,1.5211,0.4033,full22,-59.580,0.170,-61.53,19.05,22.72,9.19,0.500,13.7,True,v8_best_trial5.npz
2026-09-14 12:33:39,6,1.0936,1.3934,1.9262,eval,-72.655,0.453,-87.58,25.05,28.88,8.97,0.933,20.3,True,
2026-09-14 12:34:22,7,0.5088,1.3377,1.5198,eval,-25.000,nan,nan,nan,nan,nan,0.000,12.9,True,
2026-09-14 12:35:05,8,0.1970,1.1204,1.4201,eval,-25.000,nan,nan,nan,nan,nan,0.000,13.1,True,
2026-09-14 12:35:47,9,1.3885,0.1057,1.1629,eval,-72.486,0.463,-83.55,24.95,30.09,8.18,0.933,18.6,True,
2026-09-14 12:36:30,10,0.5994,0.3393,0.5725,eval,-69.092,0.085,-76.13,17.29,19.77,24.03,0.400,10.8,True,
2026-09-14 12:37:13,11,0.7677,0.9297,0.6078,eval,-61.116,0.106,-89.36,22.53,19.93,10.33,0.267,16.7,True,
2026-09-14 12:37:55,12,0.7460,0.2900,1.0154,eval,-68.843,0.088,-96.03,24.18,22.84,13.07,0.267,15.4,True,
2026-09-14 12:38:39,13,0.2816,1.7945,0.8832,eval,-25.000,nan,nan,nan,nan,nan,0.000,12.5,True,
2026-09-14 12:39:22,14,0.3795,1.0391,0.2705,eval,-25.000,nan,nan,nan,nan,nan,0.000,15.7,True,
2026-09-14 12:40:04,15,0.4914,1.6687,0.1806,eval,-51.237,0.165,-67.00,17.39,18.61,7.75,0.400,14.5,True,
2026-09-14 12:41:19,15,0.4914,1.6687,0.1806,full22,-61.345,0.151,-56.35,18.59,24.98,7.78,0.400,13.8,True,v8_best_trial15.npz
2026-09-14 12:42:02,16,0.6917,1.4728,0.6859,eval,-53.885,0.172,-68.59,16.77,18.90,11.80,0.400,14.3,True,
2026-09-14 12:42:44,17,0.0690,1.9100,0.5209,eval,-54.736,0.086,-82.35,20.74,17.99,8.38,0.267,15.8,True,
2026-09-14 12:43:26,18,0.3669,1.4780,0.3047,eval,-61.895,0.168,-73.69,14.44,20.23,19.97,0.400,14.7,True,
2026-09-14 12:44:07,19,0.4832,1.0310,0.4187,eval,-51.940,0.168,-69.29,18.44,19.30,6.13,0.400,14.1,True,
2026-09-14 12:44:49,20,0.2920,1.7728,0.2551,eval,-52.314,0.177,-80.94,16.06,18.59,9.23,0.400,14.1,True,
2026-09-14 12:45:31,21,0.6637,1.7399,0.6452,eval,-52.076,0.180,-75.69,16.21,18.29,10.95,0.267,14.6,True,
2026-09-14 12:46:13,22,0.2789,1.3401,0.3152,eval,-51.647,0.186,-71.50,16.94,18.50,9.49,0.400,13.9,True,
2026-09-14 12:46:55,23,0.2252,1.5938,0.5180,eval,-52.501,0.108,-83.36,20.76,17.67,6.21,0.267,15.5,True,
2026-09-14 12:47:36,24,0.3238,1.4397,0.6674,eval,-50.075,0.182,-73.59,16.64,18.52,6.72,0.400,15.5,True,
2026-09-14 12:48:53,24,0.3238,1.4397,0.6674,full22,-49.623,0.162,-71.80,17.33,18.24,5.94,0.500,14.5,True,v8_best_trial24.npz
2026-09-14 12:49:36,25,0.7542,1.2599,0.3274,eval,-51.135,0.199,-81.08,16.24,18.79,6.27,0.400,14.0,True,
2026-09-14 12:50:18,26,0.9723,1.1535,0.0403,eval,-53.018,0.236,-67.20,16.66,19.21,9.55,0.533,12.5,True,
2026-09-14 12:51:00,27,0.2556,1.6003,0.9591,eval,-51.450,0.173,-79.81,15.98,18.44,8.40,0.400,15.6,True,
2026-09-14 12:51:42,28,0.4963,0.9362,0.4404,eval,-25.000,nan,nan,nan,nan,nan,0.000,15.2,True,
2026-09-14 12:52:24,29,0.3069,1.9005,1.0376,eval,-59.080,0.185,-68.04,19.10,24.75,6.49,0.400,13.3,True,
2026-09-14 12:53:06,30,0.4859,1.4071,0.5005,eval,-51.173,0.154,-73.83,16.18,18.71,9.22,0.267,14.6,True,
2026-09-14 12:53:48,31,0.3879,1.0953,0.7417,eval,-50.351,0.175,-82.12,17.89,17.43,6.03,0.400,15.2,True,
2026-09-14 12:54:29,32,0.6722,0.8559,0.7870,eval,-51.320,0.117,-80.20,16.52,18.52,7.19,0.400,13.9,True,
2026-09-14 12:55:10,33,0.2229,1.2507,0.2932,eval,-50.281,0.167,-70.07,17.52,18.38,7.39,0.267,14.0,True,
2026-09-14 12:55:52,34,0.3454,1.1824,0.4158,eval,-51.645,0.161,-81.79,15.06,18.33,10.49,0.267,16.2,True,
2026-09-14 12:56:33,35,0.5051,1.1939,0.5544,eval,-25.000,nan,nan,nan,nan,nan,0.000,15.4,True,
2026-09-14 12:57:15,36,0.2197,1.6414,0.7239,eval,-49.284,0.181,-77.18,16.63,17.98,6.36,0.400,15.7,True,
2026-09-14 12:58:30,36,0.2197,1.6414,0.7239,full22,-47.505,0.165,-76.13,16.34,17.47,5.40,0.400,15.1,True,v8_best_trial36.npz
2026-09-14 12:59:12,37,0.7969,1.6201,0.6893,eval,-49.688,0.178,-77.18,16.42,18.20,6.54,0.400,16.0,True,
