ts,trial,phase_reset_e,phase_reset_f,run,kine_score,duty,knee_min,rmse_hip,rmse_knee,rmse_ankle,cadence,tilt_max,stayed_up,npz
2026-09-12 16:15:52,45,0.1712,0.1762,eval,-61.588,0.480,10.84,14.24,21.03,5.44,0.933,33.5,True,
2026-09-12 16:16:37,46,0.1363,0.0315,eval,-61.350,0.470,10.79,14.01,21.25,5.33,0.933,34.4,True,
2026-09-12 16:17:22,47,0.6320,0.1191,eval,-61.438,0.479,10.78,14.10,21.15,5.37,0.933,32.8,True,
2026-09-12 16:18:07,48,0.1049,0.1334,eval,-61.507,0.423,11.61,14.05,21.03,5.44,1.067,33.9,True,
2026-09-12 16:18:48,49,0.3104,0.1436,eval,-61.736,0.442,10.89,14.30,20.90,5.48,1.067,33.4,True,
2026-09-12 16:19:29,50,0.0281,0.1247,eval,-61.560,0.347,10.47,14.02,21.20,5.30,0.933,36.0,True,
2026-09-12 16:20:16,51,0.0740,0.0819,eval,-61.605,0.468,11.06,14.35,20.71,5.65,1.067,33.9,True,
2026-09-12 16:21:02,52,0.2736,0.1981,eval,-61.582,0.477,11.01,14.36,20.70,5.66,1.067,34.1,True,
2026-09-12 16:21:40,53,0.1620,0.3165,eval,-61.444,0.459,10.78,13.89,21.63,5.20,0.800,35.1,True,
2026-09-12 16:22:17,54,0.1008,0.2996,eval,-61.287,0.449,10.81,14.15,20.85,5.51,1.200,34.6,True,
2026-09-12 16:22:58,55,0.0965,0.0972,eval,-61.277,0.483,10.73,14.23,20.83,5.38,1.067,31.7,True,
2026-09-12 16:23:35,56,0.1356,0.0063,eval,-61.391,0.445,11.22,13.87,21.47,5.20,0.933,33.8,True,
2026-09-12 16:24:22,57,0.1074,0.1627,eval,-61.398,0.480,10.66,14.28,20.78,5.62,1.067,35.3,True,
2026-09-12 16:25:02,58,0.2706,0.2311,eval,-61.576,0.474,10.73,14.26,20.99,5.53,0.933,36.6,True,
2026-09-12 16:25:45,59,0.2452,0.1962,eval,-61.106,0.472,10.84,14.04,20.94,5.40,1.067,33.5,True,
2026-09-12 16:27:03,59,0.2452,0.1962,full22,-62.960,0.470,9.94,14.82,21.11,5.69,1.200,35.3,True,v5_best_trial59.npz
2026-09-12 16:27:38,60,0.0952,0.0445,eval,-61.269,0.437,11.16,14.04,20.95,5.44,1.200,33.7,True,
2026-09-12 16:28:26,61,0.1929,0.2690,eval,-61.462,0.448,10.74,13.99,21.34,5.38,0.933,33.6,True,
2026-09-12 16:29:10,62,0.0100,0.4856,eval,-61.318,0.460,10.94,14.21,20.78,5.56,1.200,34.9,True,
2026-09-12 16:29:57,63,0.0028,0.0878,eval,-61.048,0.475,10.84,14.05,20.89,5.43,1.067,34.5,True,
2026-09-12 16:31:10,63,0.0028,0.0878,full22,-62.738,0.459,10.00,14.75,21.08,5.59,1.200,36.4,True,v5_best_trial63.npz
2026-09-12 16:31:50,64,0.2230,0.1178,eval,-61.556,0.487,10.69,14.46,20.66,5.60,1.200,35.3,True,
2026-09-12 16:32:33,65,0.0785,0.1018,eval,-61.209,0.453,11.38,14.11,20.80,5.48,1.200,34.0,True,
2026-09-12 16:33:21,66,0.0060,0.0579,eval,-61.819,0.313,10.59,14.04,21.33,5.17,0.933,34.5,True,
2026-09-12 16:34:05,67,0.1237,0.0546,eval,-61.453,0.447,10.93,14.00,21.27,5.27,1.067,32.2,True,
2026-09-12 16:34:46,68,0.4004,0.4084,eval,-61.361,0.476,10.99,14.03,21.20,5.30,0.933,32.0,True,
2026-09-12 16:35:33,69,0.0663,0.1338,eval,-61.519,0.437,11.41,13.97,21.33,5.27,0.933,34.5,True,
2026-09-12 16:36:11,70,0.2509,0.0340,eval,-61.230,0.472,11.00,14.11,20.90,5.43,1.067,33.0,True,
2026-09-12 16:36:46,71,0.1591,0.1901,eval,-61.475,0.474,11.30,14.04,21.24,5.29,0.933,31.7,True,
2026-09-12 16:37:29,72,0.3027,0.2416,eval,-61.249,0.454,11.44,14.08,20.86,5.41,1.200,32.3,True,
2026-09-12 16:38:11,73,0.1411,0.1964,eval,-61.264,0.471,10.89,14.10,20.97,5.45,1.067,34.5,True,
2026-09-12 16:38:57,74,0.3094,0.0032,eval,-61.373,0.479,10.88,14.08,21.11,5.37,0.933,32.5,True,
2026-09-12 16:39:36,75,0.2894,0.1651,eval,-61.502,0.461,11.32,14.24,20.82,5.42,1.200,31.6,True,
2026-09-12 16:40:23,76,0.1726,0.1871,eval,-61.347,0.445,11.48,14.09,20.94,5.41,1.200,34.6,True,
2026-09-12 16:41:00,77,0.1189,0.2637,eval,-61.600,0.429,11.40,14.18,20.94,5.43,1.200,33.4,True,
2026-09-12 16:41:46,78,0.0310,0.1740,eval,-61.470,0.404,10.92,13.79,21.54,5.28,0.933,32.7,True,
2026-09-12 16:42:25,79,0.2784,0.0737,eval,-61.263,0.463,11.12,14.19,20.76,5.52,1.200,34.0,True,
2026-09-12 16:43:00,80,0.2092,0.1503,eval,-61.099,0.473,10.66,14.04,21.00,5.42,1.067,34.8,True,
2026-09-12 16:43:44,81,0.0352,0.2249,eval,-61.342,0.469,10.92,14.23,20.83,5.37,1.200,31.9,True,
2026-09-12 16:44:29,82,0.0523,0.0339,eval,-61.189,0.469,11.27,14.15,20.75,5.46,1.200,33.0,True,
2026-09-12 16:45:06,83,0.1010,0.0049,eval,-61.370,0.420,11.70,13.93,21.09,5.43,1.067,33.3,True,
2026-09-12 16:45:42,84,0.1687,0.1409,eval,-61.330,0.478,10.62,14.09,21.15,5.36,0.933,34.4,True,
2026-09-12 16:46:19,85,0.2190,0.0899,eval,-61.426,0.428,11.19,14.06,21.04,5.41,1.200,34.1,True,
2026-09-12 16:47:04,86,0.1220,0.0907,eval,-61.275,0.466,10.89,14.13,20.94,5.38,1.200,34.0,True,
2026-09-12 16:47:40,87,0.0440,0.0535,eval,-61.249,0.459,11.20,14.10,20.89,5.38,1.200,33.2,True,
2026-09-12 16:48:15,88,0.0437,0.0801,eval,-61.809,0.422,10.99,14.30,20.91,5.50,1.067,34.9,True,
2026-09-12 16:48:51,89,0.1016,0.2163,eval,-61.311,0.440,11.57,13.99,21.00,5.40,1.067,32.5,True,
2026-09-12 16:49:26,90,0.0691,0.0658,eval,-61.130,0.454,11.51,14.06,20.78,5.51,1.200,34.0,True,
2026-09-12 16:50:13,91,0.0359,0.0652,eval,-61.495,0.482,10.79,14.42,20.67,5.49,1.333,34.0,True,
2026-09-12 16:50:55,92,0.0787,0.0150,eval,-61.143,0.474,10.72,14.01,21.09,5.34,0.933,34.4,True,
2026-09-12 16:51:42,93,0.1747,0.2359,eval,-61.394,0.450,11.58,14.28,20.62,5.61,1.333,34.7,True,
2026-09-12 16:52:25,94,0.1432,0.1187,eval,-61.440,0.466,10.64,14.31,20.79,5.44,1.200,33.6,True,
2026-09-12 16:53:00,95,0.0833,0.0062,eval,-61.924,0.455,11.42,14.50,20.63,5.79,1.333,36.3,True,
2026-09-12 16:53:51,96,0.1132,0.2131,eval,-61.681,0.441,10.59,14.37,20.80,5.59,1.200,35.2,True,
2026-09-12 16:54:39,97,0.0676,0.1216,eval,-61.351,0.475,10.72,14.18,20.93,5.44,1.067,34.8,True,
2026-09-12 16:55:17,98,0.1038,0.0766,eval,-61.652,0.449,11.15,14.42,20.68,5.49,1.333,33.1,True,
2026-09-12 16:56:02,99,0.0684,0.2363,eval,-61.531,0.480,10.74,14.46,20.66,5.49,1.333,34.4,True,
2026-09-12 16:56:50,100,0.0233,0.1508,eval,-61.574,0.469,11.37,14.36,20.71,5.52,1.333,32.7,True,
2026-09-12 16:57:35,101,0.0975,0.0677,eval,-61.289,0.438,11.02,14.01,21.06,5.41,1.067,34.5,True,
2026-09-12 16:58:10,102,0.1532,0.1339,eval,-61.278,0.471,10.86,14.20,20.82,5.49,1.200,34.9,True,
2026-09-12 16:58:45,103,0.1818,0.0466,eval,-61.281,0.475,11.00,14.20,20.77,5.52,1.067,33.3,True,
2026-09-12 16:59:21,104,0.1112,0.0167,eval,-61.523,0.397,11.02,13.90,21.40,5.22,1.067,32.9,True,
2026-09-12 16:59:55,105,0.1091,0.1351,eval,-61.044,0.477,10.70,14.17,20.70,5.55,1.067,34.6,True,
2026-09-12 17:00:58,105,0.1091,0.1351,full22,-62.988,0.479,9.94,14.87,21.07,5.79,1.200,36.4,True,v5_best_trial105.npz
2026-09-12 17:01:32,106,0.0706,0.1756,eval,-61.317,0.481,10.54,14.25,20.83,5.44,1.067,34.3,True,
2026-09-12 17:02:06,107,0.1186,0.1468,eval,-61.189,0.477,10.98,14.07,20.94,5.49,0.933,34.2,True,
2026-09-12 17:02:41,108,0.2131,0.1280,eval,-61.281,0.468,11.42,14.22,20.71,5.50,1.200,33.7,True,
2026-09-12 17:03:15,109,0.1884,0.1374,eval,-61.444,0.419,10.77,14.09,21.02,5.43,1.067,34.2,True,
2026-09-12 17:03:49,110,0.0323,0.0425,eval,-61.467,0.392,11.50,14.07,20.96,5.43,1.200,34.8,True,
2026-09-12 17:04:24,111,0.1601,0.0083,eval,-61.194,0.472,10.80,14.23,20.71,5.54,1.200,34.4,True,
2026-09-12 17:04:58,112,0.2718,0.1202,eval,-61.564,0.480,11.01,14.41,20.68,5.63,1.200,35.7,True,
2026-09-12 17:05:32,113,0.2535,0.0659,eval,-61.276,0.477,10.71,14.13,20.99,5.46,0.933,35.7,True,
2026-09-12 17:06:07,114,0.0352,0.0368,eval,-61.242,0.473,10.70,14.05,21.08,5.38,1.067,34.7,True,
2026-09-12 17:06:41,115,0.2655,0.0565,eval,-61.429,0.377,11.19,13.93,21.19,5.35,1.067,34.9,True,
2026-09-12 17:07:15,116,0.1633,0.0866,eval,-61.399,0.471,10.78,14.34,20.67,5.67,1.200,36.6,True,
2026-09-12 17:07:50,117,0.0462,0.0377,eval,-61.783,0.490,10.53,14.56,20.69,5.67,1.200,35.0,True,
2026-09-12 17:08:24,118,0.1468,0.0685,eval,-61.237,0.479,10.69,14.25,20.71,5.60,1.067,35.1,True,
2026-09-12 17:08:58,119,0.0978,0.2537,eval,-61.129,0.482,10.62,14.04,21.03,5.39,0.933,33.3,True,
2026-09-12 17:09:33,120,0.2070,0.1125,eval,-61.275,0.473,11.12,14.21,20.77,5.51,1.200,34.8,True,
2026-09-12 17:10:07,121,0.1564,0.1693,eval,-61.402,0.455,11.51,14.29,20.62,5.61,1.333,34.7,True,
2026-09-12 17:10:41,122,0.0239,0.1421,eval,-61.692,0.340,10.60,14.04,21.12,5.45,0.933,34.2,True,
2026-09-12 17:11:15,123,0.2101,0.1022,eval,-61.273,0.475,10.75,14.28,20.69,5.54,1.200,34.1,True,
2026-09-12 17:11:50,124,0.0736,0.1711,eval,-61.020,0.463,10.89,14.00,20.88,5.49,1.067,33.9,True,
