[Spikes to Muscle Activation] 9K27QB6V 2024 Elzein and Hunt | Pulse Modulation in Braided Pneumatic Actuators Mimics Contractile Behavior of Biological Muscles
[Spikes to Muscle Activation] UXIPZ8TG   | Stimulation Pattern That Maximizes Force in Paralyzed and Control Whole Thenar Muscles | Journal of 
[Spikes to Muscle Activation] A7VFD2TL Aug  Hunt et al. | Modeling length effects of braided pneumatic actuators
[Spikes to Muscle Activation] GPUB7AW5 Oct  McNeal and Hunt | Real-time, pulse-based actuation of braided pneumatic actuator muscles
[Spikes to Muscle Activation] 6GDJ43VK 2005 Lindner et al. | Integrate-and-fire neurons with threshold noise: A tractable model of how interspike interval correl
[Spikes to Muscle Activation] 6LKA6H8S 2005 Lindner et al. | Integrate-and-fire neurons with threshold noise: A tractable model of how interspike interval correl
[Spikes to Muscle Activation] EY9IP9CA 2009 Dai et al. | Electrophysiological and Pharmacological Properties of Locomotor Activity-Related Neurons in cfos-EG
[Spikes to Muscle Activation] VGDIQLS5 2014 Stifani | Motor neurons and the generation of spinal motor neurons diversity
[Spikes to Muscle Activation] AZ9DR8RU 2025 Zayia and Tadi | Neuroanatomy, Motor Neuron
[Spikes to Muscle Activation] TK74WD3K 2000 Gerstner | Population Dynamics of Spiking Neurons: Fast Transients, Asynchronous States, and Locking
[Spikes to Muscle Activation] MBK9ARWB 2000 Plesser and Gerstner | Noise in integrate-and-fire neurons: from stochastic input to escape rates
[Spikes to Muscle Activation] UJ5ECYKN 2002 Griffin et al. | Stimulation pattern that maximizes force in paralyzed and control whole thenar muscles
[Spikes to Muscle Activation] 4DT5S7CY 2014 Farina et al. | The effective neural drive to muscles is the common synaptic input to motor neurons
[Spikes to Muscle Activation] ST8VJ6RW 2017 Srivastava et al. | Motor control by precisely timed spike patterns
[Spikes to Muscle Activation] IHIS9GDK 2007 Hooper et al. | Different Motor Neuron Spike Patterns Produce Contractions With Very Similar Rises in Graded Slow Mu
[Spikes to Muscle Activation] B9H7K6VP 2020 Szczecinski et al. | Extending the Functional Subnetwork Approach to a Generalized Linear Integrate-and-Fire Neuron Model
--- end Spikes to Muscle Activation ---
[Spiking/NonSpiking Networks] L7AN5PSJ 2022 Naudin et al. | Systematic generation of biophysically detailed models with generalization capability for non-spikin
[Spiking/NonSpiking Networks] ZGW8K2JP 2021 Strohmer et al. | Integrating Non-spiking Interneurons in Spiking Neural Networks
[Spiking/NonSpiking Networks] B9H7K6VP 2020 Szczecinski et al. | Extending the Functional Subnetwork Approach to a Generalized Linear Integrate-and-Fire Neuron Model
--- end Spiking/NonSpiking Networks ---
[FSA_Extensions] HNTEY3GQ 2022 Scharzenberger and Hunt | A Functional Subnetwork Approach to Multistate Central Pattern Generator Phase Difference Control
[FSA_Extensions] UKRQJ3ZH 12/0 Scharzenberger and Hunt | A Functional Subnetwork Approach to Multistate Central Pattern Generator Phase Difference Control
