"key","type","title","DOI","date","pub"
"AKDZIR4R","journalArticle","Review article (Part 2) Neural control of locomotion: sensory control of the central pattern generator and its relation to treadmill training","","1998-01-01",
"9GTNRHKK","journalArticle","Proprioceptive Control of Extensor Activity during Fictive Scratching and Weight Support Compared to Fictive Locomotion","10.1523/jneurosci.19-24-10966.1999","1999-12-15","The Journal of Neuroscience"
"MULT3QWH","journalArticle","Synaptic actions on motoneurones caused by impulses in Golgi tendon organ afferents.","10.1113/jphysiol.1957.sp005849","1957-09-23","The Journal of Physiology"
"MXGXC3FH","journalArticle","Unusual Quadrupedal Locomotion in Rat during Recovery from Lumbar Spinal Blockade of 5-HT7 Receptors.","10.3390/ijms22116007","2021-06-01","International Journal of Molecular Sciences"
"JEFWMP8Y","journalArticle","Increased amplitude of cutaneous reflexes during human running as compared to standing.","10.1016/0006-8993(93)90903-z","1993-06-11","Brain Research"
"GQYLS3J5","journalArticle","Intralimb and interlimb coordination in the cat during real and fictive rhythmic motor programs","10.1016/s1044-5765(05)80026-0","1993-02-01","Seminars in Neuroscience"
"R3TPT74R","journalArticle","The effect of dorsal root transection on the efferent motor pattern in the cat's hindlimb during locomotion.","10.1111/j.1748-1716.1984.tb07400.x","1984-03-01","Acta Physiologica Scandinavica"
"MUTCUC9Z","journalArticle","Stumbling corrective reaction: a phase-dependent compensatory reaction during locomotion","10.1152/jn.1979.42.4.936","1979-07-01","Journal of Neurophysiology"
"92JTZDFF","journalArticle","Simple Muscle Models Regularize Motion in a Robotic Leg with Neurally-Based Step Generation","10.1109/robot.2007.363057","2007-04-10",
"VDCCTFT9","journalArticle","Stimulation of the group I extensor afferents prolongs the stance phase in walking cats.","10.1007/bf00241961","1995-01-01","Experimental Brain Research"
"AR5DQDSE","journalArticle","Locomotor Pattern Generation in the Rodent Spinal Cord","10.1007/978-1-0716-1006-0_48","2022-01-01",
"TLVQNV83","bookSection","The Motor Circuit","10.1016/S0074-7742(05)69005-8","2005-01-01",
"CJMYSRWG","journalArticle","Organization of the Mammalian Locomotor CPG: Review of Computational Model and Circuit Architectures Based on Genetically Identified Spinal Interneurons(1,2,3).","10.1523/eneuro.0069-15.2015","2015-09-01",
"DLHNVKD7","bookSection","","","2015",
"BSYGDEM9","journalArticle","Activity of vestibulospinal neurons during locomotion.","10.1016/0006-8993(72)90007-8","1972-11-13","Brain Research"
"C825GTPT","journalArticle","How detailed is the central pattern generation for locomotion","10.1016/0006-8993(75)90401-1","1975-05-02","Brain Research"
"IV4TUKTR","journalArticle","Contribution of Force Feedback to Ankle Extensor Activity in Decerebrate Walking Cats","10.1152/jn.00325.2004","2004-10-01","Journal of Neurophysiology"
"CGD36ERG","journalArticle","Model-based neuromechanical controller for a robotic leg","","2010-02-01",
"M7TUEFIN","journalArticle","Effects of training on the recovery of full-weight-bearing stepping in the adult spinal cat.","10.1016/0014-4886(86)90094-4","1986-05-01","Experimental Neurology"
"5KJXUUZJ","journalArticle","Discharges of single hindlimb afferents in the freely moving cat.","10.1152/jn.1976.39.5.1090","1976-09-01","Journal of Neurophysiology"
"69IZK39D","journalArticle","Sensory Modulation of Locomotor-Like Membrane Oscillations in Hb9-Expressing Interneurons","10.1152/jn.00996.2009","2010-06-01","Journal of Neurophysiology"
"WDYJSDGU","journalArticle","Tapping into spinal circuits to restore motor function.","10.1016/s0165-0173(99)00008-9","1999-07-01","Brain Research Reviews"
"KF7FDS4P","journalArticle","Bio-inspired controller achieving forward speed modulation with a 3D bipedal walker","10.1177/0278364917743320","January 1, 2018","The International Journal of Robotics Research"
"S9I4LMSZ","journalArticle","Experiments and models of sensorimotor interactions during locomotion","10.1007/s00422-006-0129-x","2006-12-13","Biological Cybernetics"
"VCJ43VY8","journalArticle","Contribution of Afferent Feedback to Adaptive Hindlimb Walking in Cats: A Neuromusculoskeletal Modeling Study","10.3389/fbioe.2022.825149","2022-04-08","Frontiers in Bioengineering and Biotechnology"
