"key","parent","linkMode","filename","contentType"
"ZBQGZEU8","82UYY6EI","imported_url","S2214574515001194.html","text/html"
"XSKDPDIL","YJ8X9HU8","imported_url","Santuz et al. - 2019 - Modular organization of murine locomotor pattern i.pdf","application/pdf"
"WB9IPAAQ","MKS3BUPU","imported_url","Vincent et al. - 2017 - Muscle proprioceptors in adult rat mechanosensory.pdf","application/pdf"
"FR2FUWS8","TLVQNV83","imported_url","S0074774205690058.html","text/html"
"HQXZ42AD","MKS3BUPU","linked_url",,"text/html"
"GHMLX4QU","KJLW477J","imported_file","Nichols - 2018 - Distributed force feedback in the spinal cord and .pdf","application/pdf"
"IGDCL9H8","J7R2GK58","imported_file","Stein_et_al-2000-The_Journal_of_Physiology.pdf","application/pdf"
"NVC5LAQR","C4TQ6ZMK","imported_file","McVea et al. - 2005 - A role for hip position in initiating the swing-to-stance transition in walking cats.pdf","application/pdf"
"2GSDTD9C","J7R2GK58","imported_url","j.1469-7793.2000.00781.html","text/html"
"SKXWGR7C","MA5R8WXG","imported_file","Dietz - 2003 - Spinal cord pattern generators for locomotion.pdf","application/pdf"
"F2WJK8CU","MA5R8WXG","imported_file","Dietz - 2003 - Spinal cord pattern generators for locomotion.pdf","application/pdf"
"RJMIZGIA","MA5R8WXG","imported_file","Dietz - 2003 - Spinal cord pattern generators for locomotion.pdf","application/pdf"
"UWSHUEWC","MA5R8WXG","imported_file","Dietz - 2003 - Spinal cord pattern generators for locomotion.pdf","application/pdf"
"PBKLJHVC","MA5R8WXG","imported_file","Dietz - 2003 - Spinal cord pattern generators for locomotion.pdf","application/pdf"
"QJTQVEJR","NEIRYH62","imported_file","Prochazka, Gillard, Bennett - 1997 - Positive force feedback control of muscles.pdf","application/pdf"
"Z97TV8P7","HJKAP6HX","imported_url","1999 quantifying_proprioception.pdf","application/pdf"
"6HDKKTWR","HJKAP6HX","linked_url",,"text/html"
"GHSPU4RJ","W4B3WQQJ","imported_url","Pearson and Rossignol - 1991 - Fictive motor patterns in chronic spinal cats.pdf","application/pdf"
"LYX6K5MQ","7V5HW296","imported_url","Guisheng Zhong et al. - 2010 - Electrophysiological Characterization of V2a Inter.pdf","application/pdf"
"3ZHRZD8R","N9S6TS6L","imported_url","Masuda et al. - 2023 - Ketamine evoked disruption of entorhinal and hippo.pdf","application/pdf"
"RIKLNLQK","MFMKBZUY","imported_url","Zanos et al. - 2023 - NMDA Receptor Activation-Dependent Antidepressant-.pdf","application/pdf"
"AS3JNJK2","MFMKBZUY","linked_url",,"text/html"
"8YKDDNPM","256JNYAY","imported_url","6844003.html","text/html"
"VPY6CA2N","256JNYAY","imported_url","Tajkarimi and Burnett - 2011 - The Role of Genital Nerve Afferents in the Physiol.pdf","application/pdf"
"XVLRIVQB","C7RCVPYL","imported_url","Ruesink et al. - 2022 - A psychophysical and neuroimaging analysis of geni.pdf","application/pdf"
"JKQ8LYWQ","C7RCVPYL","linked_url",,"text/html"
"Z2VDFV2Y","XJU92RF6","imported_url","Halata and Munger - 1986 - The neuroanatomical basis for the protopathic sens.pdf","application/pdf"
"X7GVDUDY","XJU92RF6","imported_url","0006899386903574.html","text/html"
"6YCQVACH","Z68VN5PH","imported_url","Zhao - 2010 - Full-Featured Pedometer Design Realized with 3-Axi.pdf","application/pdf"
"IL9D98E2","GAADVQLF","imported_url","S0925231218315315.html","text/html"
"X2DBL8AE","CF5DRYD6","imported_url","0265407509347936.html","text/html"
"6UJ78EQU","74BMU59L","imported_url","0093650215626983.html","text/html"
"2PUDI5TW","F8L6ZHZ7","imported_url","2676342.html","text/html"
"IGX8HGCU","5YN2CXP7","linked_url",,"text/html"
"UCDXG3WV","MJSAEIYJ","imported_url","synapse-molecular-complexity-and-the-plasticitybehaviour-problem(0bfdca78-54d3-4a50-ba78-3356ef.html","text/html"
"6UK6ULB9","MJSAEIYJ","imported_url","Grant - 2018 - Synapse molecular complexity and the plasticity-be.pdf","application/pdf"
"VUF4TUGN","MGTSH4TP","imported_url","the-synaptomic-theory-of-behavior-and-brain-disease(ef06acfc-2580-456c-a304-64f629252a31).html","text/html"
"S8L9XIRJ","MGTSH4TP","imported_url","Grant - 2019 - The Synaptomic Theory of Behavior and Brain Diseas.pdf","application/pdf"
"QNAUQZVV","T7ZJEPRH","imported_url","Nithianantharajah et al. - 2013 - Synaptic scaffold evolution generated components o.pdf","application/pdf"
"7FQWE6Q8","T7ZJEPRH","imported_url","nn.html","text/html"
"JK7PKMYA","HKTFEPSW","imported_url","Belgard and Geschwind - 2013 - Retooling spare parts gene duplication and cognit.pdf","application/pdf"
"TNVDBSIE","HKTFEPSW","imported_url","nn.html","text/html"
"JJ9BHRKB","GEQBFWJJ","imported_url","nn.html","text/html"
"S4MMZDEP","GEQBFWJJ","imported_url","Ryan et al. - 2013 - Evolution of GluN2AB cytoplasmic domains diversif.pdf","application/pdf"
"8EWRN9CN","E478PSQT","imported_file","Szczecinski et al. - 2017 - Design process and tools for dynamic neuromechanic.pdf","application/pdf"
"DNVUUWXF","X2JTGTDF","imported_file","Buschmann et al. - 2015 - Controlling legs for locomotion—insights from robo.pdf","application/pdf"
"FZ43LIHG","AA9JLD3J","imported_file","Shadmehr and Arbib - 1992 - A mathematical analysis of the force-stiffness cha.pdf","application/pdf"
"CP9EC3VB","Q6LE772C","imported_file","Izhikevich - 2004 - Which Model to Use for Cortical Spiking Neurons.pdf","application/pdf"
"6FZWMDBS","A3ELQ6W6","imported_file","Hunt et al. - 2015 - Using Animal Data and Neural Dynamics to Reverse E.pdf","application/pdf"
"V5IVNQVH","X6NL3I38","imported_file","Deng et al. - 2018 - Neuromechanical Model of Rat Hind Limb Walking wit.pdf","application/pdf"
"ZAK4FK2K","ZP42GEX2","imported_file","Deng et al. - 2019 - Neuromechanical Model of Rat Hindlimb Walking with.pdf","application/pdf"
