"zotero_key","title","author","year","DOI"
"UVDSAI8N","Gating and reversal of reflexes in ankle muscles during human walking","Duysens et al.","1990","10.1007/bf00231254"
"XTNLKQQ2","Organization of pontine reticulospinal inputs to motoneurons controlling axial and limb muscles in the neonatal mouse.","Sivertsen et al.","2014","10.1152/jn.00820.2013"
"22NYU47D","Control of locomotor cycle durations.","Yakovenko et al.","2005","10.1152/jn.00991.2004"
"ZNH4Y6RK","State- and Condition-Dependent Modulation of the Hindlimb Locomotor Pattern in Intact and Spinal Cats Across Speeds","Harnie et al.","2022","10.3389/fnsys.2022.814028"
"SRJBTWKG","Genetic Ablation of V2a Ipsilateral Interneurons Disrupts Left-Right Locomotor Coordination in Mammalian Spinal Cord","Crone et al.","2008","10.1016/j.neuron.2008.08.009"
"2NHK8MS4","The stride cycle of the cat: the modelling of locomotion by computerized analysis of automatic recordings.","Halbertsma","1983",""
"QM4E3SLW","Segmental organization of vestibulospinal inputs to spinal interneurons mediating crossed activation of thoracolumbar motoneurons in the neonatal mouse.","Kasumacic et al.","2015","10.1523/jneurosci.5188-14.2015"
"4YSY755G","The dominant role of the hip in multijoint reflex responses in human spinal cord injury","Onushko","2011",""
"4RQDJHCA","The significance of dynamical architecture for adaptive responses to mechanical loads during rhythmic behavior","Shaw et al.","2015","10.1007/s10827-014-0519-3"
"ZMLZC8RV","Flexion-reflex of the limb, crossed extension-reflex, and reflex stepping and standing.","Sherrington","1910","10.1113/jphysiol.1910.sp001362"
"RQHYHAKQ","HALF-CENTRES REVISITED","Lundberg","1981","10.1016/b978-0-08-026814-9.50025-9"
"57KB6B8F","Phasic gain control of the transmission in cutaneous reflex pathways to motoneurones during 'fictive' locomotion.","Andersson et al.","1978","10.1016/0006-8993(78)90493-6"
"XY9LLPB9","Posture control of a cockroach-like robot","Nelson and Quinn","1998","10.1109/robot.1998.676348"
"CF4NKJHF","Golgi tendon organs in mammalian skeletal muscle: functional properties and central actions","Jami","1992","10.1152/physrev.1992.72.3.623"
"NUQ2JRWH","Central pattern generators and the control of rhythmic movements","Marder and Bucher","2001","10.1016/s0960-9822(01)00581-4"
"XJLADIKX","V1 spinal neurons regulate the speed of vertebrate locomotor outputs.","Gosgnach et al.","2006","10.1038/nature04545"
