"zotero_key","title","author","year","DOI"
"8AUBC3V7","Force Sensors in Hexapod Locomotion","Kaliyamoorthy et al.","2005","10.1177/0278364905055381"
"YSB9TKJX","The case for and against muscle synergies.","Tresch and Jarc","2009","10.1016/j.conb.2009.09.002"
"JU4WBGTJ","Heterogenic Feedback Between Hindlimb Extensors in the Spontaneously Locomoting Premammillary Cat","Ross and Nichols","2009","10.1152/jn.90338.2008"
"QU973HAA","Functional plasticity following spinal cord lesions.","Frigon and Rossignol","2006","10.1016/s0079-6123(06)57016-5"
"YJVT4HJU","Highly mobile robots that run and jump","Horchler et al.","2004",""
"DQLYCBH2","Modelling genetic reorganization in the mouse spinal cord affecting leftΓÇôright coordination during locomotion","Rybak et al.","2013","10.1113/jphysiol.2013.261115"
"LNCVWZ8E","Neural Adaptation in the Generation of Rhythmic Behavior","Pearson","2000","10.1146/annurev.physiol.62.1.723"
"WA46PM2Y","The flexion synergy, mother of all synergies and father of new models of gait","Duysens et al.","2013","10.3389/fncom.2013.00014"
"STI84977","Entrainment of the locomotor rhythm by group Ib afferents from ankle extensor muscles in spinal cats.","Pearson et al.","1992","10.1007/bf00230939"
"YSBJLGU7","Recovery of locomotion after chronic spinalization in the adult cat","Barbeau and Rossignol","1987","10.1016/0006-8993(87)91442-9"
"BI2N2VXZ","V1 and V2b Interneurons Secure the Alternating Flexor-Extensor Motor Activity Mice Require for Limbed Locomotion","Zhang et al.","2014","10.1016/j.neuron.2014.02.013"
"FT6FLCCE","Two-Level Model of Mammalian Locomotor CPG","Shevtsova","2013","10.1007/978-1-4614-7320-6_49-2"
"CV83DAZY","The convergence of monosynaptic excitatory afferents on to many different species of alpha motoneurones","Eccles and Lundberg","1957","10.1113/jphysiol.1957.sp005794"
"EFRSBRUQ","Pattern generation for stick insect walking movements-multisensory control of a locomotor program","B├ñssler and B├╝schges","1998","10.1016/s0165-0173(98)00006-x"
"VRUAGILB","Supraspinal contributions to the initiation and control of locomotion in the cat.","Armstrong","1986","10.1016/0301-0082(86)90021-3"
"28XSSMP9","2008 Special Issue: Central pattern generators for locomotion control in animals and robots: A review","Ijspeert","2008","10.1016/j.neunet.2008.03.014"
"UVG6PMDD","Stumbling corrective reaction during fictive locomotion in the cat.","Quevedo et al.","2005","10.1152/jn.00175.2005"
"FDYA43W5","Simulation of Human Balance Control Using an Inverted Pendulum Model","Hilts et al.","2017","10.1007/978-3-319-63537-8_15"
"QKVU6KK3","Adaptive control for backward quadrupedal walking. III. Stumbling corrective reactions and cutaneous reflex sensitivity.","Buford and Smith","1993","10.1152/jn.1993.70.3.1102"
"YX6IC7SQ","Adaptive Control Responses to Behavioral Perturbation Based Upon the Insect","Ritzmann et al.","2006",""
"N8C5DJV6","Locomotor primitives in newborn babies and their development.","Dominici et al.","2011","10.1126/science.1210617"
"723RUJG9","A Functional Subnetwork Approach to Designing Synthetic Nervous Systems That Control Legged Robot Locomotion","Szczecinski et al.","2017","10.3389/fnbot.2017.00037"
"GKEDLR7B","Force-sensitive afferents recruited during stance encode sensory depression in the contralateral swinging limb during locomotion.","Hochman et al.","2013","10.1111/nyas.12055"
"QRNCP58H","Interlimb communication during human walking: crossed responses in the gastrocnemius muscle","Gervasio","2014",""
"F4V9VS9X","A distributed neural network architecture for hexapod robot locomotion","Beer et al.","1992","10.1162/neco.1992.4.3.356"
"9K4DAP7A","Spinal cords: Symphonies of interneurons across species","Wilson and Sweeney","2023","10.3389/fncir.2023.1146449"
"LYPEYIAI","A Synthetic Nervous System Controls a Simulated Cockroach","Rubeo et al.","2017","10.3390/app8010006"
"4JE58YY8","Effect of stimulating the lumbar skin caudal to a complete spinal cord injury on hindlimb locomotion","Hurteau et al.","2015","10.1152/jn.00739.2014"
"8QVW6ZRY","Adaptive hindlimb split-belt treadmill walking in rats by controlling basic muscle activation patterns via phase resetting","Fujiki et al.","2018","10.1038/s41598-018-35714-8"
"D8PKQH5X","Using mouse genetics to study the developing spinal locomotor circuit","Thiry et al.","2020","10.1016/b978-0-12-816477-8.00011-9"
"JV5ZJCH9","Spinal Control of Locomotion: Individual Neurons, Their Circuits and Functions.","C├┤t├⌐ et al.","2018","10.3389/fphys.2018.00784"
"L2RUU8KR","Evaluation of intracellular labeling with micron-sized particles of iron oxide (MPIOs) as a general tool for in vitro and in vivo tracking of human stem and progenitor cells.","Boulland et al.","2012","10.3727/096368911x627598"
"XT86CDBR","The Implications of Force Feedback for the ╬╗ Model","Nichols and Ross","2009","10.1007/978-0-387-77064-2_36"
"RYXH6JSP","Renshaw cell activity and recurrent effects on motoneurons during fictive locomotion.","McCrea et al.","1980","10.1152/jn.1980.44.3.475"
"X24SE498","Dynamic simulation of insect walking.","Ekeberg et al.","2004","10.1016/j.asd.2004.05.002"
"BKERX7AM","Neuromuscular Models for Locomotion","Proch├ízka et al.","2017","10.1016/b978-0-12-803766-9.00008-7"
"U4HBKUSE","Activation of the central pattern generators for locomotion by serotonin and excitatory amino acids in neonatal rat.","Cazalets et al.","1992","10.1113/jphysiol.1992.sp019296"
"VMKUQ2IQ","Control of ankle extensor muscle activity in walking cats","Hatz et al.","2012","10.1152/jn.00944.2011"
"LQPY5BP2","Sensory Systems in the Control of Movement","Proch├ízka et al.","2012","10.1002/cphy.c100086"
"L8WLNNF3","Locomotor Control: From Spring-like Reactions of Muscles to Neural Prediction","Yakovenko et al.","2001","10.1201/9781420038705.ch6"
"6V4RWQNW","Analyzing the Interplay Between Local CPG Activity and Sensory Signals for Inter-leg Coordination in Drosophila","Nourse et al.","2019","10.1007/978-3-030-24741-6_34"
"I7WF27CS","Diversity of molecularly defined spinal interneurons engaged in mammalian locomotor pattern generation.","Ziskind-Conhaim and Hochman","2017","10.1152/jn.00322.2017"
"KMATJMI4","Peripheral control of the cat's step cycle. II. Entrainment of the central pattern generators for locomotion by sinusoidal hip movements during ""fictive locomotion."".","Andersson and Grillner","1983","10.1111/j.1748-1716.1983.tb07267.x"
"GGHBEBW4","Segmental, Synaptic Actions of Commissural Interneurons in the Mouse Spinal Cord","Quinlan and Kiehn","2007","10.1523/jneurosci.1618-07.2007"
"WJ4ZTW5P","Sensory Coupled Action Switching Modules Generate Robust, Adaptive Stepping in Legged Robots","Lewinger et al.","2006",""
"XIJH8N3A","Contribution of Cutaneous Inputs From the Hindpaw to the Control of Locomotion. II. Spinal Cats","Bouyer and Rossignol","","10.1152/jn.00497.2003"
"3URZQV5H","Walking with perturbations: a guide for biped humans and robots","Duysens and Forner-Cordero","2018","10.1088/1748-3190/aada54"
"8TLXCQR4","Control of Cat Walking and Paw-Shake by a Multifunctional Central Pattern Generator","Bondy et al.","2016","10.1007/978-1-4939-3267-2_12"
"BU4APFEI","Distribution of networks generating and coordinating locomotor activity in the neonatal rat spinal cord in vitro: a lesion study","Kj├ªrulff et al.","1996","10.1523/jneurosci.16-18-05777.1996"
"D4S2TC4N","Muscle, Biomechanics, and Implications for Neural Control","Ting and Chiel","2017","10.1002/9781118873397.ch12"
"D33IUJJ7","Central Pattern Generators of the Mammalian Spinal Cord","Frigon","2012","10.1177/1073858410396101"
"WQZXAF74","Tactile Sensing in Insects","D├╝rr and Krause","2014",""
"UMSA63JS","Activity of medullary reticulospinal neurons during fictive locomotion.","Perreault et al.","1993","10.1152/jn.1993.69.6.2232"
"BI39RJI7","Leg-local neural mechanisms for searching and learning enhance robotic locomotion","Szczecinski and Quinn","2018","10.1007/s00422-017-0726-x"
"424NG6WU","Characterization of WT1-expressing interneurons and investigation of their role in locomotion","Haque","2019","10.7939/r3-jt04-kz83"
"XP2EX6D4","Robotics Application of a Method for Analytically Computing Infinitesimal Phase Response Curves","Fitzpatrick et al.","2020","10.1007/978-3-030-64313-3_12"
"BBF8TBC3","A Neural Basis for Motor Primitives in the Spinal Cord","Hart and Giszter","2010","10.1523/jneurosci.5894-08.2010"
"JGVQNJ78","Neural control of locomotion; Part 1: The central pattern generator from cats to humans","Duysens et al.","1998","10.1016/s0966-6362(97)00042-8"
"53TGQYNX","Neuromusculoskeletal Modeling for the Adaptive Control of Posture During Locomotion","Aoi","2016","10.1007/978-1-4939-3267-2_8"
"XFWK5ITS","Distribution of Heterogenic Reflexes Among the Quadriceps and Triceps Surae Muscles of the Cat Hind Limb","Wilmink and Nichols","2003","10.1152/jn.00833.2002"
"VDY6Y7L5","A three-dimensional musculoskeletal model of the dog","Stark et al.","2020","10.1101/2020.07.16.205856"
"NEEUMPXI","Activity of interneurons within the L4 spinal segment of the cat during brainstem-evoked fictive locomotion","Shefchyk et al.","1990","10.1007/bf00228156"
"WV2FMHTZ","Identification of Minimal Neuronal Networks Involved in Flexor-Extensor Alternation in the Mammalian Spinal Cord","Talpalar et al.","2011","10.1016/j.neuron.2011.07.011"
"M4CHZYBA","Spinal reflexes, mechanisms and concepts: from Eccles to Lundberg and beyond.","Hultborn","2006","10.1016/j.pneurobio.2006.04.001"
"CZSULL8Q","Simple robot suggests physical interlimb communication is essential for quadruped walking","Owaki et al.","2013","10.1098/rsif.2012.0669"
"R4XWRAFE","Changes in leg movements and muscle activity with speed of locomotion and mode of progression in humans","Nilsson et al.","1985","10.1111/j.1748-1716.1985.tb07612.x"
"EIMLN4ZY","In mice lacking V2a interneurons, gait depends on speed of locomotion","Crone et al.","2009","10.1523/jneurosci.1206-09.2009"
"9KAXASMM","Proprioceptive regulation of locomotion.","Pearson","1995","10.1016/0959-4388(95)80107-3"
"3HGNG5J2","Influence of Brain Stem on Axial and Hindlimb Spinal Locomotor Rhythm Generating Circuits of the Neonatal Mouse.","Jean-Xavier and Perreault","2018","10.3389/fnins.2018.00053"
"TR2NKM86","Lumbar Spinal Interneuron Activity as it Relates to Rhythmic Motor Output in the Adult, Spinal, Air-Stepping Cat","McMahon","2014",""
"3NWY2FW5","Toward Mission Capable Legged Robots through Biological Inspiration","Quinn et al.","2001","10.1023/a:1012478704769"
"CW7JZ7L4","Central Pattern Generator for Locomotion: Anatomical, Physiological, and Pathophysiological Considerations","Guertin","2013","10.3389/fneur.2012.00183"
"IM5WCMZI","An Intersegmental Neuronal Architecture for Spinal Wave Propagation under Deletions","P├⌐rez et al.","2009","10.1523/jneurosci.1737-09.2009"
"WECMUBAX","Forms of Forward Quadrupedal Locomotion. III. A Comparison of Posture, Hindlimb Kinematics, and Motor Patterns for Downslope and Level Walking","Smith et al.","","10.1152/jn.1998.79.4.1702"
"MNB7HGR7","Vibration-Induced Changes in EMG During Human Locomotion","Verschueren et al.","2003","10.1152/jn.00863.2002"
"4WLDLKPD","Sensory Feedback and Central Neuronal Interactions in Mouse Locomotion","Molkov et al.","2023","10.1101/2023.10.31.564886"
"58Q9FCBD","Speed-dependent modulation of phase variations on a step-by-step basis and its impact on the consistency of interlimb coordination during quadrupedal locomotion in intact adult cats","Frigon et al.","2014","10.1152/jn.00524.2013"
"MGUAVHFY","Kinematic and behavioral evidence for a distinction between trotting and ambling gaits in the cockroach Blaberus discoidalis","Bender et al.","2011","10.1242/jeb.056481"
"CEKYCAGT","Initiating or Blocking Locomotion in Spinal Cats by Applying Noradrenergic Drugs to Restricted Lumbar Spinal Segments","Marcoux and Rossignol","2000","10.1523/jneurosci.20-22-08577.2000"
"UNIGJ9YZ","Biological Pattern Generation: The Cellular and Computational Logic of Networks in Motion","Grillner","2006","10.1016/j.neuron.2006.11.008"
"8U825SL4","Modular organization of the multipartite central pattern generator for turtle rostral scratch: knee-related interneurons during deletions","Stein et al.","2016","10.1152/jn.00871.2015"
"PEVJKQRJ","Phase dependent reflex reversal during walking in chronic spinal cats","Forssberg et al.","1975","10.1016/0006-8993(75)91013-6"
"LZPQY2KV","Neuronal specification in the spinal cord: inductive signals and transcriptional codes","Jessell","2000","10.1038/35049541"
"HMKDKGKQ","Optogenetic dissection reveals multiple rhythmogenic modules underlying locomotion","H├ñgglund et al.","2013","10.1073/pnas.1304365110"
"G7X8E86M","Tonic Central and Sensory Stimuli Facilitate Involuntary Air-Stepping in Humans","╨í╨╡╨╗╨╕╨╛╨╜╨╛╨▓ et al.","2009","10.1152/jn.90895.2008"
"XXX6RM4G","Central pattern generators in the turtle spinal cord: selection among the forms of motor behaviors.","Stein","2018","10.1152/jn.00602.2017"
"YZ253THP","The Brain in Its Body: Motor Control and Sensing in a Biomechanical Context","Chiel et al.","2009","10.1523/jneurosci.3338-09.2009"
"7GCFAMKS","Controlling torque in a prosthesis or orthosis","Herr et al.","2011",""
"L36CA55S","State-dependent rhythmogenesis and frequency control in a half-center locomotor CPG","Ausborn et al.","2018","10.1152/jn.00550.2017"
"9YCEF35V","Phasic gain control of reflexes from the dorsum of the paw during spinal locomotion.","Forssberg et al.","1977","10.1016/0006-8993(77)90710-7"
"LYCP6X3M","Sensory regulation of stance-to-swing transition in generation of adaptive human walking: A simulation study","Aoi et al.","2012","10.1016/j.robot.2011.12.005"
"CS6UC3IE","Firing Properties of Identified Interneuron Populations in the Mammalian Hindlimb Central Pattern Generator","Butt et al.","2002","10.1523/jneurosci.22-22-09961.2002"
"V4ZNAPCE","Contribution of Cutaneous Inputs From the Hindpaw to the Control of Locomotion. I. Intact Cats","Gagnon et al.","2003","10.1152/jn.00496.2003"
"RAPTYL2H","Contribution of sensory feedback to ongoing ankle extensor activity during the stance phase of walking","Donelan and Pearson","2004","10.1139/y04-043"
"VQ7F2KNP","comparison study hindlimb control during fictive and real locomotion: a Motoneuronal and muscle synergies involved in cat","Lemay et al.","2012",""
"8RDG5YUZ","Functional subdivision of feline spinal interneurons in reflex pathways from group Ib and II muscle afferents; an update.","Jankowska and Edgley","2010","10.1111/j.1460-9568.2010.07354.x"
"77QUIHAM","The role of Renshaw cells in locomotion: antagonism of their excitation from motor axon collaterals with intravenous mecamylamine","Noga et al.","1987","10.1007/bf00236206"
"5LE2D2QE","Method for controlling a robotic limb joint","Herr et al.","2014",""
"93J8LWE3","Vestibular-mediated synaptic inputs and pathways to sympathetic preganglionic neurons in the neonatal mouse.","Kasumacic et al.","2012","10.1113/jphysiol.2012.234609"
"RLI4I9FX","Stimulation of a Restricted Region in the Midline Cerebellar White Matter Evokes Coordinated Quadrupedal Locomotion in the Decerebrate Cat","Mori et al.","1999","10.1152/jn.1999.82.1.290"
"KBKN2MM5","Recent advances in evolutionary and bio-inspired adaptive robotics: Exploiting embodied dynamics","Husbands et al.","2021","10.1007/s10489-021-02275-9"
"DVEPEET2","Generation of human bipedal locomotion by a bio-mimetic neuro-musculo-skeletal model.","Ogihara and Yamazaki","2001","10.1007/pl00007977"
"FUJC6G26","Force Regulation of Ankle Extensor Muscle Activity in Freely Walking Cats","Donelan et al.","2009","10.1152/jn.90918.2008"
"IXXAYLTJ","Spinal Cord Circuits: Models and Reality","Windhorst","2022","10.1007/s11062-022-09927-7"
"R9D8ZJ55","Spinal control of locomotion--from cat to man.","Hultborn and Nielsen","2007","10.1111/j.1748-1716.2006.01651.x"
"G4LJSGDJ","The functional role of triceps during human locomotion","Honeine","2013",""
"7RRPBMJD","Functional organization within the medullary reticular formation of the intact unanesthetized cat. III. Microstimulation during locomotion.","Drew","1991","10.1152/jn.1991.66.3.919"
"T22NX5SR","Computer simulation of stepping in the hind legs of the cat: an examination of mechanisms regulating the stance-to-swing transition.","Ekeberg and Pearson","2005","10.1152/jn.00065.2005"
"X7H6J7XW","Proprioception from a spinocerebellar perspective.","Bosco and Poppele","2001","10.1152/physrev.2001.81.2.539"
"UAXREP74","Biologically inspired approaches to robotics: what can we learn from insects?","Beer et al.","1997","10.1145/245108.245118"
"NC7ETD46","Effects ofstimulation ofhindlimb flexor groupIIafferents during fictive locomotion inthecat","Perreault et al.","2011",""
"NFP4GCRL","Mechanosensory Feedback in Walking: From Joint Control to Locomotor Patterns","B├╝schges and Gruhn","2007","10.1016/s0065-2806(07)34004-6"
"BTE4MNP2","The central pattern generator for forelimb locomotion in the cat.","Yamaguchi","2004","10.1016/s0079-6123(03)43011-2"
"U9LYZZKP","A Neuromechanical Model of Spinal Control of Locomotion","Markin et al.","2016","10.1007/978-1-4939-3267-2_2"
"SCAU9PQ7","Emulating Balance Control Observed in Human Test Subjects with a Neural Network","Hilts et al.","2000","10.1007/978-3-319-95972-6_21"
"5CPQLT4P","Muscle proprioceptive feedback and spinal networks","Windhorst","2007","10.1016/j.brainresbull.2007.03.010"
"3D3FLH8A","Swing-to-Stance Transition in Walking Cats A Role for Hip Position in Initiating the","Donelan et al.","2005",""
"6KDKJD7K","Neuronal Control of LocomotionFrom Mollusc to Man","Orlovsky et al.","1999","10.1093/acprof:oso/9780198524052.001.0001"
"XDKQIYUI","Experimental and Computational Assessment of Locomotor Coordination and Complexity Following Incomplete Spinal Cord Injury in the Rat","Hillen","2012",""
"TYN2GGIQ","Integration of feedforward and feedback control in the neuromechanics of vertebrate locomotion: a review of experimental, simulation and robotic studies","Ijspeert and Daley","2023","10.1242/jeb.245784"
"CHLNDG3Y","Left-right locomotor coordination in human neonates","Dewolf et al.","2022","10.1523/jneurosci.0612-22.2022"
"H78RABQM","Spatiotemporal activation of lumbosacral motoneurons in the locomotor step cycle","Yakovenko et al.","2002","10.1152/jn.00479.2001"
"C42DBB9I","Biomimetic joint actuators","Herr et al.","2012",""
"AVY5J95X","Shining light into the black box of spinal locomotor networks","Whelan","2010","10.1098/rstb.2009.0322"
"YBSVDD6K","Candidate interneurones mediating group I disynaptic EPSPs in extensor motoneurones during fictive locomotion in the cat.","Angel et al.","2005","10.1113/jphysiol.2004.076034"
"24TJCYFC","Spinal pattern generation","Rossignol and Dubuc","1994","10.1016/0959-4388(94)90139-2"
"BF5HZHJ4","A computational model of insect campaniform sensilla predicts encoding of forces during walking.","Szczecinski et al.","2021","10.1088/1748-3190/ac1ced"
"DN6DK44F","Phase-Dependent Response to Afferent Stimulation During Fictive Locomotion: A Computational Modeling Study.","Fujiki et al.","2019","10.3389/fnins.2019.01288"
"7BSD3IUL","Force related afferent feedback to the triceps surae locomotor activity during human walking","Klint","2009",""
"TRPEKXCS","What functions do reflexes serve during human locomotion","Zehr et al.","1999","10.1016/s0301-0082(98)00081-1"
"3A7GHMS9","Comparative Locomotor Systems","Fouad et al.","2012","10.1002/9781118133880.hop203007"
"EH4PQ4WE","Major role for sensory feedback in soleus EMG activity in the stance phase of walking in man.","Sinkj├ªr et al.","2000","10.1111/j.1469-7793.2000.00817.x"
"U92ILPRG","The Human Central Pattern Generator for Locomotion: Does It Exist and Contribute to Walking?","Minassian et al.","2017","10.1177/1073858417699790"
"WG6L2ZKF","The human spinal cord interprets velocity-dependent afferent input during stepping","Beres-Jones and Harkema","2004","10.1093/brain/awh252"
"CIP523SC","Chapter 2--the spinal generation of phases and cycle duration.","Gossard et al.","2011","10.1016/b978-0-444-53825-3.00007-3"
"QBSFRUBB","Inhibition and Facilitation of the Spinal Locomotor Central Pattern Generator and Reflex Circuits by Somatosensory Feedback From the Lumbar and Perineal Regions After Spinal Cord Injury.","Merlet et al.","2021","10.3389/fnins.2021.720542"
"B5SJZXJB","Asymmetric Operation of the Locomotor Central Pattern Generator in the Neonatal Mouse Spinal Cord","Endo and Kiehn","2008","10.1152/jn.90729.2008"
"VPGT9AU2","Neuromuscular responses to gait perturbations in freely moving cats.","Wand et al.","1980","10.1007/bf00237937"
"X43C92H6","Chapter 10--a hierarchical perspective on rhythm generation for locomotor control.","Yakovenko","2011","10.1016/b978-0-444-53825-3.00015-2"
"YANK2JE7","Candidate Interneurons Mediating the Resetting of the Locomotor Rhythm by Extensor Group I Afferents in the Cat.","Dom├¡nguez-Rodr├¡guez et al.","2020","10.1016/j.neuroscience.2020.09.017"
"QQ72U88U","Intra-axonal recordings of cutaneous primary afferents during fictive locomotion in the cat","Gossard et al.","1989","10.1152/jn.1989.62.5.1177"
"4RKX2V4M","Common Principles of Motor Control in Vertebrates and Invertebrates","Pearson and Kg","1993","10.1146/annurev.ne.16.030193.001405"
"LW34QCSG","Models of ensemble firing of muscle spindle afferents recorded during normal locomotion in cats","Proch├ízka et al.","1998","10.1111/j.1469-7793.1998.277bu.x"
"5AYSTSNZ","Loss of Wt1 in the murine spinal cord alters interneuron composition and locomotion","Schnerwitzki et al.","2017","10.1101/226316"
"X2JTGTDF","Controlling legs for locomotionΓÇöinsights from robotics and neurobiology","Buschmann et al.","2015","10.1088/1748-3190/10/4/041001"
"6GLSKHGX","Fundamental contributions of the cat model to the neural control of locomotion","Frigon","2020","10.1016/b978-0-12-816477-8.00013-2"
"RJNJ56N2","The neural control of interlimb coordination during mammalian locomotion.","Frigon","2017","10.1152/jn.00978.2016"
"RZHWHV8V","Frequency-dependent recruitment of V2a interneurons during fictive locomotion in the mouse spinal cord","Zhong et al.","2011","10.1038/ncomms1276"
"MQ4SINGP","Flexor reflex afferents reset the step cycle during fictive locomotion in the cat","Schomburg et al.","1998","10.1007/s002210050522"
"XZZTCTKS","Neural Control of Stereotypic Limb Movements","Rossignol","2011","10.1002/cphy.cp120105"
"P4K9D6C4","Peeling back the layers of locomotor control in the spinal cord","McLean and Dougherty","2015","10.1016/j.conb.2015.03.001"
"5PGM63XT","Designing responsive pattern generators: stable heteroclinic channel cycles for modeling and control","Horchler et al.","2015","10.1088/1748-3190/10/2/026001"
"TBAVYRP9","The cat step cycle: Hind limb joint angles and muscle lengths during unrestrained locomotion","Goslow et al.","1973","10.1002/jmor.1051410102"
"W4B3WQQJ","Fictive motor patterns in chronic spinal cats","Pearson and Rossignol","1991","10.1152/jn.1991.66.6.1874"
"RQ2TPMYJ","Sub-populations of Spinal V3 Interneurons Form Focal Modules of Layered Pre-motor Microcircuits.","Chopek et al.","2018","10.1016/j.celrep.2018.08.095"
"MZQZRLAD","Common interneurones in reflex pathways from group 1a and 1b afferents of ankle extensors in the cat.","Jankowska et al.","1981","10.1113/jphysiol.1981.sp013556"
"JU2XYUMF","Asymmetric control of cycle period by the spinal locomotor rhythm generator in the adult cat.","Frigon and Gossard","2009","10.1113/jphysiol.2009.176669"
"5K3KTVGR","Descending and Local Network Interactions Control Adaptive Locomotion","Ritzmann et al.","2014",""
"9WX8AVUH","Novel Locomotion via Biological Inspiration","Quinn et al.","2011","10.1117/12.886413"
"Y2BW66HN","Sensory control and organization of neural networks mediating coordination of multisegmental organs for locomotion.","B├╝schges","2005","10.1152/jn.00615.2004"
"VH4NX6CM","Cutaneous inputs from perineal region facilitates and modulates spinal locomotor activity and reduces cutaneous reflexes from the foot in spinal cats","Merlet et al.","2020","10.1101/2020.07.29.226530"
"7EZJZ9C2","A Soft-Body Controller with Ubiquitous Sensor Feedback","Boxerbaum et al.","2012","10.1007/978-3-642-31525-1_4"
"SIZ7EM97","Motor module activation sequence and topography in the spinal cord during air-stepping in human: Insights into the traveling wave in spinal locomotor circuits.","Yokoyama et al.","2017","10.14814/phy2.13504"
"HMWGI36I","Adaptive Control Strategies for Interlimb Coordination in Legged Robots: A Review","Aoi et al.","2017","10.3389/fnbot.2017.00039"
"XSFL2EC2","Locomotion controller for a crab-like robot","Flannigan et al.","1998","10.1109/robot.1998.676345"
"3CLITMJV","Extending the Functional Subnetwork Approach to a Generalized Linear Integrate-and-Fire Neuron Model.","Szczecinski et al.","2020","10.3389/fnbot.2020.577804"
"FRS8ZGSL","Generating the walking gait: role of sensory feedback.","Pearson","2004","10.1016/s0079-6123(03)43012-4"
"7MN8AABH","Propriospinal Neurons: Essential Elements of Locomotor Control in the Intact and Possibly the Injured Spinal Cord.","Lalibert├⌐ et al.","2019","10.3389/fncel.2019.00512"
"ITWKJ8XH","Probing the Human Spinal Locomotor Circuits by Phasic Step-Induced Feedback and by Tonic Electrical and Pharmacological Neuromodulation.","Hofstoetter et al.","2017","10.2174/1381612822666161214144655"
"UD2N37J8","Ensemble firing of muscle afferents recorded during normal locomotion in cats","Proch├ízka et al.","1998","10.1111/j.1469-7793.1998.293bu.x"
"8LQF6FPA","Enhancement and Resetting of Locomotor Activity by Muscle Afferentsa","Pearson et al.","1998","10.1111/j.1749-6632.1998.tb09050.x"
"WD77HPPV","Functionally complex muscles of the cat hindlimb. IV. Intramuscular distribution of movement command signals and cutaneous reflexes in broad, bifunctional thigh muscles","Pratt et al.","1991","10.1007/bf00229407"
"KWG7NPDI","Quantitative Analysis of Feedback During Locomotion","Ross","2006",""
"NSEV82VS","V3 spinal neurons establish a robust and balanced locomotor rhythm during walking.","Zhang et al.","2008","10.1016/j.neuron.2008.09.027"
"KEPJX8DH","Implications of Positive Feedback in the Control of Movement","Proch├ízka et al.","1997","10.1152/jn.1997.77.6.3237"
"VASRIRZZ","Neurodynamic modeling of the fruit fly Drosophila melanogaster.","Goldsmith et al.","2020","10.1088/1748-3190/ab9e52"
"BL6Q4935","Stimulation of the Spinal Cord for the Control of Walking","Dalrymple and Mushahwar","2017","10.1142/9789813207158_0025"
"K4R3AVWU","The initiation of the swing phase in human infant stepping: importance of hip position and leg loading","Pang and Yang","2000","10.1111/j.1469-7793.2000.00389.x"
"G93A9Z5X","Method for using a model-based controller for a robotic leg","Herr et al.","2016",""
"C3E574SH","Math Modeling of Interlimb Coordination in Cat Locomotion","Latash","2020",""
"VFJ5DL9M","The mammalian spinal commissural system: properties and functions.","Maxwell and Soteropoulos","2020","10.1152/jn.00347.2019"
"I8B9GMPB","The mammalian central pattern generator for locomotion","Guertin","2009","10.1016/j.brainresrev.2009.08.002"
"7ETPP9EE","Dual-mode operation of neuronal networks involved in left-right alternation","Talpalar et al.","2013","10.1038/nature12286"
"8VKY3MVB","A model of the neuro-musculo-skeletal system for human locomotion","Taga","1995","10.1007/bf00204048"
"DS6WLCW2","LOCOMOTION CHARACTERIZATION OF DCC AND NCK2 MUTANT MICE","Li","2019",""
"FQ6VDBKH","Organization of functional synaptic connections between medullary reticulospinal neurons and lumbar descending commissural interneurons in the neonatal mouse.","Szokol et al.","2011","10.1523/jneurosci.5486-10.2011"
"KJPZZM6H","Localization and organization of the central pattern generator for hindlimb locomotion in newborn rat","Cazalets et al.","1995","10.1523/jneurosci.15-07-04943.1995"
"YLM5KGMY","The locomotion of the low spinal cat. II. Interlimb coordination","Forssberg et al.","1980","10.1111/j.1748-1716.1980.tb06534.x"
"J9GNFYB3","Function of Segmental Reflexes in the Control of Stepping in Cockroaches and Cats","Pearson and Duysens","1976","10.1007/978-1-4757-0964-3_21"
"9WKIPU79","Parallel Complementary Strategies for Implementing Biological Principles into Mobile Robots","Quinn et al.","2003","10.1177/0278364903022003003"
"XSURUQAR","Lack of adaptation during prolonged split-belt locomotion in the intact and spinal cat.","Kuczynski et al.","2017","10.1113/jp274518"
"H7FU2J6M","The intrinsic factors in the act of progression in the mammal","Brown","1911","10.1098/rspb.1911.0077"
"NMUMII7I","Using Animatlab for Neuromechanical Analysis: Linear Hill Parameter Calculation","Young et al.","2020","10.1007/978-3-030-64313-3_38"
"4T74U33I","in intact adult cats interlimb coordination during quadrupedal locomotion step-by-step basis and its impact on the consistency of Speed-dependent modulation of phase variations on a","Dambreville et al.","2014",""
"JZDRPRJK","Analyzing Moment Arm Profiles in a Full-Muscle Rat Hindlimb Model","Young et al.","2019","10.3390/biomimetics4010010"
"E2GPABFA","Afferent control of locomotor CPG: insights from a simple neuromechanical model","Markin et al.","2010","10.1111/j.1749-6632.2010.05435.x"
