TimeSlice	Time	L RG ext IN	L RG flx IN	L RG ext	L RG flx	R RG ext IN	R RG flx IN	R RG ext	R RG flx	L c1	R c1	L V3	R V3
30	0.006	-0.0534607	-0.0584716	-0.0524024	-0.0630972	-0.0571375	-0.0551932	-0.0598884	-0.0557961	-0.0584716	-0.0551932	-0.0535744	-0.0574093
31	0.0062	-0.0533961	-0.0585316	-0.0523719	-0.0632317	-0.0572222	-0.055185	-0.0600082	-0.0557851	-0.0585316	-0.055185	-0.0535095	-0.0575049
32	0.0064	-0.0533345	-0.0585892	-0.0523398	-0.0633561	-0.0573091	-0.0551768	-0.0601216	-0.0557667	-0.0585892	-0.0551768	-0.0534473	-0.0576027
33	0.0066	-0.0532757	-0.0586445	-0.0523061	-0.0634711	-0.0573924	-0.0551681	-0.0602289	-0.0557414	-0.0586445	-0.0551681	-0.0533878	-0.0576967
34	0.0068	-0.0532195	-0.0586976	-0.0522711	-0.0635775	-0.057472	-0.0551587	-0.0603305	-0.0557098	-0.0586976	-0.0551587	-0.0533305	-0.057787
35	0.007	-0.0531657	-0.0587487	-0.0522348	-0.0636758	-0.0575482	-0.0551483	-0.0604266	-0.0556726	-0.0587487	-0.0551483	-0.0532754	-0.0578738
36	0.0072	-0.0531139	-0.0587978	-0.0521975	-0.0637668	-0.0576212	-0.0551367	-0.0605175	-0.0556302	-0.0587978	-0.0551367	-0.0532222	-0.0579572
37	0.0074	-0.0530642	-0.0588449	-0.0521592	-0.0638509	-0.057691	-0.0551238	-0.0606036	-0.0555833	-0.0588449	-0.0551238	-0.0531709	-0.0580373
38	0.0076	-0.0530163	-0.0588902	-0.0521201	-0.0639289	-0.0577578	-0.0551094	-0.060685	-0.0555323	-0.0588902	-0.0551094	-0.0531212	-0.0581142
39	0.0078	-0.05297	-0.0589337	-0.0520803	-0.0640011	-0.0578217	-0.0550934	-0.0607622	-0.0554776	-0.0589337	-0.0550934	-0.0530731	-0.0581882
40	0.008	-0.0529253	-0.0589755	-0.0520398	-0.0640681	-0.0578829	-0.0550757	-0.0608353	-0.0554197	-0.0589755	-0.0550757	-0.0530264	-0.0582592
41	0.0082	-0.0528819	-0.0590157	-0.0519988	-0.0641302	-0.0579414	-0.0550562	-0.0609046	-0.0553588	-0.0590157	-0.0550562	-0.0529811	-0.0583275
42	0.0084	-0.0528399	-0.0590543	-0.0519574	-0.064188	-0.0579974	-0.055035	-0.0609703	-0.0552953	-0.0590543	-0.055035	-0.052937	-0.0583931
43	0.0086	-0.0527991	-0.0590914	-0.0519157	-0.0642419	-0.058051	-0.055012	-0.0610327	-0.0552295	-0.0590914	-0.055012	-0.0528941	-0.0584561
44	0.0088	-0.0527594	-0.059127	-0.0518737	-0.0642921	-0.0581022	-0.0549873	-0.0610919	-0.0551618	-0.059127	-0.0549873	-0.0528522	-0.0585166
45	0.009	-0.0527208	-0.0591612	-0.0518315	-0.0643392	-0.0581512	-0.0549607	-0.0611482	-0.0550924	-0.0591612	-0.0549607	-0.0528113	-0.0585748
