TimeSlice	Time	L Hip flx Ia	L Hip ext Ia	L Hip ext Ia IN	L Hip flx Ia IN	L Hip flx Ib	L Hip ext Ib	L Hip MN ext	L Hip MN flx	L Hip MN flx R	L Hip MN ext R
35	0.007	-0.0577716	-0.0574839	-0.0581889	-0.0582209	-0.0585262	-0.0596976	-0.0670956	-0.0696669	-0.0558884	-0.0558291
36	0.0072	-0.0578378	-0.0575311	-0.0581657	-0.0581969	-0.0584457	-0.0596789	-0.0681486	-0.0709401	-0.0559331	-0.055867
37	0.0074	-0.0579005	-0.0575767	-0.0581433	-0.0581739	-0.0583684	-0.0596609	-0.069183	-0.072161	-0.0559783	-0.0559049
38	0.0076	-0.0579578	-0.0576206	-0.0581219	-0.0581518	-0.0582942	-0.0596437	-0.0701967	-0.0733002	-0.056024	-0.0559427
39	0.0078	-0.0580102	-0.0576627	-0.0581012	-0.0581306	-0.0582228	-0.0596271	-0.071188	-0.0743627	-0.0560698	-0.0559805
40	0.008	-0.0580579	-0.0577028	-0.0580814	-0.0581099	-0.0581466	-0.0596095	-0.0721551	-0.0753535	-0.0561155	-0.0560182
41	0.0082	-0.0581011	-0.0577408	-0.0580624	-0.05809	-0.0580734	-0.0595926	-0.0730964	-0.0762764	-0.0561609	-0.0560557
42	0.0084	-0.0581403	-0.0577768	-0.0580441	-0.0580709	-0.058003	-0.0595764	-0.0740103	-0.0771356	-0.0562058	-0.056093
43	0.0086	-0.0581756	-0.0578106	-0.0580266	-0.0580525	-0.0579354	-0.0595608	-0.0748954	-0.0779354	-0.0562501	-0.0561299
44	0.0088	-0.0582073	-0.0578422	-0.0580097	-0.0580348	-0.0578705	-0.0595458	-0.0757503	-0.0786797	-0.0562935	-0.0561666
45	0.009	-0.0582357	-0.0578716	-0.0579935	-0.0580171	-0.057814	-0.0595308	-0.076574	-0.0793721	-0.0563359	-0.0562028
46	0.0092	-0.0582609	-0.0578987	-0.0579779	-0.058	-0.0577597	-0.0595165	-0.0773651	-0.0800168	-0.0563773	-0.0562385
47	0.0094	-0.0582833	-0.0579237	-0.0579629	-0.0579836	-0.0577075	-0.0595027	-0.0781228	-0.0806169	-0.0564175	-0.0562738
48	0.0096	-0.0583029	-0.0579463	-0.0579485	-0.0579678	-0.0576574	-0.0594894	-0.0788461	-0.0811755	-0.0564565	-0.0563084
49	0.0098	-0.05832	-0.0579668	-0.0579347	-0.0579527	-0.0576092	-0.0594766	-0.0795344	-0.0816952	-0.0564941	-0.0563425
50	0.01	-0.0583348	-0.0579851	-0.0579214	-0.0579374	-0.0575729	-0.0594657	-0.080187	-0.0821787	-0.0565304	-0.0563758
51	0.0102	-0.0583474	-0.0580012	-0.0579087	-0.0579226	-0.0575381	-0.0594551	-0.0808036	-0.0826297	-0.0565653	-0.0564083
52	0.0104	-0.0583581	-0.0580153	-0.0578964	-0.0579084	-0.0575045	-0.059445	-0.0813858	-0.0830504	-0.0565987	-0.0564401
53	0.0106	-0.0583669	-0.0580276	-0.0578847	-0.0578948	-0.0574724	-0.0594353	-0.0819353	-0.0834429	-0.0566306	-0.0564709
54	0.0108	-0.058374	-0.058038	-0.0578733	-0.0578817	-0.0574414	-0.0594259	-0.0824535	-0.0838088	-0.0566611	-0.0565008
55	0.011	-0.0583796	-0.0580469	-0.0578625	-0.0578684	-0.0574235	-0.0594192	-0.0829419	-0.08415	-0.05669	-0.0565298
56	0.0112	-0.0583838	-0.0580542	-0.057852	-0.0578555	-0.0574063	-0.0594127	-0.083402	-0.0844698	-0.0567175	-0.0565577
57	0.0114	-0.0583867	-0.0580601	-0.057842	-0.0578432	-0.0573898	-0.0594065	-0.0838351	-0.0847696	-0.0567434	-0.0565847
58	0.0116	-0.0583884	-0.0580646	-0.0578324	-0.0578313	-0.057374	-0.0594005	-0.0842422	-0.0850506	-0.0567679	-0.0566106
59	0.0118	-0.058389	-0.058068	-0.0578231	-0.05782	-0.0573587	-0.0593948	-0.0846245	-0.085314	-0.056791	-0.0566354
60	0.012	-0.0583887	-0.0580702	-0.0578142	-0.0578082	-0.0573565	-0.0593919	-0.084983	-0.085561	-0.0568125	-0.0566591
61	0.0122	-0.0583874	-0.0580713	-0.0578056	-0.057797	-0.0573543	-0.0593891	-0.0853189	-0.0857943	-0.0568327	-0.0566818
62	0.0124	-0.0583854	-0.0580715	-0.0577974	-0.0577862	-0.0573523	-0.0593865	-0.0856333	-0.0860148	-0.0568515	-0.0567033
63	0.0126	-0.0583826	-0.0580708	-0.0577895	-0.0577758	-0.0573503	-0.0593839	-0.0859269	-0.0862232	-0.0568689	-0.0567237
64	0.0128	-0.0583792	-0.0580692	-0.0577819	-0.0577658	-0.0573484	-0.0593814	-0.0862006	-0.0864203	-0.0568849	-0.056743
65	0.013	-0.0583752	-0.0580669	-0.0577747	-0.0577555	-0.057359	-0.0593817	-0.0864553	-0.0866066	-0.0568997	-0.0567612
66	0.0132	-0.0583707	-0.0580639	-0.0577677	-0.0577456	-0.0573691	-0.059382	-0.0866919	-0.0867848	-0.0569132	-0.0567782
67	0.0134	-0.0583657	-0.0580602	-0.0577609	-0.057736	-0.0573789	-0.0593823	-0.0869111	-0.0869551	-0.0569255	-0.0567941
68	0.0136	-0.0583604	-0.0580559	-0.0577545	-0.0577269	-0.0573882	-0.0593825	-0.0871138	-0.0871179	-0.0569366	-0.056809
69	0.0138	-0.0583546	-0.0580511	-0.0577483	-0.0577181	-0.0573973	-0.0593828	-0.0873005	-0.0872737	-0.0569466	-0.0568227
70	0.014	-0.0583487	-0.0580458	-0.0577423	-0.0577088	-0.0574181	-0.0593856	-0.0874719	-0.0874228	-0.0569555	-0.0568353
71	0.0142	-0.0583424	-0.0580401	-0.0577366	-0.0577	-0.0574381	-0.0593883	-0.0876288	-0.0875672	-0.0569633	-0.0568468
72	0.0144	-0.0583359	-0.058034	-0.0577311	-0.0576915	-0.0574574	-0.0593909	-0.0877719	-0.0877073	-0.0569701	-0.0568572
