TimeSlice	Time	L Ank flx Ia	L Ank ext Ia	L Ank flx Ia IN	L Ank ext Ia IN	L Ank ext Ib	L Ank flx Ib	L Ank MN ext	L Ank MN flx	L Ank MN flx RE	L Ank MN ext RE
35	0.007	-0.0588906	-0.058556	-0.0599986	-0.0599994	-0.058049	-0.0599461	-0.0647365	-0.0700611	-0.0558881	-0.0557714
36	0.0072	-0.0589943	-0.0586393	-0.0599986	-0.0599994	-0.0581204	-0.0599281	-0.0656759	-0.0713913	-0.055935	-0.055804
37	0.0074	-0.0590919	-0.0587206	-0.0599986	-0.0599994	-0.058189	-0.0599108	-0.0666028	-0.0726455	-0.0559825	-0.0558364
38	0.0076	-0.0591838	-0.0587999	-0.0599986	-0.0599994	-0.0582549	-0.0598941	-0.0675152	-0.0738284	-0.0560306	-0.0558687
39	0.0078	-0.0592703	-0.0588769	-0.0599986	-0.0599994	-0.0583182	-0.0598782	-0.0684116	-0.0749447	-0.0560789	-0.0559007
40	0.008	-0.0593517	-0.0589516	-0.0599986	-0.0599994	-0.05834	-0.0598707	-0.06929	-0.0759984	-0.0561273	-0.0559324
41	0.0082	-0.0594282	-0.0590238	-0.0599986	-0.0599994	-0.0583609	-0.0598636	-0.0701463	-0.0769945	-0.0561756	-0.0559639
42	0.0084	-0.0595001	-0.0590934	-0.0599986	-0.0599993	-0.058381	-0.0598567	-0.0709792	-0.0779368	-0.0562236	-0.055995
43	0.0086	-0.0595677	-0.0591604	-0.0599985	-0.0599993	-0.0584002	-0.0598501	-0.0717872	-0.0788284	-0.0562711	-0.0560258
44	0.0088	-0.0596311	-0.0592246	-0.0599985	-0.0599993	-0.0584188	-0.0598437	-0.0725693	-0.0796727	-0.0563181	-0.0560561
45	0.009	-0.0596907	-0.0592862	-0.0599985	-0.0599993	-0.0584231	-0.059842	-0.0733243	-0.0804724	-0.0563644	-0.056086
46	0.0092	-0.0597466	-0.0593449	-0.0599985	-0.0599993	-0.0584273	-0.0598404	-0.0740502	-0.0812311	-0.05641	-0.0561154
47	0.0094	-0.059799	-0.0594008	-0.0599985	-0.0599993	-0.0584313	-0.0598389	-0.0747461	-0.0819511	-0.0564547	-0.0561442
48	0.0096	-0.0598481	-0.059454	-0.0599985	-0.0599993	-0.0584352	-0.0598373	-0.0754113	-0.0826348	-0.0564984	-0.0561724
49	0.0098	-0.0598942	-0.0595043	-0.0599985	-0.0599993	-0.0584389	-0.0598359	-0.076045	-0.0832844	-0.0565412	-0.0561999
50	0.01	-0.0599373	-0.0595517	-0.0599985	-0.0599993	-0.0584465	-0.0598358	-0.0766467	-0.0839019	-0.056583	-0.0562267
51	0.0102	-0.0599777	-0.0595964	-0.0599985	-0.0599993	-0.0584538	-0.0598358	-0.0772163	-0.0844895	-0.0566237	-0.0562527
52	0.0104	-0.0600156	-0.0596385	-0.0599985	-0.0599993	-0.0584608	-0.0598357	-0.0777552	-0.0850488	-0.0566632	-0.0562779
53	0.0106	-0.060051	-0.0596782	-0.0599985	-0.0599993	-0.0584675	-0.0598356	-0.0782663	-0.0855815	-0.0567017	-0.0563022
54	0.0108	-0.0600842	-0.0597158	-0.0599984	-0.0599993	-0.058474	-0.0598355	-0.0787526	-0.086089	-0.0567389	-0.0563256
55	0.011	-0.0601152	-0.0597515	-0.0599984	-0.0599993	-0.058495	-0.0598345	-0.0792147	-0.0865729	-0.056775	-0.0563481
56	0.0112	-0.0601442	-0.0597853	-0.0599984	-0.0599993	-0.0585151	-0.0598334	-0.0796547	-0.0870342	-0.05681	-0.0563696
57	0.0114	-0.0601713	-0.0598172	-0.0599984	-0.0599993	-0.0585345	-0.0598324	-0.0800733	-0.0874741	-0.0568437	-0.0563902
58	0.0116	-0.0601966	-0.0598475	-0.0599984	-0.0599993	-0.0585531	-0.0598315	-0.0804711	-0.0878938	-0.0568762	-0.0564098
59	0.0118	-0.0602203	-0.059876	-0.0599984	-0.0599993	-0.058571	-0.0598306	-0.0808486	-0.0882944	-0.0569075	-0.0564284
60	0.012	-0.0602423	-0.059903	-0.0599984	-0.0599993	-0.0586063	-0.0598275	-0.0812066	-0.0886769	-0.0569377	-0.056446
61	0.0122	-0.0602629	-0.0599284	-0.0599984	-0.0599993	-0.0586403	-0.0598246	-0.0815471	-0.0890418	-0.0569666	-0.0564627
62	0.0124	-0.0602821	-0.0599523	-0.0599984	-0.0599993	-0.0586729	-0.0598218	-0.0818706	-0.0893901	-0.0569944	-0.0564783
63	0.0126	-0.0603	-0.0599748	-0.0599984	-0.0599993	-0.0587042	-0.0598191	-0.0821775	-0.0897227	-0.057021	-0.056493
64	0.0128	-0.0603167	-0.059996	-0.0599983	-0.0599993	-0.0587343	-0.0598165	-0.0824682	-0.0900403	-0.0570464	-0.0565067
65	0.013	-0.0603322	-0.0600158	-0.0599983	-0.0599993	-0.0587792	-0.0598118	-0.0827433	-0.0903436	-0.0570707	-0.0565194
66	0.0132	-0.0603469	-0.0600344	-0.0599983	-0.0599992	-0.0588223	-0.0598073	-0.0830044	-0.0906337	-0.0570939	-0.0565311
67	0.0134	-0.0603606	-0.0600518	-0.0599983	-0.0599992	-0.0588637	-0.059803	-0.0832519	-0.0909113	-0.0571159	-0.0565419
68	0.0136	-0.0603736	-0.0600681	-0.0599983	-0.0599992	-0.0589034	-0.0597988	-0.0834861	-0.0911769	-0.0571368	-0.0565517
69	0.0138	-0.0603859	-0.0600833	-0.0599983	-0.0599992	-0.0589417	-0.0597948	-0.0837073	-0.091431	-0.0571567	-0.0565606
70	0.014	-0.0603974	-0.0600974	-0.0599983	-0.0599992	-0.0589832	-0.0597894	-0.0839159	-0.0916741	-0.0571755	-0.0565686
71	0.0142	-0.0604083	-0.0601105	-0.0599983	-0.0599992	-0.059023	-0.0597842	-0.0841124	-0.0919064	-0.0571932	-0.0565756
72	0.0144	-0.0604186	-0.0601227	-0.0599983	-0.0599992	-0.0590613	-0.0597793	-0.0842973	-0.0921285	-0.0572099	-0.0565817
73	0.0146	-0.0604283	-0.060134	-0.0599983	-0.0599992	-0.0590981	-0.0597745	-0.0844708	-0.0923408	-0.0572257	-0.0565869
74	0.0148	-0.0604374	-0.0601444	-0.0599983	-0.0599992	-0.0591335	-0.0597699	-0.0846332	-0.0925436	-0.0572404	-0.0565913
75	0.015	-0.060446	-0.060154	-0.0599983	-0.0599992	-0.0591675	-0.0597646	-0.0847847	-0.0927374	-0.0572541	-0.0565947
76	0.0152	-0.0604541	-0.0601627	-0.0599983	-0.0599992	-0.0592001	-0.0597595	-0.0849256	-0.0929225	-0.0572669	-0.0565973
77	0.0154	-0.0604618	-0.0601708	-0.0599983	-0.0599992	-0.0592315	-0.0597546	-0.0850563	-0.0930992	-0.0572788	-0.0565991
78	0.0156	-0.060469	-0.0601781	-0.0599983	-0.0599992	-0.0592616	-0.0597499	-0.0851769	-0.0932679	-0.0572898	-0.0566
79	0.0158	-0.0604758	-0.0601847	-0.0599983	-0.0599992	-0.0592906	-0.0597453	-0.0852877	-0.093429	-0.0572999	-0.0566001
80	0.016	-0.0604823	-0.0601907	-0.0599983	-0.0599992	-0.0593184	-0.0597415	-0.0853891	-0.0935827	-0.0573091	-0.0565994
81	0.0162	-0.0604884	-0.0601961	-0.0599983	-0.0599992	-0.0593451	-0.0597377	-0.0854813	-0.0937296	-0.0573174	-0.0565979
82	0.0164	-0.0604941	-0.0602009	-0.0599983	-0.0599992	-0.0593708	-0.0597341	-0.0855646	-0.0938697	-0.057325	-0.0565956
83	0.0166	-0.0604996	-0.0602051	-0.0599983	-0.0599992	-0.0593955	-0.0597307	-0.0856392	-0.0940036	-0.0573317	-0.0565925
84	0.0168	-0.0605047	-0.0602088	-0.0599983	-0.0599992	-0.0594192	-0.0597273	-0.0857053	-0.0941314	-0.0573376	-0.0565887
85	0.017	-0.0605096	-0.060212	-0.0599983	-0.0599992	-0.0594419	-0.0597248	-0.0857634	-0.0942533	-0.0573428	-0.0565841
86	0.0172	-0.0605142	-0.0602148	-0.0599983	-0.0599992	-0.0594638	-0.0597223	-0.0858135	-0.0943698	-0.0573472	-0.0565787
87	0.0174	-0.0605186	-0.060217	-0.0599983	-0.0599992	-0.0594849	-0.05972	-0.0858561	-0.0944811	-0.0573509	-0.0565727
88	0.0176	-0.0605228	-0.0602189	-0.0599983	-0.0599992	-0.059505	-0.0597177	-0.0858912	-0.0945874	-0.0573539	-0.0565659
89	0.0178	-0.0605268	-0.0602204	-0.0599983	-0.0599992	-0.0595245	-0.0597155	-0.0859193	-0.0946889	-0.0573562	-0.0565585
90	0.018	-0.0605306	-0.0602215	-0.0599983	-0.0599992	-0.0595431	-0.0597142	-0.0859404	-0.0947857	-0.0573578	-0.0565503
91	0.0182	-0.0605342	-0.0602223	-0.0599983	-0.0599992	-0.059561	-0.0597129	-0.0859549	-0.0948783	-0.0573588	-0.0565415
92	0.0184	-0.0605377	-0.0602227	-0.0599983	-0.0599992	-0.0595782	-0.0597116	-0.0859631	-0.0949668	-0.0573591	-0.056532
93	0.0186	-0.060541	-0.0602228	-0.0599983	-0.0599992	-0.0595948	-0.0597104	-0.085965	-0.0950514	-0.0573589	-0.0565219
94	0.0188	-0.0605441	-0.0602227	-0.0599983	-0.0599992	-0.0596107	-0.0597093	-0.0859611	-0.0951322	-0.057358	-0.0565111
95	0.019	-0.0605472	-0.0602222	-0.0599983	-0.0599992	-0.0596259	-0.059709	-0.0859514	-0.0952093	-0.0573566	-0.0564997
96	0.0192	-0.0605501	-0.0602215	-0.0599983	-0.0599992	-0.0596406	-0.0597087	-0.0859363	-0.0952831	-0.0573546	-0.0564877
97	0.0194	-0.060553	-0.0602206	-0.0599983	-0.0599992	-0.0596547	-0.0597085	-0.0859158	-0.0953537	-0.0573521	-0.0564751
98	0.0196	-0.0605557	-0.0602195	-0.0599983	-0.0599992	-0.0596682	-0.0597082	-0.0858904	-0.0954211	-0.057349	-0.056462
99	0.0198	-0.0605583	-0.0602181	-0.0599983	-0.0599992	-0.0596812	-0.059708	-0.0858601	-0.0954857	-0.0573455	-0.0564483
100	0.02	-0.0605609	-0.0602166	-0.0599983	-0.0599992	-0.0596918	-0.0597086	-0.0858251	-0.0955473	-0.0573415	-0.056434
101	0.0202	-0.0605634	-0.0602149	-0.0599983	-0.0599992	-0.059702	-0.0597092	-0.0857856	-0.0956063	-0.0573369	-0.0564191
102	0.0204	-0.0605659	-0.060213	-0.0599983	-0.0599992	-0.0597118	-0.0597098	-0.0857416	-0.0956629	-0.057332	-0.0564038
103	0.0206	-0.0605682	-0.060211	-0.0599983	-0.0599992	-0.0597212	-0.0597104	-0.0856935	-0.095717	-0.0573266	-0.0563879
104	0.0208	-0.0605706	-0.0602089	-0.0599983	-0.0599992	-0.0597302	-0.0597109	-0.0856414	-0.0957688	-0.0573208	-0.0563716
105	0.021	-0.0605729	-0.0602066	-0.0599983	-0.0599992	-0.0597359	-0.0597124	-0.0855855	-0.0958183	-0.0573146	-0.0563547
106	0.0212	-0.0605751	-0.0602043	-0.0599983	-0.0599992	-0.0597414	-0.0597137	-0.0855257	-0.0958659	-0.0573079	-0.0563374
107	0.0214	-0.0605773	-0.0602018	-0.0599983	-0.0599992	-0.0597466	-0.059715	-0.0854622	-0.0959115	-0.057301	-0.0563196
108	0.0216	-0.0605795	-0.0601992	-0.0599983	-0.0599992	-0.0597517	-0.0597163	-0.0853953	-0.0959551	-0.0572936	-0.0563013
109	0.0218	-0.0605817	-0.0601966	-0.0599983	-0.0599992	-0.0597565	-0.0597175	-0.0853251	-0.095997	-0.0572859	-0.0562826
110	0.022	-0.0605838	-0.0601939	-0.0599983	-0.0599992	-0.059759	-0.0597195	-0.0852518	-0.0960371	-0.0572779	-0.0562635
111	0.0222	-0.060586	-0.0601911	-0.0599983	-0.0599992	-0.0597613	-0.0597213	-0.0851754	-0.0960756	-0.0572695	-0.056244
112	0.0224	-0.0605881	-0.0601883	-0.0599983	-0.0599992	-0.0597636	-0.0597231	-0.0850961	-0.0961126	-0.0572608	-0.0562241
113	0.0226	-0.0605902	-0.0601855	-0.0599983	-0.0599992	-0.0597657	-0.0597249	-0.0850141	-0.0961481	-0.0572519	-0.0562038
114	0.0228	-0.0605923	-0.0601826	-0.0599983	-0.0599992	-0.0597678	-0.0597265	-0.0849295	-0.0961822	-0.0572426	-0.0561831
115	0.023	-0.0605944	-0.0601797	-0.0599983	-0.0599992	-0.0597686	-0.0597287	-0.0848425	-0.0962149	-0.0572331	-0.056162
116	0.0232	-0.0605965	-0.0601767	-0.0599983	-0.0599992	-0.0597693	-0.0597308	-0.0847532	-0.0962463	-0.0572233	-0.0561406
117	0.0234	-0.0605986	-0.0601738	-0.0599983	-0.0599992	-0.05977	-0.0597329	-0.0846617	-0.0962765	-0.0572133	-0.0561188
118	0.0236	-0.0606007	-0.0601708	-0.0599983	-0.0599992	-0.0597707	-0.0597348	-0.0845682	-0.0963054	-0.057203	-0.0560967
119	0.0238	-0.0606028	-0.0601678	-0.0599983	-0.0599992	-0.0597713	-0.0597367	-0.0844729	-0.0963333	-0.0571925	-0.0560743
120	0.024	-0.0606049	-0.0601649	-0.0599983	-0.0599992	-0.0597716	-0.0597389	-0.0843758	-0.09636	-0.0571818	-0.0560515
121	0.0242	-0.0606071	-0.0601619	-0.0599983	-0.0599992	-0.0597719	-0.059741	-0.0842771	-0.0963856	-0.0571709	-0.0560285
122	0.0244	-0.0606092	-0.060159	-0.0599983	-0.0599992	-0.0597722	-0.0597431	-0.084177	-0.0964103	-0.0571597	-0.0560052
123	0.0246	-0.0606114	-0.060156	-0.0599982	-0.0599992	-0.0597725	-0.059745	-0.0840755	-0.0964339	-0.0571484	-0.0559816
124	0.0248	-0.0606135	-0.0601531	-0.0599982	-0.0599992	-0.0597727	-0.0597469	-0.0839728	-0.0964566	-0.0571369	-0.0559577
125	0.025	-0.0606157	-0.0601503	-0.0599982	-0.0599992	-0.0597735	-0.059749	-0.083869	-0.0964784	-0.0571252	-0.0559336
126	0.0252	-0.0606179	-0.0601474	-0.0599982	-0.0599992	-0.0597743	-0.0597509	-0.0837643	-0.0964992	-0.0571134	-0.0559092
127	0.0254	-0.0606201	-0.0601446	-0.0599982	-0.0599992	-0.0597751	-0.0597528	-0.0836587	-0.0965192	-0.0571014	-0.0558846
128	0.0256	-0.0606223	-0.0601418	-0.0599982	-0.0599992	-0.0597758	-0.0597546	-0.0835524	-0.0965384	-0.0570892	-0.0558598
129	0.0258	-0.0606246	-0.060139	-0.0599982	-0.0599992	-0.0597765	-0.0597563	-0.0834454	-0.0965568	-0.0570769	-0.0558348
130	0.026	-0.0606269	-0.0601363	-0.0599982	-0.0599992	-0.0597791	-0.0597579	-0.0833378	-0.0965743	-0.0570645	-0.0558095
131	0.0262	-0.0606291	-0.0601336	-0.0599982	-0.0599992	-0.0597816	-0.0597594	-0.08323	-0.096591	-0.0570519	-0.0557841
132	0.0264	-0.0606315	-0.060131	-0.0599982	-0.0599992	-0.0597841	-0.0597608	-0.0831218	-0.096607	-0.0570392	-0.0557585
