TimeSlice	Time	R Hip ext Ia	R Hip flx Ia	R Hip ext Ia IN	R Hip flx Ia IN	R Hip flx Ib	R Hip ext Ib	R Hip MN flx	R Hip MN ext	R Hip MN ext RE	R Hip MN flx RE
41	0.0082	-0.0580719	-0.0578407	-0.0580396	-0.0580396	-0.056171	-0.0590202	-0.0714906	-0.077601	-0.0561909	-0.0560178
42	0.0084	-0.0581082	-0.0578826	-0.0580186	-0.0580186	-0.0560195	-0.058983	-0.0722696	-0.0785575	-0.0562396	-0.0560508
43	0.0086	-0.0581405	-0.0579223	-0.0579985	-0.0579985	-0.0558739	-0.0589473	-0.0730126	-0.0794581	-0.0562878	-0.0560833
44	0.0088	-0.0581691	-0.0579599	-0.0579791	-0.0579791	-0.0557341	-0.058913	-0.0737187	-0.0803063	-0.0563355	-0.056115
45	0.009	-0.0581944	-0.0579951	-0.057959	-0.057959	-0.0555935	-0.0588774	-0.0743843	-0.0811054	-0.0563825	-0.0561459
46	0.0092	-0.0582164	-0.0580269	-0.0579396	-0.0579396	-0.0554584	-0.0588431	-0.0749912	-0.0818582	-0.0564287	-0.056176
47	0.0094	-0.0582354	-0.0580555	-0.057921	-0.057921	-0.0553287	-0.0588101	-0.0755439	-0.0825677	-0.056474	-0.056205
48	0.0096	-0.0582516	-0.0580812	-0.0579031	-0.0579031	-0.055204	-0.0587785	-0.0760461	-0.0832366	-0.0565183	-0.056233
49	0.0098	-0.0582652	-0.0581041	-0.057886	-0.057886	-0.0550842	-0.0587481	-0.0765016	-0.0838674	-0.0565615	-0.0562597
50	0.01	-0.0582766	-0.0581246	-0.0578679	-0.0578679	-0.0549762	-0.0587188	-0.0769138	-0.0844625	-0.0566037	-0.0562851
51	0.0102	-0.0582856	-0.0581427	-0.0578505	-0.0578505	-0.0548724	-0.0586907	-0.077287	-0.085024	-0.0566447	-0.0563092
52	0.0104	-0.0582926	-0.0581586	-0.0578338	-0.0578338	-0.0547727	-0.0586637	-0.077624	-0.085554	-0.0566846	-0.0563318
53	0.0106	-0.0582977	-0.0581725	-0.0578178	-0.0578178	-0.0546769	-0.0586377	-0.0779275	-0.0860544	-0.0567232	-0.056353
54	0.0108	-0.0583011	-0.0581845	-0.0578024	-0.0578024	-0.0545848	-0.0586128	-0.0782002	-0.0865268	-0.0567606	-0.0563727
55	0.011	-0.0583029	-0.0581948	-0.057786	-0.057786	-0.0545109	-0.0585903	-0.0784444	-0.0869731	-0.0567968	-0.0563908
56	0.0112	-0.0583032	-0.0582036	-0.0577702	-0.0577702	-0.0544399	-0.0585687	-0.0786643	-0.0873947	-0.0568316	-0.0564074
57	0.0114	-0.058302	-0.0582108	-0.0577551	-0.0577551	-0.0543717	-0.058548	-0.0788617	-0.0877932	-0.0568653	-0.0564226
58	0.0116	-0.0582997	-0.0582167	-0.0577405	-0.0577405	-0.0543062	-0.058528	-0.0790385	-0.0881699	-0.0568976	-0.0564361
59	0.0118	-0.0582962	-0.0582214	-0.0577266	-0.0577266	-0.0542432	-0.0585089	-0.0791962	-0.088526	-0.0569287	-0.0564482
60	0.012	-0.0582916	-0.058225	-0.0577115	-0.0577115	-0.0542	-0.0584927	-0.0793364	-0.0888627	-0.0569585	-0.0564588
61	0.0122	-0.0582861	-0.0582275	-0.0576971	-0.0576971	-0.0541586	-0.0584772	-0.0794628	-0.0891813	-0.0569871	-0.056468
62	0.0124	-0.0582796	-0.0582291	-0.0576832	-0.0576832	-0.0541187	-0.0584622	-0.0795766	-0.0894828	-0.0570145	-0.0564757
63	0.0126	-0.0582724	-0.0582298	-0.0576699	-0.0576699	-0.0540804	-0.0584479	-0.0796787	-0.0897681	-0.0570406	-0.0564821
64	0.0128	-0.0582644	-0.0582297	-0.0576571	-0.0576571	-0.0540436	-0.0584341	-0.0797701	-0.0900382	-0.0570655	-0.056487
65	0.013	-0.0582558	-0.058229	-0.0576432	-0.0576432	-0.0540261	-0.0584234	-0.0798517	-0.0902938	-0.0570892	-0.0564907
66	0.0132	-0.0582466	-0.0582276	-0.0576298	-0.0576298	-0.0540093	-0.0584131	-0.0799267	-0.0905361	-0.0571118	-0.0564931
67	0.0134	-0.0582368	-0.0582256	-0.057617	-0.057617	-0.0539931	-0.0584032	-0.0799956	-0.0907656	-0.0571332	-0.0564943
68	0.0136	-0.0582265	-0.0582231	-0.0576046	-0.0576046	-0.0539776	-0.0583936	-0.0800589	-0.0909831	-0.0571535	-0.0564942
69	0.0138	-0.0582158	-0.0582201	-0.0575928	-0.0575928	-0.0539627	-0.0583845	-0.0801171	-0.0911892	-0.0571726	-0.0564931
70	0.014	-0.0582048	-0.0582167	-0.0575798	-0.0575798	-0.0539658	-0.0583782	-0.0801705	-0.0913846	-0.0571907	-0.0564909
71	0.0142	-0.0581934	-0.0582129	-0.0575673	-0.0575673	-0.0539688	-0.0583721	-0.0802219	-0.09157	-0.0572077	-0.0564876
72	0.0144	-0.0581817	-0.0582088	-0.0575553	-0.0575553	-0.0539717	-0.0583663	-0.0802714	-0.0917459	-0.0572236	-0.0564833
73	0.0146	-0.0581697	-0.0582044	-0.0575438	-0.0575438	-0.0539744	-0.0583607	-0.0803192	-0.0919129	-0.0572386	-0.0564781
74	0.0148	-0.0581575	-0.0581998	-0.0575327	-0.0575327	-0.0539771	-0.0583553	-0.0803653	-0.0920714	-0.0572525	-0.056472
75	0.015	-0.0581451	-0.0581949	-0.0575204	-0.0575204	-0.0539963	-0.0583524	-0.0804098	-0.0922218	-0.0572655	-0.0564651
76	0.0152	-0.0581326	-0.0581897	-0.0575086	-0.0575086	-0.0540147	-0.0583497	-0.0804517	-0.0923647	-0.0572775	-0.0564573
77	0.0154	-0.0581198	-0.0581838	-0.0574972	-0.0574972	-0.0540325	-0.058347	-0.080486	-0.0925006	-0.0572886	-0.0564488
78	0.0156	-0.058107	-0.0581774	-0.0574863	-0.0574863	-0.0540495	-0.0583445	-0.080513	-0.0926297	-0.0572988	-0.0564396
79	0.0158	-0.0580942	-0.0581705	-0.0574758	-0.0574758	-0.0540658	-0.0583421	-0.0805328	-0.0927525	-0.0573081	-0.0564296
80	0.016	-0.0580813	-0.0581632	-0.0574641	-0.0574641	-0.0540973	-0.0583418	-0.0805455	-0.0928692	-0.0573165	-0.0564189
81	0.0162	-0.0580684	-0.0581553	-0.0574529	-0.0574529	-0.0541275	-0.0583416	-0.0805534	-0.0929804	-0.0573241	-0.0564075
