TimeSlice	Time	L Hip MN ext	L Hip MN flx	L Hip PF flx	L Hip PF ext	L RG ext	L RG flx
2555	0.511	-0.0505746	-0.0940475	-0.0606509	-0.057388	-0.057667	-0.0627529
2556	0.5112	-0.0505854	-0.0940453	-0.0606487	-0.0573896	-0.0576674	-0.062751
2557	0.5114	-0.0505962	-0.0940431	-0.0606465	-0.0573911	-0.0576677	-0.0627492
2558	0.5116	-0.050607	-0.094041	-0.0606443	-0.0573927	-0.057668	-0.0627474
2559	0.5118	-0.0506177	-0.0940388	-0.0606421	-0.0573942	-0.0576683	-0.0627455
2560	0.512	-0.0506284	-0.0940367	-0.0606399	-0.0573958	-0.0576687	-0.0627437
2561	0.5122	-0.050639	-0.0940345	-0.0606378	-0.0573973	-0.057669	-0.0627419
2562	0.5124	-0.0506496	-0.0940324	-0.0606356	-0.0573988	-0.0576693	-0.0627401
2563	0.5126	-0.0506601	-0.0940303	-0.0606335	-0.0574004	-0.0576696	-0.0627384
2564	0.5128	-0.0506706	-0.0940281	-0.0606313	-0.0574019	-0.05767	-0.0627366
2565	0.513	-0.0506811	-0.094026	-0.0606292	-0.0574034	-0.0576703	-0.0627348
2566	0.5132	-0.0506915	-0.0940239	-0.060627	-0.0574049	-0.0576706	-0.062733
2567	0.5134	-0.0507019	-0.0940218	-0.0606249	-0.0574064	-0.0576709	-0.0627313
2568	0.5136	-0.0507122	-0.0940198	-0.0606228	-0.0574079	-0.0576713	-0.0627295
2569	0.5138	-0.0507225	-0.0940177	-0.0606207	-0.0574094	-0.0576716	-0.0627278
2570	0.514	-0.0507328	-0.0940156	-0.0606186	-0.0574109	-0.0576719	-0.062726
2571	0.5142	-0.050743	-0.0940136	-0.0606165	-0.0574123	-0.0576722	-0.0627243
2572	0.5144	-0.0507531	-0.0940115	-0.0606144	-0.0574138	-0.0576726	-0.0627226
2573	0.5146	-0.0507633	-0.0940095	-0.0606123	-0.0574153	-0.0576729	-0.0627209
2574	0.5148	-0.0507734	-0.0940074	-0.0606102	-0.0574167	-0.0576732	-0.0627192
2575	0.515	-0.0507834	-0.0940054	-0.0606081	-0.0574182	-0.0576735	-0.0627175
2576	0.5152	-0.0507934	-0.0940034	-0.0606061	-0.0574196	-0.0576739	-0.0627158
2577	0.5154	-0.0508034	-0.0940014	-0.060604	-0.057421	-0.0576742	-0.0627141
2578	0.5156	-0.0508134	-0.0939994	-0.060602	-0.0574225	-0.0576745	-0.0627124
2579	0.5158	-0.0508233	-0.0939974	-0.0605999	-0.0574239	-0.0576748	-0.0627107
2580	0.516	-0.0508331	-0.0939954	-0.0605979	-0.0574253	-0.0576752	-0.062709
2581	0.5162	-0.050843	-0.0939934	-0.0605959	-0.0574267	-0.0576755	-0.0627074
2582	0.5164	-0.0508528	-0.0939915	-0.0605939	-0.0574281	-0.0576758	-0.0627057
2583	0.5166	-0.0508625	-0.0939895	-0.0605918	-0.0574295	-0.0576761	-0.0627041
2584	0.5168	-0.0508722	-0.0939875	-0.0605898	-0.0574309	-0.0576764	-0.0627024
2585	0.517	-0.0508819	-0.0939856	-0.0605878	-0.0574323	-0.0576768	-0.0627008
2586	0.5172	-0.0508916	-0.0939837	-0.0605858	-0.0574337	-0.0576771	-0.0626992
2587	0.5174	-0.0509012	-0.0939817	-0.0605838	-0.0574351	-0.0576774	-0.0626976
2588	0.5176	-0.0509107	-0.0939798	-0.0605819	-0.0574364	-0.0576777	-0.0626959
2589	0.5178	-0.0509203	-0.0939779	-0.0605799	-0.0574378	-0.057678	-0.0626943
2590	0.518	-0.0509298	-0.093976	-0.0605779	-0.0574392	-0.0576784	-0.0626927
2591	0.5182	-0.0509393	-0.0939741	-0.060576	-0.0574405	-0.0576787	-0.0626911
2592	0.5184	-0.0509487	-0.0939722	-0.060574	-0.0574419	-0.057679	-0.0626895
